City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
DINGLE,  10.414 ,  9.422 ,  953 ,  19 ,  -   ,  8 ,  7 ,  3 ,  2 ,  -   
DUEÑAS,  7.822 ,  7.060 ,  737 ,  1 ,  1 ,  4 ,  14 ,  1 ,  3 ,  1 
DUMANGAS,  15.793 ,  14.591 ,  1.059 ,  1 ,  2 ,  33 ,  52 ,  45 ,  10 ,  -   
ESTANCIA,  11.163 ,  9.550 ,  772 ,  8 ,  1 ,  258 ,  501 ,  70 ,  3 ,  -   
GUIMBAL,  7.470 ,  7.217 ,  225 ,  1 ,  1 ,  5 ,  12 ,  9 ,  -   ,  -   
IGBARAS,  7.022 ,  6.564 ,  394 ,  38 ,  -   ,  4 ,  11 ,  9 ,  2 ,  -   
JANIUAY,  13.865 ,  11.162 ,  2.667 ,  -   ,  -   ,  10 ,  20 ,  6 ,  -   ,  -   
LAMBUNAO,  15.934 ,  12.985 ,  2.896 ,  1 ,  -   ,  24 ,  24 ,  4 ,  -   ,  -   
LEGANES,  7.033 ,  6.689 ,  310 ,  -   ,  1 ,  6 ,  12 ,  10 ,  5 ,  -   
LEMERY,  7.839 ,  6.271 ,  1.335 ,  11 ,  1 ,  71 ,  150 ,  -   ,  -   ,  -   
LEON,  10.755 ,  10.051 ,  673 ,  -   ,  1 ,  13 ,  8 ,  9 ,  -   ,  -   
MAASIN,  7.384 ,  6.750 ,  608 ,  10 ,  -   ,  5 ,  10 ,  1 ,  -   ,  -   
MIAGAO,  14.124 ,  13.490 ,  592 ,  4 ,  3 ,  7 ,  16 ,  12 ,  -   ,  -   
MINA,  4.992 ,  4.715 ,  272 ,  -   ,  -   ,  -   ,  -   ,  3 ,  2 ,  -   
NEW LUCENA,  5.006 ,  4.723 ,  280 ,  -   ,  -   ,  -   ,  2 ,  1 ,  -   ,  -   
OTON,  20.460 ,  19.945 ,  435 ,  6 ,  3 ,  26 ,  18 ,  27 ,  -   ,  -   
CITY OF PASSI,  19.288 ,  15.932 ,  3.107 ,  43 ,  2 ,  40 ,  164 ,  -   ,  -   ,  -   
PAVIA,  12.825 ,  12.576 ,  217 ,  3 ,  2 ,  5 ,  8 ,  14 ,  -   ,  -   
POTOTAN,  16.000 ,  15.209 ,  759 ,  5 ,  -   ,  2 ,  4 ,  21 ,  -   ,  -   
SAN DIONISIO,  9.013 ,  7.205 ,  1.442 ,  1 ,  1 ,  34 ,  319 ,  11 ,  -   ,  -   
SAN ENRIQUE,  7.638 ,  6.632 ,  983 ,  -   ,  -   ,  3 ,  15 ,  5 ,  -   ,  -   
SAN JOAQUIN,  11.163 ,  10.063 ,  1.049 ,  -   ,  -   ,  10 ,  14 ,  22 ,  5 ,  -   
SAN MIGUEL,  6.046 ,  5.906 ,  129 ,  -   ,  1 ,  -   ,  8 ,  1 ,  1 ,  -   
SAN RAFAEL,  3.837 ,  3.362 ,  446 ,  4 ,  1 ,  6 ,  14 ,  2 ,  2 ,  -   
SANTA BARBARA,  13.608 ,  13.112 ,  443 ,  15 ,  1 ,  7 ,  10 ,  20 ,  -   ,  -   
SARA,  13.246 ,  11.787 ,  803 ,  27 ,  1 ,  142 ,  463 ,  7 ,  16 ,  -   
TIGBAUAN,  13.359 ,  12.727 ,  598 ,  2 ,  5 ,  4 ,  21 ,  2 ,  -   ,  -   
TUBUNGAN,  4.848 ,  4.374 ,  461 ,  -   ,  -   ,  4 ,  3 ,  6 ,  -   ,  -   
ZARRAGA,  5.853 ,  5.544 ,  296 ,  1 ,  -   ,  2 ,  3 ,  7 ,  -   ,  -   
ILOILO CITY (Capital),  95.100 ,  93.650 ,  1.026 ,  63 ,  8 ,  79 ,  115 ,  125 ,  34 ,  -   
GUIMARAS,  40.575 ,  34.383 ,  5.132 ,  10 ,  2 ,  269 ,  344 ,  405 ,  29 ,  1 
BUENAVISTA,  12.115 ,  11.258 ,  803 ,  2 ,  1 ,  13 ,  10 ,  10 ,  18 ,  -   
JORDAN (CAPITAL),  8.311 ,  7.168 ,  1.049 ,  2 ,  -   ,  40 ,  47 ,  3 ,  1 ,  1 
NUEVA VALENCIA,  9.173 ,  7.348 ,  1.228 ,  4 ,  1 ,  103 ,  175 ,  309 ,  5 ,  -   
SAN LORENZO,  5.995 ,  4.952 ,  968 ,  1 ,  -   ,  41 ,  24 ,  6 ,  3 ,  -   
SIBUNAG,  4.981 ,  3.657 ,  1.084 ,  1 ,  -   ,  72 ,  88 ,  77 ,  2 ,  -   
NEGROS OCCIDENTAL (excluding Bacolod City),  572.574 ,  462.563 ,  92.515 ,  706 ,  100 ,  6.438 ,  7.502 ,  2.146 ,  603 ,  1 
BAGO CITY,  39.949 ,  36.458 ,  3.068 ,  23 ,  32 ,  52 ,  181 ,  92 ,  43 ,  -   
BINALBAGAN,  15.092 ,  12.167 ,  1.878 ,  25 ,  1 ,  516 ,  464 ,  27 ,  14 ,  -   
CADIZ CITY,  35.657 ,  29.785 ,  4.844 ,  18 ,  6 ,  406 ,  387 ,  151 ,  60 ,  -   
CALATRAVA,  18.431 ,  10.754 ,  6.817 ,  10 ,  1 ,  310 ,  500 ,  20 ,  19 ,  -   
CANDONI,  4.962 ,  3.636 ,  1.143 ,  90 ,  -   ,  49 ,  32 ,  8 ,  4 ,  -   
CAUAYAN,  22.858 ,  16.155 ,  5.642 ,  51 ,  6 ,  421 ,  479 ,  88 ,  16 ,  -   
ENRIQUE B. MAGALONA (SARAVIA),  14.664 ,  13.791 ,  767 ,  4 ,  4 ,  17 ,  57 ,  24 ,  -   ,  -   
CITY OF ESCALANTE,  21.544 ,  16.993 ,  4.135 ,  22 ,  2 ,  170 ,  141 ,  81 ,  -   ,  -   
CITY OF HIMAMAYLAN,  25.677 ,  21.223 ,  3.914 ,  17 ,  2 ,  295 ,  179 ,  24 ,  23 ,  -   
HINIGARAN,  20.577 ,  19.428 ,  1.075 ,  4 ,  2 ,  8 ,  36 ,  19 ,  5 ,  -   
HINOBA-AN (ASIA),  12.538 ,  9.427 ,  2.882 ,  7 ,  1 ,  72 ,  132 ,  13 ,  4 ,  -   
ILOG,  13.066 ,  10.813 ,  2.034 ,  4 ,  1 ,  101 ,  100 ,  13 ,  -   ,  -   
ISABELA,  13.801 ,  11.072 ,  2.406 ,  36 ,  2 ,  37 ,  217 ,  21 ,  10 ,  -   
CITY OF KABANKALAN,  40.351 ,  30.345 ,  9.389 ,  14 ,  3 ,  229 ,  299 ,  59 ,  13 ,  -   
LA CARLOTA CITY,  16.287 ,  14.815 ,  1.158 ,  12 ,  -   ,  74 ,  169 ,  30 ,  29 ,  -   
LA CASTELLANA,  17.208 ,  12.392 ,  3.813 ,  11 ,  2 ,  366 ,  300 ,  324 ,  -   ,  -   
MANAPLA,  13.038 ,  11.587 ,  1.312 ,  2 ,  5 ,  17 ,  52 ,  41 ,  22 ,  -   
MOISES PADILLA (MAGALLON),  8.870 ,  5.757 ,  2.606 ,  98 ,  -   ,  166 ,  139 ,  95 ,  9 ,  -   
MURCIA,  18.517 ,  16.561 ,  1.789 ,  18 ,  -   ,  41 ,  78 ,  25 ,  5 ,  -   
PONTEVEDRA,  12.077 ,  10.910 ,  1.008 ,  7 ,  1 ,  24 ,  63 ,  59 ,  5 ,  -   
PULUPANDAN,  6.416 ,  6.255 ,  140 ,  -   ,  3 ,  4 ,  2 ,  5 ,  7 ,  -   
SAGAY CITY,  33.488 ,  25.147 ,  7.283 ,  17 ,  1 ,  338 ,  378 ,  262 ,  62 ,  -   
SAN CARLOS CITY,  31.002 ,  17.268 ,  10.470 ,  75 ,  4 ,  1.484 ,  1.407 ,  271 ,  23 ,  -   
SAN ENRIQUE,  5.587 ,  5.328 ,  243 ,  2 ,  -   ,  -   ,  5 ,  5 ,  4 ,  -   
SILAY CITY,  28.953 ,  27.054 ,  1.618 ,  13 ,  5 ,  32 ,  82 ,  103 ,  46 ,  -   
CITY OF SIPALAY,  14.803 ,  10.303 ,  3.837 ,  37 ,  9 ,  266 ,  298 ,  45 ,  8 ,  -   
CITY OF TALISAY,  23.107 ,  21.783 ,  1.138 ,  12 ,  1 ,  30 ,  58 ,  69 ,  15 ,  1 
TOBOSO,  9.745 ,  6.899 ,  2.589 ,  42 ,  2 ,  70 ,  108 ,  8 ,  27 ,  -   
VALLADOLID,  8.887 ,  8.657 ,  209 ,  2 ,  -   ,  1 ,  12 ,  3 ,  3 ,  -   
CITY OF VICTORIAS,  19.556 ,  17.254 ,  1.686 ,  3 ,  3 ,  84 ,  255 ,  146 ,  125 ,  -   
SALVADOR BENEDICTO,  5.866 ,  2.546 ,  1.622 ,  30 ,  1 ,  758 ,  892 ,  15 ,  2 ,  -   
BACOLOD CITY (Capital),  129.076 ,  125.230 ,  2.847 ,  235 ,  50 ,  108 ,  181 ,  303 ,  122 ,  -   
,,,,,,,,,,
REGION VII - CENTRAL VISAYAS,  1.699.058 ,  1.455.330 ,  207.153 ,  796 ,  421 ,  9.291 ,  17.212 ,  6.753 ,  2.088 ,  14 
BOHOL,  288.515 ,  246.390 ,  36.249 ,  325 ,  134 ,  946 ,  1.741 ,  2.399 ,  331 ,  -   
ALBURQUERQUE,  2.422 ,  2.266 ,  125 ,  1 ,  1 ,  -   ,  1 ,  25 ,  3 ,  -   
ALICIA,  5.105 ,  4.199 ,  786 ,  6 ,  89 ,  6 ,  17 ,  1 ,  1 ,  -   
ANDA,  3.764 ,  3.246 ,  504 ,  -   ,  -   ,  1 ,  2 ,  10 ,  1 ,  -   
ANTEQUERA,  3.482 ,  3.203 ,  251 ,  -   ,  -   ,  3 ,  4 ,  9 ,  12 ,  -   
BACLAYON,  4.397 ,  4.198 ,  161 ,  3 ,  -   ,  1 ,  10 ,  23 ,  1 ,  -   
BALILIHAN,  4.084 ,  3.701 ,  364 ,  -   ,  -   ,  2 ,  4 ,  7 ,  6 ,  -   
BATUAN,  2.853 ,  2.687 ,  148 ,  5 ,  -   ,  1 ,  1 ,  11 ,  -   ,  -   
BILAR,  3.768 ,  3.474 ,  264 ,  5 ,  -   ,  -   ,  15 ,  9 ,  1 ,  -   
BUENAVISTA,  6.034 ,  4.357 ,  1.650 ,  2 ,  -   ,  2 ,  18 ,  4 ,  1 ,  -   
CALAPE,  7.404 ,  6.863 ,  477 ,  1 ,  -   ,  4 ,  17 ,  37 ,  5 ,  -   
CANDIJAY,  6.771 ,  5.664 ,  1.058 ,  -   ,  -   ,  5 ,  12 ,  16 ,  16 ,  -   
CARMEN,  10.306 ,  9.144 ,  1.036 ,  5 ,  6 ,  5 ,  34 ,  73 ,  3 ,  -   
CATIGBIAN,  5.124 ,  4.566 ,  524 ,  1 ,  1 ,  2 ,  18 ,  12 ,  -   ,  -   
CLARIN,  4.623 ,  4.208 ,  346 ,  3 ,  1 ,  7 ,  25 ,  31 ,  2 ,  -   
CORELLA,  1.908 ,  1.808 ,  87 ,  -   ,  1 ,  -   ,  1 ,  9 ,  2 ,  -   
CORTES,  3.630 ,  3.355 ,  240 ,  3 ,  -   ,  6 ,  9 ,  15 ,  2 ,  -   
DAGOHOY,  4.176 ,  3.297 ,  839 ,  -   ,  2 ,  4 ,  19 ,  12 ,  3 ,  -   
DANAO,  3.921 ,  3.227 ,  655 ,  2 ,  1 ,  -   ,  20 ,  8 ,  8 ,  -   
DAUIS,  9.900 ,  9.454 ,  345 ,  5 ,  2 ,  7 ,  23 ,  48 ,  16 ,  -   
DIMIAO,  3.227 ,  3.057 ,  134 ,  4 ,  1 ,  1 ,  2 ,  10 ,  18 ,  -   
DUERO,  4.017 ,  3.463 ,  525 ,  -   ,  -   ,  5 ,  16 ,  8 ,  -   ,  -   
GARCIA HERNANDEZ,  4.993 ,  4.556 ,  379 ,  39 ,  -   ,  -   ,  2 ,  6 ,  11 ,  -   
GUINDULMAN,  7.234 ,  6.264 ,  932 ,  5 ,  1 ,  2 ,  12 ,  14 ,  4 ,  -   
INABANGA,  9.896 ,  8.575 ,  1.203 ,  31 ,  1 ,  9 ,  33 ,  21 ,  23 ,  -   
JAGNA,  7.506 ,  7.078 ,  388 ,  -   ,  -   ,  2 ,  16 ,  8 ,  14 ,  -   
GETAFE,  6.487 ,  4.522 ,  1.535 ,  63 ,  -   ,  180 ,  150 ,  26 ,  11 ,  -   
LILA,  2.090 ,  2.029 ,  56 ,  -   ,  -   ,  -   ,  2 ,  2 ,  1 ,  -   
LOAY,  3.578 ,  3.333 ,  234 ,  2 ,  -   ,  1 ,  1 ,  5 ,  2 ,  -   
LOBOC,  3.483 ,  3.261 ,  200 ,  -   ,  -   ,  10 ,  9 ,  3 ,  -   ,  -   
LOON,  9.952 ,  9.000 ,  809 ,  -   ,  -   ,  9 ,  31 ,  92 ,  11 ,  -   
MABINI,  6.254 ,  4.973 ,  1.242 ,  -   ,  1 ,  2 ,  14 ,  19 ,  3 ,  -   
MARIBOJOC,  4.748 ,  4.273 ,  316 ,  -   ,  1 ,  2 ,  51 ,  36 ,  69 ,  -   
PANGLAO,  7.020 ,  6.674 ,  305 ,  3 ,  1 ,  3 ,  15 ,  13 ,  6 ,  -   
PILAR,  5.975 ,  4.507 ,  1.434 ,  2 ,  1 ,  3 ,  19 ,  9 ,  -   ,  -   
PRES. CARLOS P. GARCIA (PITOGO),  5.164 ,  3.429 ,  1.630 ,  7 ,  -   ,  76 ,  8 ,  4 ,  10 ,  -   
SAGBAYAN (BORJA),  5.157 ,  4.588 ,  493 ,  2 ,  1 ,  -   ,  31 ,  29 ,  13 ,  -   
SAN ISIDRO,  2.198 ,  2.004 ,  182 ,  -   ,  -   ,  2 ,  7 ,  3 ,  -   ,  -   
SAN MIGUEL,  5.396 ,  4.263 ,  1.102 ,  -   ,  1 ,  6 ,  20 ,  4 ,  -   ,  -   
SEVILLA,  2.240 ,  2.117 ,  112 ,  -   ,  1 ,  -   ,  3 ,  4 ,  3 ,  -   
SIERRA BULLONES,  5.412 ,  4.543 ,  839 ,  2 ,  3 ,  2 ,  12 ,  9 ,  2 ,  -   
SIKATUNA,  1.515 ,  1.461 ,  51 ,  -   ,  -   ,  -   ,  -   ,  2 ,  1 ,  -   
TAGBILARAN CITY (Capital),  21.863 ,  20.455 ,  1.108 ,  13 ,  4 ,  44 ,  80 ,  148 ,  11 ,  -   
TALIBON,  14.335 ,  10.338 ,  2.897 ,  42 ,  2 ,  208 ,  676 ,  162 ,  10 ,  -   
TRINIDAD,  6.857 ,  5.133 ,  1.676 ,  -   ,  5 ,  4 ,  23 ,  16 ,  -   ,  -   
TUBIGON,  10.356 ,  9.527 ,  677 ,  4 ,  3 ,  5 ,  82 ,  40 ,  18 ,  -   
UBAY,  16.578 ,  12.539 ,  3.720 ,  58 ,  2 ,  121 ,  122 ,  16 ,  -   ,  -   
VALENCIA,  5.587 ,  4.967 ,  603 ,  2 ,  1 ,  1 ,  5 ,  7 ,  1 ,  -   
BIEN UNIDO,  5.725 ,  2.544 ,  1.607 ,  4 ,  -   ,  192 ,  49 ,  1.323 ,  6 ,  -   
"CEBU (excluding Cebu, Lapu-lapu and Mandaue City)",  669.322 ,  603.711 ,  54.449 ,  63 ,  171 ,  1.141 ,  7.313 ,  1.389 ,  1.071 ,  14 
ALCANTARA,  3.444 ,  2.988 ,  441 ,  -   ,  -   ,  1 ,  6 ,  8 ,  -   ,  -   
ALCOY,  3.388 ,  2.999 ,  362 ,  5 ,  -   ,  1 ,  15 ,  2 ,  4 ,  -   
ALEGRIA,  5.028 ,  3.828 ,  1.186 ,  -   ,  -   ,  5 ,  5 ,  4 ,  -   ,  -   
ALOGUINSAN,  6.901 ,  6.622 ,  242 ,  -   ,  1 ,  -   ,  16 ,  9 ,  11 ,  -   
ARGAO,  16.574 ,  15.631 ,  899 ,  1 ,  -   ,  4 ,  13 ,  25 ,  1 ,  -   
ASTURIAS,  10.222 ,  8.920 ,  1.287 ,  -   ,  -   ,  2 ,  6 ,  7 ,  -   ,  -   
BADIAN,  8.218 ,  7.159 ,  1.032 ,  -   ,  1 ,  8 ,  9 ,  9 ,  -   ,  -   
BALAMBAN,  19.614 ,  18.251 ,  1.315 ,  26 ,  -   ,  1 ,  11 ,  10 ,  -   ,  -   
BANTAYAN,  18.494 ,  14.557 ,  1.485 ,  -   ,  67 ,  444 ,  1.794 ,  111 ,  36 ,  -   
BARILI,  15.778 ,  14.978 ,  737 ,  9 ,  -   ,  -   ,  17 ,  23 ,  -   ,  14 
CITY OF BOGO,  19.360 ,  17.094 ,  1.742 ,  4 ,  1 ,  106 ,  299 ,  60 ,  54 ,  -   
BOLJOON,  3.374 ,  2.653 ,  711 ,  -   ,  -   ,  -   ,  8 ,  2 ,  -   ,  -   
BORBON,  8.420 ,  6.913 ,  1.455 ,  -   ,  -   ,  5 ,  19 ,  27 ,  1 ,  -   
CITY OF CARCAR,  27.149 ,  26.305 ,  756 ,  -   ,  4 ,  10 ,  47 ,  27 ,  -   ,  -   
CARMEN,  11.265 ,  10.586 ,  672 ,  1 ,  -   ,  -   ,  3 ,  3 ,  -   ,  -   
CATMON,  6.940 ,  6.306 ,  619 ,  -   ,  -   ,  3 ,  8 ,  4 ,  -   ,  -   
COMPOSTELA,  10.880 ,  10.554 ,  304 ,  2 ,  1 ,  1 ,  9 ,  1 ,  8 ,  -   
CONSOLACION,  30.625 ,  29.654 ,  897 ,  -   ,  -   ,  5 ,  27 ,  30 ,  12 ,  -   
CORDOVA,  13.324 ,  10.376 ,  1.829 ,  10 ,  2 ,  127 ,  388 ,  445 ,  147 ,  -   
DAANBANTAYAN,  19.790 ,  16.681 ,  2.021 ,  -   ,  21 ,  30 ,  891 ,  65 ,  81 ,  -   
DALAGUETE,  14.433 ,  12.464 ,  1.886 ,  -   ,  -   ,  3 ,  17 ,  14 ,  49 ,  -   
DANAO CITY,  31.611 ,  29.925 ,  1.615 ,  -   ,  19 ,  5 ,  14 ,  10 ,  23 ,  -   
DUMANJUG,  10.960 ,  10.238 ,  681 ,  -   ,  2 ,  4 ,  11 ,  24 ,  -   ,  -   
GINATILAN,  3.380 ,  2.807 ,  556 ,  -   ,  -   ,  1 ,  10 ,  4 ,  2 ,  -   
LILOAN,  27.847 ,  26.779 ,  986 ,  1 ,  2 ,  17 ,  30 ,  30 ,  2 ,  -   
MADRIDEJOS,  8.113 ,  7.017 ,  645 ,  -   ,  -   ,  17 ,  395 ,  31 ,  8 ,  -   
MALABUYOC,  3.817 ,  2.943 ,  836 ,  1 ,  -   ,  16 ,  9 ,  6 ,  6 ,  -   
MEDELLIN,  12.836 ,  10.630 ,  1.178 ,  -   ,  2 ,  159 ,  757 ,  68 ,  42 ,  -   
MINGLANILLA,  30.599 ,  29.340 ,  1.202 ,  -   ,  -   ,  8 ,  29 ,  3 ,  17 ,  -   
MOALBOAL,  7.284 ,  6.685 ,  547 ,  -   ,  -   ,  3 ,  22 ,  14 ,  13 ,  -   
CITY OF NAGA,  26.177 ,  24.269 ,  1.756 ,  -   ,  3 ,  9 ,  104 ,  6 ,  30 ,  -   
OSLOB,  5.998 ,  4.976 ,  978 ,  -   ,  1 ,  10 ,  20 ,  11 ,  2 ,  -   
PILAR,  2.989 ,  2.504 ,  458 ,  -   ,  -   ,  1 ,  4 ,  -   ,  22 ,  -   
PINAMUNGAHAN,  13.874 ,  13.233 ,  595 ,  3 ,  1 ,  3 ,  18 ,  4 ,  17 ,  -   
PORO,  6.104 ,  4.860 ,  1.202 ,  -   ,  -   ,  2 ,  9 ,  4 ,  27 ,  -   
RONDA,  4.823 ,  4.443 ,  365 ,  -   ,  -   ,  -   ,  9 ,  2 ,  4 ,  -   
SAMBOAN,  4.510 ,  3.815 ,  680 ,  -   ,  3 ,  4 ,  1 ,  2 ,  5 ,  -   
SAN FERNANDO,  14.258 ,  12.988 ,  1.177 ,  -   ,  17 ,  2 ,  22 ,  14 ,  38 ,  -   
SAN FRANCISCO,  12.278 ,  8.230 ,  3.958 ,  -   ,  -   ,  8 ,  39 ,  17 ,  26 ,  -   
SAN REMIGIO,  14.470 ,  12.783 ,  1.405 ,  -   ,  1 ,  12 ,  130 ,  69 ,  70 ,  -   
SANTA FE,  6.779 ,  4.883 ,  584 ,  -   ,  1 ,  13 ,  1.214 ,  84 ,  -   ,  -   
SANTANDER,  4.256 ,  3.610 ,  621 ,  -   ,  -   ,  2 ,  10 ,  9 ,  4 ,  -   
SIBONGA,  11.350 ,  10.752 ,  566 ,  -   ,  1 ,  1 ,  11 ,  1 ,  18 ,  -   
SOGOD,  8.452 ,  7.060 ,  1.089 ,  -   ,  2 ,  30 ,  250 ,  8 ,  13 ,  -   
TABOGON,  9.628 ,  8.300 ,  836 ,  -   ,  2 ,  33 ,  417 ,  10 ,  30 ,  -   
TABUELAN,  6.415 ,  5.361 ,  944 ,  -   ,  -   ,  12 ,  66 ,  19 ,  13 ,  -   
CITY OF TALISAY,  51.239 ,  49.725 ,  1.337 ,  -   ,  5 ,  4 ,  69 ,  29 ,  70 ,  -   
TOLEDO CITY,  38.259 ,  35.719 ,  2.492 ,  -   ,  11 ,  2 ,  22 ,  8 ,  5 ,  -   
TUBURAN,  15.028 ,  12.146 ,  2.689 ,  -   ,  -   ,  4 ,  13 ,  16 ,  160 ,  -   
TUDELA,  2.767 ,  2.171 ,  593 ,  -   ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
CEBU CITY (Capital),  213.738 ,  208.101 ,  4.664 ,  18 ,  17 ,  54 ,  298 ,  287 ,  299 ,  -   
LAPU-LAPU CITY (OPON),  99.573 ,  85.427 ,  9.234 ,  196 ,  10 ,  954 ,  2.340 ,  1.294 ,  118 ,  -   
MANDAUE CITY,  94.547 ,  91.317 ,  2.307 ,  118 ,  5 ,  47 ,  272 ,  322 ,  159 ,  -   
SIQUIJOR,  22.737 ,  18.584 ,  3.693 ,  6 ,  3 ,  38 ,  166 ,  221 ,  26 ,  -   
ENRIQUE VILLANUEVA,  1.476 ,  1.312 ,  150 ,  -   ,  1 ,  -   ,  4 ,  8 ,  1 ,  -   
LARENA,  3.115 ,  2.849 ,  246 ,  -   ,  2 ,  1 ,  2 ,  13 ,  2 ,  -   
LAZI,  5.011 ,  3.620 ,  1.254 ,  -   ,  -   ,  9 ,  62 ,  61 ,  5 ,  -   
MARIA,  3.164 ,  2.480 ,  589 ,  -   ,  -   ,  13 ,  43 ,  38 ,  1 ,  -   
SAN JUAN,  3.579 ,  2.900 ,  638 ,  2 ,  -   ,  3 ,  13 ,  20 ,  3 ,  -   
SIQUIJOR (Capital),  6.392 ,  5.423 ,  816 ,  4 ,  -   ,  12 ,  42 ,  81 ,  14 ,  -   
NEGROS ORIENTAL,  310.626 ,  201.800 ,  96.557 ,  70 ,  81 ,  6.111 ,  5.082 ,  841 ,  84 ,  -   
AMLAN (AYUQUITAN),  5.525 ,  4.774 ,  726 ,  -   ,  -   ,  8 ,  17 ,  -   ,  -   ,  -   
AYUNGON,  10.573 ,  5.020 ,  5.258 ,  -   ,  1 ,  176 ,  103 ,  -   ,  15 ,  -   
BACONG,  8.265 ,  6.852 ,  1.303 ,  -   ,  2 ,  45 ,  29 ,  34 ,  -   ,  -   
BAIS CITY,  17.693 ,  11.779 ,  5.732 ,  -   ,  2 ,  86 ,  73 ,  21 ,  -   ,  -   
BASAY,  5.971 ,  3.408 ,  2.257 ,  -   ,  1 ,  72 ,  116 ,  112 ,  5 ,  -   
CITY OF BAYAWAN (TULONG),  25.646 ,  12.550 ,  10.898 ,  -   ,  4 ,  1.163 ,  894 ,  137 ,  -   ,  -   
BINDOY (PAYABON),  8.702 ,  4.417 ,  4.048 ,  -   ,  -   ,  113 ,  124 ,  -   ,  -   ,  -   
CANLAON CITY,  12.692 ,  8.515 ,  3.492 ,  -   ,  2 ,  316 ,  306 ,  55 ,  6 ,  -   
DAUIN,  6.520 ,  5.463 ,  915 ,  -   ,  -   ,  22 ,  24 ,  44 ,  52 ,  -   
DUMAGUETE CITY (Capital),  29.750 ,  27.735 ,  1.861 ,  -   ,  7 ,  28 ,  71 ,  48 ,  -   ,  -   
CITY OF GUIHULNGAN,  22.494 ,  11.254 ,  9.832 ,  -   ,  3 ,  668 ,  736 ,  1 ,  -   ,  -   
JIMALALUD,  7.191 ,  3.253 ,  3.700 ,  -   ,  -   ,  141 ,  96 ,  1 ,  -   ,  -   
LA LIBERTAD,  9.164 ,  4.229 ,  4.304 ,  -   ,  1 ,  241 ,  359 ,  26 ,  4 ,  -   
MABINAY,  17.709 ,  9.521 ,  7.502 ,  -   ,  3 ,  360 ,  297 ,  26 ,  -   ,  -   
MANJUYOD,  9.943 ,  7.089 ,  2.591 ,  -   ,  44 ,  76 ,  94 ,  49 ,  -   ,  -   
PAMPLONA,  8.714 ,  6.921 ,  1.757 ,  -   ,  -   ,  17 ,  18 ,  1 ,  -   ,  -   
SAN JOSE,  4.607 ,  3.722 ,  874 ,  -   ,  -   ,  3 ,  6 ,  2 ,  -   ,  -   
SANTA CATALINA,  16.873 ,  9.013 ,  6.461 ,  -   ,  2 ,  883 ,  426 ,  88 ,  -   ,  -   
SIATON,  17.857 ,  10.148 ,  5.792 ,  70 ,  5 ,  1.236 ,  524 ,  81 ,  1 ,  -   
SIBULAN,  13.903 ,  11.561 ,  2.221 ,  -   ,  2 ,  18 ,  65 ,  35 ,  1 ,  -   
CITY OF TANJAY,  19.043 ,  14.847 ,  4.002 ,  -   ,  -   ,  94 ,  98 ,  2 ,  -   ,  -   
TAYASAN,  8.623 ,  3.872 ,  4.457 ,  -   ,  -   ,  103 ,  185 ,  6 ,  -   ,  -   
VALENCIA (LUZURRIAGA),  7.990 ,  6.739 ,  1.164 ,  -   ,  -   ,  13 ,  44 ,  30 ,  -   ,  -   
VALLEHERMOSO,  8.571 ,  4.814 ,  3.459 ,  -   ,  -   ,  118 ,  165 ,  15 ,  -   ,  -   
ZAMBOANGUITA,  6.607 ,  4.304 ,  1.951 ,  -   ,  2 ,  111 ,  212 ,  27 ,  -   ,  -   
,,,,,,,,,,
REGION VIII - EASTERN VISAYAS,  985.418 ,  826.736 ,  128.180 ,  5.998 ,  255 ,  4.777 ,  15.624 ,  2.871 ,  974 ,  3 
BILIRAN,  38.518 ,  35.154 ,  3.067 ,  13 ,  -   ,  114 ,  104 ,  32 ,  34 ,  -   
ALMERIA,  4.043 ,  3.746 ,  293 ,  -   ,  -   ,  -   ,  4 ,  -   ,  -   ,  -   
BILIRAN,  3.866 ,  3.472 ,  362 ,  -   ,  -   ,  -   ,  18 ,  8 ,  6 ,  -   
CABUCGAYAN,  4.751 ,  4.402 ,  329 ,  -   ,  -   ,  -   ,  13 ,  3 ,  4 ,  -   
CAIBIRAN,  4.808 ,  4.467 ,  319 ,  5 ,  -   ,  3 ,  9 ,  5 ,  -   ,  -   
CULABA,  2.727 ,  2.517 ,  209 ,  -   ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
KAWAYAN,  4.631 ,  4.172 ,  425 ,  8 ,  -   ,  7 ,  11 ,  2 ,  6 ,  -   
MARIPIPI,  1.668 ,  1.441 ,  222 ,  -   ,  -   ,  -   ,  5 ,  -   ,  -   ,  -   
NAVAL (Capital),  12.024 ,  10.937 ,  908 ,  -   ,  -   ,  103 ,  44 ,  14 ,  18 ,  -   
EASTERN SAMAR,  106.292 ,  95.685 ,  7.132 ,  465 ,  66 ,  571 ,  2.103 ,  151 ,  119 ,  -   
ARTECHE,  3.505 ,  3.285 ,  202 ,  -   ,  -   ,  1 ,  17 ,  -   ,  -   ,  -   
BALANGIGA,  3.277 ,  2.928 ,  265 ,  -   ,  -   ,  5 ,  72 ,  1 ,  6 ,  -   
