City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
TUKURAN,  8.498 ,  1.244 ,  2.222 ,  808 ,  1.986 ,  469 ,  568 ,  596 ,  245 ,  2 ,  210 ,  139 ,  9 ,  -   
LAKEWOOD,  4.099 ,  538 ,  594 ,  24 ,  134 ,  4 ,  84 ,  1.876 ,  671 ,  53 ,  118 ,  2 ,  1 ,  -   
JOSEFINA,  2.556 ,  972 ,  1.006 ,  2 ,  174 ,  1 ,  230 ,  15 ,  142 ,  14 ,  -   ,  -   ,  -   ,  -   
PITOGO,  5.881 ,  1.753 ,  1.228 ,  126 ,  1.780 ,  156 ,  296 ,  324 ,  114 ,  18 ,  8 ,  71 ,  7 ,  -   
SOMINOT (DON MARIANO MARCOS),  4.149 ,  777 ,  554 ,  92 ,  745 ,  432 ,  879 ,  507 ,  154 ,  2 ,  4 ,  2 ,  1 ,  -   
VINCENZO A. SAGUN,  5.061 ,  2.314 ,  1.465 ,  3 ,  8 ,  1 ,  1.079 ,  162 ,  23 ,  2 ,  -   ,  4 ,  -   ,  -   
GUIPOS,  4.307 ,  1.796 ,  1.276 ,  77 ,  253 ,  6 ,  212 ,  247 ,  369 ,  36 ,  24 ,  8 ,  3 ,  -   
TIGBAO,  4.601 ,  645 ,  1.912 ,  117 ,  354 ,  14 ,  152 ,  1.199 ,  22 ,  173 ,  5 ,  7 ,  1 ,  -   
ZAMBOANGA CITY,  190.568 ,  83.811 ,  47.932 ,  5.018 ,  14.045 ,  1.419 ,  14.196 ,  4.591 ,  443 ,  1.456 ,  13.796 ,  3.672 ,  189 ,  -   
ZAMBOANGA SIBUGAY,  140.791 ,  20.743 ,  45.125 ,  5.438 ,  23.099 ,  2.171 ,  25.094 ,  7.191 ,  2.560 ,  2.241 ,  4.310 ,  2.714 ,  105 ,  -   
ALICIA,  7.766 ,  430 ,  3.960 ,  44 ,  662 ,  328 ,  2.122 ,  45 ,  7 ,  102 ,  52 ,  13 ,  1 ,  -   
BUUG,  8.344 ,  2.438 ,  2.746 ,  409 ,  380 ,  37 ,  532 ,  1.061 ,  208 ,  376 ,  2 ,  145 ,  10 ,  -   
DIPLAHAN,  7.663 ,  654 ,  3.405 ,  320 ,  748 ,  68 ,  318 ,  997 ,  388 ,  97 ,  364 ,  304 ,  -   ,  -   
IMELDA,  6.540 ,  1.731 ,  2.214 ,  204 ,  172 ,  65 ,  819 ,  617 ,  580 ,  25 ,  50 ,  62 ,  1 ,  -   
IPIL (CAPITAL),  18.094 ,  2.978 ,  5.418 ,  1.035 ,  3.586 ,  238 ,  2.014 ,  258 ,  46 ,  86 ,  1.543 ,  886 ,  6 ,  -   
KABASALAN,  9.517 ,  2.475 ,  4.199 ,  253 ,  516 ,  54 ,  799 ,  691 ,  242 ,  246 ,  3 ,  38 ,  1 ,  -   
MABUHAY,  6.986 ,  1.100 ,  1.373 ,  151 ,  2.175 ,  289 ,  1.797 ,  9 ,  1 ,  -   ,  63 ,  28 ,  -   ,  -   
MALANGAS,  8.067 ,  903 ,  2.573 ,  290 ,  1.330 ,  177 ,  1.680 ,  372 ,  115 ,  31 ,  294 ,  300 ,  2 ,  -   
NAGA,  8.562 ,  1.013 ,  2.976 ,  180 ,  559 ,  147 ,  1.367 ,  1.023 ,  18 ,  126 ,  1.043 ,  110 ,  -   ,  -   
OLUTANGA,  6.765 ,  2.188 ,  1.672 ,  41 ,  1.737 ,  29 ,  1.068 ,  3 ,  5 ,  5 ,  13 ,  4 ,  -   ,  -   
PAYAO,  6.943 ,  365 ,  1.206 ,  41 ,  874 ,  25 ,  3.772 ,  443 ,  162 ,  12 ,  38 ,  2 ,  3 ,  -   
ROSELLER LIM,  10.513 ,  1.804 ,  3.181 ,  862 ,  1.924 ,  188 ,  1.790 ,  279 ,  242 ,  109 ,  12 ,  86 ,  36 ,  -   
SIAY,  9.215 ,  693 ,  2.820 ,  242 ,  1.459 ,  112 ,  1.634 ,  287 ,  196 ,  447 ,  731 ,  552 ,  42 ,  -   
TALUSAN,  5.191 ,  918 ,  1.326 ,  158 ,  1.512 ,  148 ,  984 ,  102 ,  6 ,  8 ,  6 ,  20 ,  3 ,  -   
TITAY,  11.138 ,  590 ,  3.219 ,  816 ,  2.660 ,  154 ,  2.447 ,  544 ,  174 ,  438 ,  13 ,  83 ,  -   ,  -   
TUNGAWAN,  9.487 ,  463 ,  2.837 ,  392 ,  2.805 ,  112 ,  1.951 ,  460 ,  170 ,  133 ,  83 ,  81 ,  -   ,  -   
CITY OF ISABELA,  22.916 ,  10.133 ,  4.844 ,  573 ,  3.088 ,  77 ,  1.483 ,  678 ,  129 ,  204 ,  1.573 ,  126 ,  8 ,  -   
,,,,,,,,,,,,,,
REGION X - NORTHERN MINDANAO,  1.042.814 ,  443.013 ,  270.494 ,  28.761 ,  109.386 ,  9.662 ,  33.520 ,  81.555 ,  34.266 ,  10.037 ,  10.882 ,  10.804 ,  434 ,  -   
BUKIDNON,  308.727 ,  116.387 ,  86.355 ,  9.366 ,  23.120 ,  2.616 ,  13.497 ,  35.472 ,  16.536 ,  1.745 ,  2.013 ,  1.597 ,  23 ,  -   
BAUNGON,  7.598 ,  2.168 ,  1.742 ,  14 ,  367 ,  85 ,  562 ,  1.170 ,  1.333 ,  76 ,  6 ,  74 ,  1 ,  -   
DAMULOG,  6.783 ,  1.882 ,  735 ,  377 ,  995 ,  237 ,  371 ,  1.056 ,  1.099 ,  12 ,  5 ,  13 ,  1 ,  -   
DANGCAGAN,  5.168 ,  2.390 ,  1.271 ,  104 ,  156 ,  14 ,  627 ,  506 ,  74 ,  3 ,  4 ,  19 ,  -   ,  -   
DON CARLOS,  14.399 ,  4.012 ,  1.558 ,  1.091 ,  2.224 ,  122 ,  2.747 ,  1.283 ,  1.144 ,  16 ,  48 ,  153 ,  1 ,  -   
IMPASUG-ONG,  9.858 ,  3.718 ,  5.022 ,  75 ,  199 ,  72 ,  105 ,  428 ,  200 ,  25 ,  2 ,  12 ,  -   ,  -   
KADINGILAN,  7.454 ,  2.717 ,  1.400 ,  53 ,  196 ,  304 ,  374 ,  1.517 ,  850 ,  3 ,  1 ,  39 ,  -   ,  -   
KALILANGAN,  8.869 ,  2.840 ,  1.747 ,  219 ,  881 ,  25 ,  483 ,  2.063 ,  583 ,  15 ,  2 ,  11 ,  -   ,  -   
KIBAWE,  8.872 ,  2.904 ,  1.902 ,  283 ,  816 ,  66 ,  1.141 ,  1.240 ,  476 ,  3 ,  24 ,  17 ,  -   ,  -   
KITAOTAO,  10.897 ,  2.261 ,  4.121 ,  378 ,  951 ,  83 ,  477 ,  2.399 ,  164 ,  8 ,  9 ,  43 ,  3 ,  -   
LANTAPAN,  12.967 ,  5.214 ,  5.194 ,  118 ,  538 ,  10 ,  131 ,  817 ,  356 ,  253 ,  283 ,  53 ,  -   ,  -   
LIBONA,  9.957 ,  4.395 ,  2.341 ,  415 ,  529 ,  9 ,  458 ,  1.009 ,  449 ,  52 ,  247 ,  47 ,  6 ,  -   
CITY OF MALAYBALAY (Capital),  38.971 ,  18.542 ,  10.413 ,  1.042 ,  2.866 ,  63 ,  365 ,  3.599 ,  477 ,  533 ,  577 ,  494 ,  -   ,  -   
MALITBOG,  4.999 ,  1.297 ,  2.600 ,  29 ,  91 ,  7 ,  158 ,  594 ,  170 ,  34 ,  1 ,  18 ,  -   ,  -   
MANOLO FORTICH,  21.248 ,  10.890 ,  7.529 ,  51 ,  260 ,  25 ,  476 ,  1.380 ,  506 ,  52 ,  37 ,  42 ,  -   ,  -   
MARAMAG,  23.004 ,  12.160 ,  6.012 ,  576 ,  815 ,  20 ,  682 ,  1.866 ,  526 ,  26 ,  197 ,  115 ,  9 ,  -   
PANGANTUCAN,  11.396 ,  5.179 ,  3.203 ,  32 ,  173 ,  70 ,  567 ,  1.246 ,  853 ,  29 ,  20 ,  24 ,  -   ,  -   
QUEZON,  22.996 ,  5.029 ,  7.249 ,  936 ,  3.018 ,  681 ,  1.017 ,  3.562 ,  684 ,  376 ,  324 ,  120 ,  -   ,  -   
SAN FERNANDO,  12.394 ,  1.793 ,  5.506 ,  290 ,  1.504 ,  54 ,  219 ,  1.351 ,  1.601 ,  61 ,  -   ,  15 ,  -   ,  -   
SUMILAO,  5.638 ,  2.558 ,  2.038 ,  20 ,  37 ,  3 ,  197 ,  674 ,  91 ,  5 ,  6 ,  9 ,  -   ,  -   
TALAKAG,  14.174 ,  1.988 ,  3.283 ,  110 ,  369 ,  21 ,  950 ,  3.390 ,  3.845 ,  127 ,  30 ,  60 ,  1 ,  -   
CITY OF VALENCIA,  44.137 ,  20.630 ,  8.288 ,  3.097 ,  5.888 ,  606 ,  1.299 ,  3.295 ,  615 ,  22 ,  190 ,  207 ,  -   ,  -   
CABANGLASAN,  6.948 ,  1.820 ,  3.201 ,  56 ,  247 ,  39 ,  91 ,  1.027 ,  440 ,  14 ,  -   ,  12 ,  1 ,  -   
CAMIGUIN,  20.080 ,  16.536 ,  2.755 ,  14 ,  234 ,  7 ,  3 ,  469 ,  56 ,  5 ,  1 ,  -   ,  -   ,  -   
CATARMAN,  4.060 ,  3.425 ,  352 ,  7 ,  24 ,  2 ,  -   ,  249 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
GUINSILIBAN,  1.459 ,  1.056 ,  299 ,  1 ,  96 ,  -   ,  -   ,  5 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
MAHINOG,  3.135 ,  2.314 ,  771 ,  -   ,  23 ,  -   ,  2 ,  8 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   
MAMBAJAO (Capital),  8.547 ,  7.574 ,  669 ,  5 ,  81 ,  3 ,  -   ,  199 ,  16 ,  -   ,  -   ,  -   ,  -   ,  -   
SAGAY,  2.879 ,  2.167 ,  664 ,  1 ,  10 ,  2 ,  1 ,  8 ,  21 ,  4 ,  1 ,  -   ,  -   ,  -   
LANAO DEL NORTE (excluding Iligan City),  140.350 ,  28.063 ,  37.153 ,  7.539 ,  31.033 ,  2.483 ,  7.968 ,  11.723 ,  6.807 ,  5.910 ,  1.031 ,  639 ,  1 ,  -   
BACOLOD,  5.199 ,  2.836 ,  1.161 ,  15 ,  244 ,  13 ,  211 ,  293 ,  6 ,  364 ,  9 ,  47 ,  -   ,  -   
BALOI,  10.084 ,  794 ,  2.783 ,  688 ,  2.064 ,  88 ,  2.536 ,  434 ,  4 ,  503 ,  155 ,  34 ,  1 ,  -   
BAROY,  5.601 ,  1.219 ,  560 ,  529 ,  2.170 ,  16 ,  110 ,  728 ,  154 ,  7 ,  70 ,  38 ,  -   ,  -   
KAPATAGAN,  14.998 ,  4.259 ,  6.021 ,  471 ,  2.749 ,  225 ,  197 ,  559 ,  168 ,  14 ,  292 ,  43 ,  -   ,  -   
SULTAN NAGA DIMAPORO (KAROMATAN),  11.616 ,  1.714 ,  4.383 ,  649 ,  2.872 ,  138 ,  894 ,  820 ,  48 ,  52 ,  -   ,  46 ,  -   ,  -   
KAUSWAGAN,  5.916 ,  1.811 ,  2.525 ,  39 ,  394 ,  18 ,  160 ,  352 ,  364 ,  159 ,  89 ,  5 ,  -   ,  -   
KOLAMBUGAN,  6.446 ,  1.813 ,  1.112 ,  112 ,  1.677 ,  46 ,  218 ,  1.299 ,  158 ,  -   ,  1 ,  10 ,  -   ,  -   
LALA,  15.443 ,  1.769 ,  504 ,  3.034 ,  9.150 ,  112 ,  36 ,  269 ,  167 ,  -   ,  278 ,  124 ,  -   ,  -   
LINAMON,  4.473 ,  2.104 ,  751 ,  43 ,  522 ,  95 ,  7 ,  739 ,  185 ,  2 ,  1 ,  24 ,  -   ,  -   
MAGSAYSAY,  3.839 ,  680 ,  1.076 ,  52 ,  302 ,  211 ,  905 ,  284 ,  44 ,  273 ,  1 ,  11 ,  -   ,  -   
MAIGO,  5.008 ,  2.236 ,  1.139 ,  53 ,  577 ,  7 ,  174 ,  319 ,  367 ,  113 ,  -   ,  23 ,  -   ,  -   
MATUNGAO,  2.206 ,  234 ,  462 ,  38 ,  643 ,  105 ,  9 ,  686 ,  -   ,  9 ,  1 ,  19 ,  -   ,  -   
MUNAI,  6.020 ,  718 ,  2.467 ,  36 ,  173 ,  136 ,  213 ,  283 ,  1.498 ,  496 ,  -   ,  -   ,  -   ,  -   
NUNUNGAN,  3.508 ,  17 ,  328 ,  1 ,  355 ,  2 ,  83 ,  331 ,  272 ,  2.119 ,  -   ,  -   ,  -   ,  -   
PANTAO RAGAT,  4.143 ,  456 ,  1.681 ,  27 ,  43 ,  31 ,  49 ,  1.544 ,  2 ,  178 ,  18 ,  114 ,  -   ,  -   
POONA PIAGAPO,  4.414 ,  244 ,  1.761 ,  6 ,  50 ,  3 ,  7 ,  388 ,  1.621 ,  330 ,  -   ,  4 ,  -   ,  -   
SALVADOR,  7.028 ,  202 ,  546 ,  616 ,  3.679 ,  204 ,  548 ,  18 ,  876 ,  336 ,  -   ,  3 ,  -   ,  -   
SAPAD,  4.716 ,  197 ,  1.297 ,  443 ,  1.637 ,  324 ,  258 ,  235 ,  216 ,  88 ,  11 ,  10 ,  -   ,  -   
TAGOLOAN,  2.768 ,  37 ,  607 ,  393 ,  147 ,  391 ,  243 ,  523 ,  13 ,  310 ,  101 ,  3 ,  -   ,  -   
TANGCAL,  2.405 ,  57 ,  1.520 ,  10 ,  128 ,  35 ,  53 ,  545 ,  54 ,  3 ,  -   ,  -   ,  -   ,  -   
TUBOD (Capital),  11.092 ,  4.484 ,  2.477 ,  238 ,  1.240 ,  281 ,  1.054 ,  641 ,  581 ,  13 ,  4 ,  79 ,  -   ,  -   
PANTAR,  3.427 ,  182 ,  1.992 ,  46 ,  217 ,  2 ,  3 ,  433 ,  9 ,  541 ,  -   ,  2 ,  -   ,  -   
ILIGAN CITY,  76.593 ,  33.491 ,  18.819 ,  3.359 ,  6.686 ,  613 ,  1.384 ,  8.280 ,  1.046 ,  416 ,  554 ,  1.894 ,  51 ,  -   
MISAMIS OCCIDENTAL,  134.870 ,  58.498 ,  30.009 ,  3.141 ,  17.470 ,  2.248 ,  4.359 ,  12.024 ,  4.371 ,  905 ,  925 ,  920 ,  -   ,  -   
ALORAN,  6.383 ,  2.936 ,  1.199 ,  156 ,  579 ,  186 ,  73 ,  1.142 ,  93 ,  2 ,  -   ,  17 ,  -   ,  -   
BALIANGAO,  3.877 ,  169 ,  124 ,  152 ,  1.907 ,  5 ,  1.136 ,  116 ,  3 ,  1 ,  262 ,  2 ,  -   ,  -   
BONIFACIO,  7.308 ,  1.952 ,  1.751 ,  68 ,  235 ,  40 ,  452 ,  2.551 ,  104 ,  7 ,  127 ,  21 ,  -   ,  -   
CALAMBA,  5.052 ,  2.516 ,  988 ,  51 ,  120 ,  9 ,  281 ,  528 ,  477 ,  9 ,  66 ,  7 ,  -   ,  -   
CLARIN,  8.374 ,  2.248 ,  1.786 ,  525 ,  2.951 ,  213 ,  78 ,  237 ,  77 ,  152 ,  34 ,  73 ,  -   ,  -   
CONCEPCION,  2.460 ,  16 ,  567 ,  -   ,  13 ,  -   ,  69 ,  433 ,  1.328 ,  3 ,  -   ,  31 ,  -   ,  -   
JIMENEZ,  6.362 ,  3.793 ,  731 ,  131 ,  448 ,  482 ,  15 ,  588 ,  145 ,  7 ,  1 ,  21 ,  -   ,  -   
LOPEZ JAENA,  5.830 ,  2.724 ,  1.913 ,  51 ,  288 ,  9 ,  136 ,  624 ,  3 ,  2 ,  16 ,  64 ,  -   ,  -   
OROQUIETA CITY (Capital),  16.498 ,  9.914 ,  4.014 ,  213 ,  1.284 ,  59 ,  57 ,  434 ,  422 ,  15 ,  23 ,  63 ,  -   ,  -   
OZAMIS CITY,  30.304 ,  13.614 ,  5.472 ,  1.239 ,  5.844 ,  325 ,  768 ,  1.873 ,  259 ,  443 ,  221 ,  246 ,  -   ,  -   
PANAON,  2.420 ,  1.547 ,  588 ,  10 ,  22 ,  2 ,  43 ,  70 ,  132 ,  5 ,  -   ,  1 ,  -   ,  -   
PLARIDEL,  9.195 ,  5.263 ,  2.800 ,  66 ,  422 ,  28 ,  398 ,  42 ,  14 ,  4 ,  11 ,  147 ,  -   ,  -   
SAPANG DALAGA,  4.557 ,  669 ,  1.379 ,  148 ,  272 ,  75 ,  332 ,  973 ,  580 ,  78 ,  36 ,  15 ,  -   ,  -   
SINACABAN,  4.146 ,  2.526 ,  588 ,  64 ,  263 ,  29 ,  67 ,  145 ,  419 ,  28 ,  1 ,  16 ,  -   ,  -   
TANGUB CITY,  13.040 ,  4.632 ,  2.825 ,  197 ,  2.194 ,  759 ,  334 ,  1.795 ,  40 ,  25 ,  75 ,  164 ,  -   ,  -   
TUDELA,  6.573 ,  3.669 ,  1.740 ,  56 ,  459 ,  26 ,  93 ,  275 ,  106 ,  67 ,  52 ,  30 ,  -   ,  -   
DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),  2.491 ,  310 ,  1.544 ,  14 ,  169 ,  1 ,  27 ,  198 ,  169 ,  57 ,  -   ,  2 ,  -   ,  -   
MISAMIS ORIENTAL (excluding Cagayan de Oro City),  199.020 ,  79.471 ,  60.339 ,  4.636 ,  27.109 ,  1.512 ,  5.468 ,  10.821 ,  4.161 ,  662 ,  2.436 ,  2.399 ,  6 ,  -   
ALUBIJID,  7.743 ,  4.340 ,  1.844 ,  70 ,  757 ,  62 ,  141 ,  486 ,  15 ,  7 ,  5 ,  13 ,  3 ,  -   
BALINGASAG,  14.790 ,  4.049 ,  4.354 ,  398 ,  3.553 ,  504 ,  156 ,  949 ,  657 ,  50 ,  17 ,  103 ,  -   ,  -   
BALINGOAN,  2.320 ,  980 ,  1.049 ,  7 ,  20 ,  2 ,  172 ,  47 ,  -   ,  18 ,  -   ,  25 ,  -   ,  -   
BINUANGAN,  1.556 ,  888 ,  537 ,  2 ,  12 ,  11 ,  -   ,  98 ,  5 ,  -   ,  3 ,  -   ,  -   ,  -   
CLAVERIA,  11.085 ,  3.847 ,  4.066 ,  79 ,  343 ,  31 ,  174 ,  1.617 ,  856 ,  49 ,  10 ,  12 ,  1 ,  -   
CITY OF EL SALVADOR,  11.940 ,  8.639 ,  2.521 ,  72 ,  425 ,  39 ,  50 ,  18 ,  15 ,  74 ,  13 ,  74 ,  -   ,  -   
GINGOOG CITY,  26.534 ,  8.166 ,  7.364 ,  388 ,  5.637 ,  174 ,  167 ,  3.847 ,  591 ,  69 ,  78 ,  51 ,  2 ,  -   
GITAGUM,  3.895 ,  3.014 ,  712 ,  20 ,  64 ,  1 ,  9 ,  52 ,  1 ,  14 ,  -   ,  8 ,  -   ,  -   
INITAO,  7.555 ,  2.460 ,  2.510 ,  249 ,  1.054 ,  116 ,  677 ,  108 ,  24 ,  16 ,  86 ,  255 ,  -   ,  -   
JASAAN,  12.184 ,  5.868 ,  4.480 ,  348 ,  144 ,  27 ,  538 ,  280 ,  42 ,  177 ,  72 ,  208 ,  -   ,  -   
KINOGUITAN,  3.046 ,  1.323 ,  1.291 ,  56 ,  224 ,  6 ,  130 ,  6 ,  -   ,  1 ,  1 ,  8 ,  -   ,  -   
LAGONGLONG,  4.584 ,  1.901 ,  886 ,  148 ,  1.319 ,  19 ,  100 ,  144 ,  48 ,  15 ,  -   ,  4 ,  -   ,  -   
LAGUINDINGAN,  5.614 ,  3.175 ,  1.797 ,  6 ,  360 ,  21 ,  1 ,  48 ,  7 ,  14 ,  11 ,  174 ,  -   ,  -   
LIBERTAD,  2.718 ,  1.673 ,  750 ,  20 ,  205 ,  -   ,  19 ,  29 ,  1 ,  15 ,  5 ,  1 ,  -   ,  -   
LUGAIT,  4.650 ,  1.478 ,  1.487 ,  181 ,  1.119 ,  4 ,  26 ,  139 ,  100 ,  8 ,  16 ,  92 ,  -   ,  -   
MAGSAYSAY (LINUGOS),  6.985 ,  443 ,  2.888 ,  317 ,  1.583 ,  135 ,  1.060 ,  435 ,  25 ,  6 ,  36 ,  57 ,  -   ,  -   
MANTICAO,  6.460 ,  1.499 ,  796 ,  620 ,  2.063 ,  142 ,  455 ,  538 ,  246 ,  27 ,  16 ,  58 ,  -   ,  -   
MEDINA,  7.145 ,  3.506 ,  1.764 ,  161 ,  654 ,  5 ,  271 ,  537 ,  230 ,  1 ,  8 ,  8 ,  -   ,  -   
NAAWAN,  4.726 ,  2.416 ,  855 ,  128 ,  865 ,  9 ,  84 ,  146 ,  158 ,  8 ,  51 ,  6 ,  -   ,  -   
OPOL,  14.097 ,  6.664 ,  3.609 ,  280 ,  1.293 ,  17 ,  144 ,  577 ,  895 ,  39 ,  437 ,  142 ,  -   ,  -   
SALAY,  6.350 ,  3.585 ,  2.201 ,  20 ,  302 ,  7 ,  3 ,  163 ,  49 ,  6 ,  3 ,  11 ,  -   ,  -   
SUGBONGCOGON,  1.914 ,  555 ,  1.351 ,  4 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   
TAGOLOAN,  16.999 ,  3.874 ,  5.589 ,  791 ,  3.066 ,  118 ,  883 ,  133 ,  104 ,  43 ,  1.501 ,  897 ,  -   ,  -   
TALISAYAN,  5.391 ,  730 ,  2.598 ,  188 ,  1.579 ,  11 ,  10 ,  262 ,  2 ,  1 ,  1 ,  9 ,  -   ,  -   
VILLANUEVA,  8.739 ,  4.398 ,  3.040 ,  83 ,  467 ,  51 ,  198 ,  162 ,  90 ,  4 ,  66 ,  180 ,  -   ,  -   
CAGAYAN DE ORO CITY (Capital),  163.174 ,  110.567 ,  35.064 ,  706 ,  3.734 ,  183 ,  841 ,  2.766 ,  1.289 ,  394 ,  3.922 ,  3.355 ,  353 ,  -   
,,,,,,,,,,,,,,
REGION XI - DAVAO,  1.177.409 ,  462.634 ,  223.792 ,  54.003 ,  169.201 ,  25.940 ,  43.876 ,  82.392 ,  24.022 ,  16.736 ,  51.420 ,  21.911 ,  1.482 ,  -   
DAVAO DEL NORTE,  233.232 ,  78.878 ,  27.972 ,  17.234 ,  30.291 ,  4.856 ,  10.468 ,  10.324 ,  4.344 ,  9.418 ,  29.088 ,  10.352 ,  7 ,  -   
ASUNCION (SAUG),  13.801 ,  2.486 ,  2.270 ,  952 ,  4.905 ,  178 ,  982 ,  809 ,  158 ,  211 ,  732 ,  118 ,  -   ,  -   
CARMEN,  16.743 ,  326 ,  477 ,  1.188 ,  1.088 ,  592 ,  1.425 ,  9 ,  8 ,  3.295 ,  7.805 ,  528 ,  2 ,  -   
KAPALONG,  17.265 ,  3.678 ,  1.700 ,  1.417 ,  5.886 ,  1.713 ,  318 ,  1.370 ,  9 ,  412 ,  605 ,  156 ,  1 ,  -   
NEW CORELLA,  12.403 ,  3.768 ,  3.306 ,  205 ,  2.445 ,  535 ,  398 ,  976 ,  39 ,  243 ,  423 ,  61 ,  4 ,  -   
CITY OF PANABO,  42.489 ,  6.296 ,  1.790 ,  7.008 ,  5.536 ,  937 ,  1.523 ,  703 ,  23 ,  807 ,  14.264 ,  3.602 ,  -   ,  -   
ISLAND GARDEN CITY OF SAMAL,  26.245 ,  12.671 ,  7.647 ,  368 ,  1.222 ,  64 ,  135 ,  2.170 ,  12 ,  998 ,  774 ,  184 ,  -   ,  -   
SANTO TOMAS,  26.291 ,  10.616 ,  2.050 ,  4.161 ,  4.983 ,  522 ,  2.047 ,  164 ,  172 ,  280 ,  1.056 ,  240 ,  -   ,  -   
CITY OF TAGUM (Capital),  59.989 ,  36.877 ,  6.622 ,  1.283 ,  2.788 ,  87 ,  1.820 ,  1.582 ,  90 ,  1.966 ,  1.600 ,  5.274 ,  -   ,  -   
TALAINGOD,  6.142 ,  563 ,  227 ,  29 ,  644 ,  16 ,  20 ,  1.009 ,  3.440 ,  187 ,  1 ,  6 ,  -   ,  -   
BRAULIO E. DUJALI,  5.404 ,  325 ,  88 ,  586 ,  463 ,  163 ,  780 ,  23 ,  4 ,  975 ,  1.817 ,  180 ,  -   ,  -   
SAN ISIDRO,  6.460 ,  1.272 ,  1.795 ,  37 ,  331 ,  49 ,  1.020 ,  1.509 ,  389 ,  44 ,  11 ,  3 ,  -   ,  -   
DAVAO DEL SUR (excluding Davao City),  158.796 ,  57.776 ,  34.176 ,  12.868 ,  31.599 ,  3.699 ,  5.493 ,  9.088 ,  1.180 ,  1.262 ,  628 ,  1.027 ,  -   ,  -   
BANSALAN,  14.913 ,  6.625 ,  3.546 ,  1.323 ,  725 ,  41 ,  99 ,  1.754 ,  10 ,  496 ,  27 ,  267 ,  -   ,  -   
CITY OF DIGOS (Capital),  41.550 ,  20.099 ,  7.637 ,  3.103 ,  7.194 ,  481 ,  285 ,  2.132 ,  59 ,  25 ,  353 ,  182 ,  -   ,  -   
HAGONOY,  13.198 ,  3.010 ,  1.302 ,  1.761 ,  6.199 ,  759 ,  15 ,  55 ,  5 ,  1 ,  15 ,  76 ,  -   ,  -   
KIBLAWAN,  13.474 ,  4.912 ,  4.180 ,  169 ,  1.199 ,  375 ,  1.643 ,  467 ,  365 ,  142 ,  4 ,  18 ,  -   ,  -   
MAGSAYSAY,  13.571 ,  1.910 ,  3.577 ,  2.258 ,  3.643 ,  104 ,  467 ,  1.510 ,  68 ,  28 ,  -   ,  6 ,  -   ,  -   
MALALAG,  10.367 ,  2.344 ,  2.921 ,  636 ,  2.180 ,  528 ,  462 ,  857 ,  370 ,  32 ,  4 ,  33 ,  -   ,  -   
MATANAO,  13.861 ,  4.691 ,  3.120 ,  1.596 ,  3.166 ,  394 ,  395 ,  189 ,  170 ,  3 ,  115 ,  22 ,  -   ,  -   
PADADA,  6.915 ,  4.092 ,  1.188 ,  700 ,  734 ,  42 ,  4 ,  -   ,  -   ,  15 ,  2 ,  138 ,  -   ,  -   
SANTA CRUZ,  22.341 ,  7.936 ,  5.234 ,  644 ,  3.717 ,  912 ,  997 ,  1.921 ,  126 ,  511 ,  80 ,  263 ,  -   ,  -   
SULOP,  8.606 ,  2.157 ,  1.471 ,  678 ,  2.842 ,  63 ,  1.126 ,  203 ,  7 ,  9 ,  28 ,  22 ,  -   ,  -   
DAVAO CITY,  409.951 ,  243.627 ,  82.477 ,  6.916 ,  22.739 ,  2.054 ,  6.457 ,  12.624 ,  2.375 ,  1.955 ,  19.492 ,  7.919 ,  1.316 ,  -   
DAVAO ORIENTAL,  128.558 ,  30.493 ,  28.841 ,  7.773 ,  30.685 ,  5.073 ,  4.420 ,  14.740 ,  4.096 ,  1.456 ,  159 ,  739 ,  83 ,  -   
BAGANGA,  13.339 ,  1.880 ,  2.255 ,  1.294 ,  3.618 ,  1.006 ,  830 ,  1.840 ,  333 ,  170 ,  17 ,  76 ,  20 ,  -   
BANAYBANAY,  9.321 ,  1.765 ,  2.097 ,  738 ,  3.951 ,  529 ,  34 ,  147 ,  41 ,  13 ,  1 ,  4 ,  1 ,  -   
BOSTON,  3.216 ,  240 ,  1.956 ,  55 ,  408 ,  18 ,  11 ,  249 ,  261 ,  5 ,  -   ,  12 ,  1 ,  -   
CARAGA,  9.239 ,  2.721 ,  3.519 ,  258 ,  820 ,  38 ,  270 ,  691 ,  843 ,  28 ,  36 ,  13 ,  2 ,  -   
CATEEL,  9.711 ,  219 ,  1.023 ,  1.091 ,  2.915 ,  1.719 ,  249 ,  1.687 ,  686 ,  61 ,  16 ,  23 ,  22 ,  -   
GOVERNOR GENEROSO,  12.738 ,  3.783 ,  2.508 ,  862 ,  4.146 ,  100 ,  264 ,  721 ,  315 ,  6 ,  2 ,  22 ,  9 ,  -   
