Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Rent-free house and lot with consent of owner,  176.145 ,  73.702 ,  26.555 ,  71.208 ,  3.717 ,  189 ,  211 ,  563 
Rent-free house and lot without consent of owner,  18.801 ,  8.743 ,  2.759 ,  6.011 ,  98 ,  10 ,  755 ,  425 
Not Applicable,  866 ,  -   ,  -   ,  -   ,  -   ,  -   ,  866 ,  -   
Not Reported,  2.522 ,  846 ,  210 ,  1.456 ,  3 ,  -   ,  6 ,  1 
 CITY OF MANILA,,,,,,,,
Total,  435.154 ,  118.203 ,  60.966 ,  250.012 ,  2.668 ,  104 ,  1.651 ,  1.550 
Own or owner like possession of house and lot,  164.404 ,  57.658 ,  27.215 ,  78.569 ,  426 ,  24 ,  158 ,  354 
Rent house/room including lot,  188.052 ,  34.840 ,  21.217 ,  130.042 ,  1.625 ,  34 ,  57 ,  237 
Own house rent lot,  7.319 ,  2.818 ,  1.328 ,  3.145 ,  24 ,  -   ,  -   ,  4 
Own house rent-free lot with consent of owner,  26.930 ,  7.907 ,  3.831 ,  14.951 ,  47 ,  2 ,  29 ,  163 
Own house rent-free lot without consent of owner,  14.555 ,  6.205 ,  2.498 ,  5.455 ,  15 ,  3 ,  131 ,  248 
Rent-free house and lot with consent of owner,  26.324 ,  6.531 ,  3.836 ,  15.044 ,  482 ,  36 ,  113 ,  282 
Rent-free house and lot without consent of owner,  6.553 ,  2.189 ,  1.027 ,  2.609 ,  48 ,  5 ,  413 ,  262 
Not Applicable,  750 ,  -   ,  -   ,  -   ,  -   ,  -   ,  750 ,  -   
Not Reported,  267 ,  55 ,  14 ,  197 ,  1 ,  -   ,  -   ,  -   
 CITY OF MANDALUYONG,,,,,,,,
Total,  100.356 ,  35.511 ,  11.994 ,  52.422 ,  291 ,  32 ,  36 ,  70 
Own or owner like possession of house and lot,  40.450 ,  18.471 ,  5.364 ,  16.519 ,  59 ,  2 ,  10 ,  25 
Rent house/room including lot,  41.263 ,  9.286 ,  3.683 ,  28.127 ,  123 ,  18 ,  1 ,  25 
Own house rent lot,  812 ,  415 ,  116 ,  280 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  8.813 ,  4.331 ,  1.347 ,  3.096 ,  21 ,  -   ,  10 ,  8 
Own house rent-free lot without consent of owner,  3.201 ,  1.258 ,  604 ,  1.333 ,  -   ,  -   ,  3 ,  3 
Rent-free house and lot with consent of owner,  5.352 ,  1.623 ,  793 ,  2.833 ,  79 ,  12 ,  4 ,  8 
Rent-free house and lot without consent of owner,  450 ,  124 ,  87 ,  223 ,  8 ,  -   ,  8 ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  15 ,  3 ,  -   ,  11 ,  -   ,  -   ,  -   ,  1 
 CITY OF MARIKINA,,,,,,,,
Total,  98.238 ,  55.478 ,  14.970 ,  27.385 ,  311 ,  24 ,  2 ,  68 
Own or owner like possession of house and lot,  60.549 ,  39.700 ,  9.012 ,  11.735 ,  56 ,  2 ,  -   ,  44 
Rent house/room including lot,  26.331 ,  9.439 ,  4.083 ,  12.749 ,  41 ,  2 ,  -   ,  17 
Own house rent lot,  1.629 ,  1.117 ,  228 ,  280 ,  2 ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  4.120 ,  2.259 ,  742 ,  1.092 ,  23 ,  1 ,  -   ,  3 
Own house rent-free lot without consent of owner,  557 ,  369 ,  95 ,  93 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  4.881 ,  2.494 ,  784 ,  1.395 ,  186 ,  19 ,  1 ,  2 
Rent-free house and lot without consent of owner,  161 ,  93 ,  26 ,  38 ,  3 ,  -   ,  1 ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  10 ,  7 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
 CITY OF PASIG,,,,,,,,
Total,  180.612 ,  81.417 ,  26.026 ,  72.476 ,  536 ,  15 ,  33 ,  109 
Own or owner like possession of house and lot,  86.817 ,  49.215 ,  12.580 ,  24.882 ,  108 ,  3 ,  3 ,  26 
Rent house/room including lot,  73.689 ,  22.559 ,  10.028 ,  40.846 ,  209 ,  7 ,  1 ,  39 
Own house rent lot,  4.220 ,  2.431 ,  751 ,  1.029 ,  8 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  6.820 ,  3.267 ,  1.208 ,  2.288 ,  40 ,  2 ,  2 ,  13 
Own house rent-free lot without consent of owner,  1.624 ,  892 ,  261 ,  450 ,  -   ,  1 ,  6 ,  14 
Rent-free house and lot with consent of owner,  7.046 ,  2.859 ,  1.141 ,  2.857 ,  166 ,  2 ,  11 ,  10 
Rent-free house and lot without consent of owner,  350 ,  189 ,  55 ,  89 ,  5 ,  -   ,  6 ,  6 
Not Applicable,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  4 ,  -   
Not Reported,  42 ,  5 ,  2 ,  35 ,  -   ,  -   ,  -   ,  -   
 QUEZON CITY,,,,,,,,
Total,  683.044 ,  344.812 ,  103.517 ,  230.832 ,  2.631 ,  149 ,  182 ,  921 
Own or owner like possession of house and lot,  296.276 ,  181.746 ,  42.920 ,  70.749 ,  464 ,  28 ,  28 ,  341 
Rent house/room including lot,  224.212 ,  77.677 ,  33.259 ,  112.172 ,  842 ,  36 ,  7 ,  219 
Own house rent lot,  10.227 ,  6.360 ,  1.573 ,  2.223 ,  66 ,  -   ,  -   ,  5 
Own house rent-free lot with consent of owner,  56.135 ,  29.643 ,  9.563 ,  16.653 ,  146 ,  10 ,  17 ,  103 
Own house rent-free lot without consent of owner,  45.823 ,  26.365 ,  8.099 ,  11.184 ,  46 ,  4 ,  22 ,  103 
Rent-free house and lot with consent of owner,  45.302 ,  20.504 ,  7.381 ,  16.163 ,  1.046 ,  71 ,  24 ,  113 
Rent-free house and lot without consent of owner,  3.763 ,  1.887 ,  549 ,  1.237 ,  19 ,  -   ,  34 ,  37 
Not Applicable,  49 ,  -   ,  -   ,  -   ,  -   ,  -   ,  49 ,  -   
Not Reported,  1.257 ,  630 ,  173 ,  451 ,  2 ,  -   ,  1 ,  -   
 CITY OF SAN JUAN,,,,,,,,
Total,  28.623 ,  8.808 ,  3.303 ,  16.327 ,  161 ,  1 ,  3 ,  20 
Own or owner like possession of house and lot,  10.501 ,  4.055 ,  1.428 ,  4.994 ,  19 ,  -   ,  -   ,  5 
Rent house/room including lot,  12.412 ,  2.451 ,  1.169 ,  8.745 ,  35 ,  -   ,  -   ,  12 
Own house rent lot,  152 ,  93 ,  14 ,  45 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.704 ,  1.244 ,  278 ,  1.174 ,  5 ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  379 ,  181 ,  77 ,  120 ,  -   ,  -   ,  1 ,  -   
Rent-free house and lot with consent of owner,  2.278 ,  748 ,  321 ,  1.105 ,  102 ,  1 ,  1 ,  -   
Rent-free house and lot without consent of owner,  15 ,  9 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Reported,  181 ,  27 ,  11 ,  143 ,  -   ,  -   ,  -   ,  -   
 CALOOCAN CITY,,,,,,,,
Total,  367.878 ,  201.425 ,  50.634 ,  114.300 ,  1.211 ,  36 ,  34 ,  238 
Own or owner like possession of house and lot,  198.293 ,  128.752 ,  27.691 ,  41.475 ,  271 ,  8 ,  10 ,  86 
Rent house/room including lot,  114.028 ,  40.417 ,  14.859 ,  58.164 ,  523 ,  9 ,  2 ,  54 
Own house rent lot,  6.191 ,  3.965 ,  752 ,  1.467 ,  6 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  20.187 ,  11.720 ,  3.111 ,  5.246 ,  60 ,  2 ,  4 ,  44 
Own house rent-free lot without consent of owner,  6.415 ,  4.364 ,  745 ,  1.282 ,  8 ,  1 ,  3 ,  12 
Rent-free house and lot with consent of owner,  21.014 ,  11.007 ,  3.251 ,  6.364 ,  337 ,  15 ,  9 ,  31 
Rent-free house and lot without consent of owner,  1.747 ,  1.199 ,  224 ,  301 ,  6 ,  1 ,  6 ,  10 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  3 ,  1 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
 CITY OF MALABON,,,,,,,,
Total,  86.191 ,  47.190 ,  13.167 ,  25.509 ,  255 ,  2 ,  13 ,  55 
Own or owner like possession of house and lot,  36.580 ,  23.590 ,  5.458 ,  7.479 ,  40 ,  -   ,  5 ,  8 
Rent house/room including lot,  26.337 ,  9.624 ,  3.875 ,  12.752 ,  84 ,  -   ,  -   ,  2 
Own house rent lot,  2.268 ,  1.620 ,  336 ,  306 ,  1 ,  1 ,  -   ,  4 
Own house rent-free lot with consent of owner,  7.452 ,  4.508 ,  1.236 ,  1.687 ,  14 ,  -   ,  2 ,  5 
Own house rent-free lot without consent of owner,  7.856 ,  5.003 ,  1.334 ,  1.511 ,  1 ,  -   ,  2 ,  5 
Rent-free house and lot with consent of owner,  5.027 ,  2.513 ,  797 ,  1.589 ,  114 ,  -   ,  1 ,  13 
Rent-free house and lot without consent of owner,  671 ,  332 ,  131 ,  185 ,  1 ,  1 ,  3 ,  18 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CITY OF NAVOTAS,,,,,,,,
Total,  60.904 ,  27.562 ,  11.157 ,  21.786 ,  196 ,  8 ,  81 ,  114 
Own or owner like possession of house and lot,  29.898 ,  15.785 ,  5.863 ,  8.178 ,  39 ,  1 ,  3 ,  29 
Rent house/room including lot,  16.256 ,  4.571 ,  2.698 ,  8.879 ,  66 ,  6 ,  1 ,  35 
Own house rent lot,  2.158 ,  1.309 ,  437 ,  408 ,  2 ,  -   ,  2 ,  -   
Own house rent-free lot with consent of owner,  3.553 ,  1.909 ,  692 ,  908 ,  13 ,  1 ,  11 ,  19 
Own house rent-free lot without consent of owner,  3.442 ,  2.003 ,  642 ,  759 ,  -   ,  -   ,  32 ,  6 
Rent-free house and lot with consent of owner,  4.342 ,  1.181 ,  593 ,  2.455 ,  76 ,  -   ,  12 ,  25 
Rent-free house and lot without consent of owner,  1.255 ,  804 ,  232 ,  199 ,  -   ,  -   ,  20 ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CITY OF VALENZUELA,,,,,,,,
Total,  153.041 ,  67.998 ,  19.671 ,  64.376 ,  910 ,  9 ,  5 ,  72 
Own or owner like possession of house and lot,  58.441 ,  37.808 ,  8.000 ,  12.517 ,  106 ,  2 ,  1 ,  7 
Rent house/room including lot,  70.566 ,  17.537 ,  8.106 ,  44.547 ,  346 ,  3 ,  -   ,  27 
Own house rent lot,  3.394 ,  2.385 ,  434 ,  568 ,  6 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  7.184 ,  3.805 ,  1.056 ,  2.225 ,  85 ,  1 ,  -   ,  12 
Own house rent-free lot without consent of owner,  3.066 ,  2.006 ,  495 ,  558 ,  3 ,  -   ,  -   ,  4 
Rent-free house and lot with consent of owner,  9.944 ,  4.223 ,  1.527 ,  3.808 ,  362 ,  3 ,  1 ,  20 
Rent-free house and lot without consent of owner,  446 ,  234 ,  53 ,  153 ,  2 ,  -   ,  3 ,  1 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CITY OF LAS PIÑAS,,,,,,,,
Total,  141.925 ,  88.464 ,  18.014 ,  34.885 ,  274 ,  11 ,  113 ,  164 
Own or owner like possession of house and lot,  74.059 ,  52.764 ,  9.161 ,  12.028 ,  49 ,  5 ,  1 ,  51 
Rent house/room including lot,  44.123 ,  19.871 ,  5.787 ,  18.300 ,  122 ,  2 ,  -   ,  41 
Own house rent lot,  4.555 ,  3.388 ,  533 ,  630 ,  3 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  7.910 ,  5.317 ,  1.055 ,  1.446 ,  14 ,  -   ,  48 ,  30 
Own house rent-free lot without consent of owner,  3.206 ,  2.219 ,  352 ,  611 ,  7 ,  -   ,  -   ,  17 
Rent-free house and lot with consent of owner,  7.531 ,  4.536 ,  1.075 ,  1.818 ,  79 ,  4 ,  7 ,  12 
Rent-free house and lot without consent of owner,  517 ,  351 ,  51 ,  46 ,  -   ,  -   ,  57 ,  12 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  24 ,  18 ,  -   ,  6 ,  -   ,  -   ,  -   ,  -   
 CITY OF MAKATI,,,,,,,,
Total,  154.095 ,  50.295 ,  14.976 ,  87.851 ,  742 ,  14 ,  65 ,  152 
Own or owner like possession of house and lot,  66.920 ,  27.813 ,  7.455 ,  31.441 ,  164 ,  3 ,  6 ,  38 
Rent house/room including lot,  72.440 ,  17.322 ,  5.912 ,  48.889 ,  286 ,  4 ,  5 ,  22 
Own house rent lot,  995 ,  290 ,  90 ,  608 ,  6 ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  4.006 ,  1.504 ,  445 ,  2.000 ,  33 ,  -   ,  6 ,  18 
Own house rent-free lot without consent of owner,  944 ,  286 ,  90 ,  497 ,  3 ,  -   ,  25 ,  43 
Rent-free house and lot with consent of owner,  8.307 ,  2.937 ,  952 ,  4.145 ,  246 ,  7 ,  10 ,  10 
Rent-free house and lot without consent of owner,  414 ,  118 ,  30 ,  232 ,  4 ,  -   ,  10 ,  20 
Not Applicable,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  3 ,  -   
Not Reported,  66 ,  25 ,  2 ,  39 ,  -   ,  -   ,  -   ,  -   
 CITY OF MUNTINLUPA,,,,,,,,
Total,  122.286 ,  66.131 ,  14.549 ,  41.100 ,  108 ,  23 ,  100 ,  275 
Own or owner like possession of house and lot,  50.829 ,  34.732 ,  5.855 ,  10.113 ,  30 ,  9 ,  27 ,  63 
Rent house/room including lot,  46.870 ,  16.339 ,  5.241 ,  25.192 ,  37 ,  6 ,  7 ,  48 
Own house rent lot,  3.822 ,  2.415 ,  575 ,  815 ,  1 ,  -   ,  3 ,  13 
Own house rent-free lot with consent of owner,  11.404 ,  7.218 ,  1.638 ,  2.444 ,  7 ,  2 ,  -   ,  95 
Own house rent-free lot without consent of owner,  2.845 ,  1.796 ,  356 ,  657 ,  1 ,  -   ,  17 ,  18 
Rent-free house and lot with consent of owner,  6.233 ,  3.483 ,  854 ,  1.842 ,  32 ,  6 ,  6 ,  10 
Rent-free house and lot without consent of owner,  229 ,  117 ,  27 ,  17 ,  -   ,  -   ,  40 ,  28 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  54 ,  31 ,  3 ,  20 ,  -   ,  -   ,  -   ,  -   
 CITY OF PARAÑAQUE,,,,,,,,
Total,  163.074 ,  91.793 ,  18.899 ,  51.799 ,  320 ,  22 ,  109 ,  132 
Own or owner like possession of house and lot,  74.120 ,  49.818 ,  7.745 ,  16.439 ,  70 ,  9 ,  7 ,  32 
Rent house/room including lot,  54.774 ,  19.671 ,  6.772 ,  28.187 ,  99 ,  6 ,  3 ,  36 
Own house rent lot,  2.121 ,  1.397 ,  277 ,  443 ,  2 ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  15.276 ,  10.370 ,  2.022 ,  2.806 ,  44 ,  -   ,  2 ,  32 
Own house rent-free lot without consent of owner,  7.921 ,  5.626 ,  988 ,  1.253 ,  9 ,  -   ,  37 ,  8 
Rent-free house and lot with consent of owner,  7.719 ,  4.155 ,  1.001 ,  2.455 ,  94 ,  7 ,  2 ,  5 
Rent-free house and lot without consent of owner,  1.039 ,  725 ,  93 ,  195 ,  2 ,  -   ,  7 ,  17 
Not Applicable,  46 ,  -   ,  -   ,  -   ,  -   ,  -   ,  46 ,  -   
Not Reported,  58 ,  31 ,  1 ,  21 ,  -   ,  -   ,  5 ,  -   
 PASAY CITY,,,,,,,,
Total,  107.619 ,  29.623 ,  14.071 ,  63.122 ,  500 ,  17 ,  195 ,  91 
Own or owner like possession of house and lot,  39.088 ,  15.198 ,  6.251 ,  17.519 ,  87 ,  2 ,  7 ,  24 
Rent house/room including lot,  56.084 ,  10.581 ,  5.994 ,  39.272 ,  219 ,  7 ,  1 ,  10 
Own house rent lot,  1.393 ,  442 ,  309 ,  637 ,  -   ,  2 ,  1 ,  2 
Own house rent-free lot with consent of owner,  4.599 ,  1.618 ,  617 ,  2.334 ,  10 ,  2 ,  1 ,  17 
Own house rent-free lot without consent of owner,  603 ,  266 ,  110 ,  185 ,  2 ,  -   ,  29 ,  11 
Rent-free house and lot with consent of owner,  5.363 ,  1.379 ,  714 ,  3.063 ,  182 ,  4 ,  6 ,  15 
Rent-free house and lot without consent of owner,  459 ,  135 ,  73 ,  101 ,  -   ,  -   ,  138 ,  12 
Not Applicable,  12 ,  -   ,  -   ,  -   ,  -   ,  -   ,  12 ,  -   
Not Reported,  18 ,  4 ,  3 ,  11 ,  -   ,  -   ,  -   ,  -   
 PATEROS,,,,,,,,
Total,  14.188 ,  7.385 ,  2.160 ,  4.626 ,  9 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  7.861 ,  4.888 ,  1.181 ,  1.786 ,  5 ,  -   ,  -   ,  1 
Rent house/room including lot,  4.342 ,  1.436 ,  630 ,  2.276 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  903 ,  497 ,  178 ,  228 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  468 ,  276 ,  72 ,  119 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  89 ,  58 ,  13 ,  16 ,  -   ,  -   ,  -   ,  2 
Rent-free house and lot with consent of owner,  514 ,  222 ,  85 ,  201 ,  4 ,  -   ,  -   ,  2 
Rent-free house and lot without consent of owner,  11 ,  8 ,  1 ,  -   ,  -   ,  -   ,  -   ,  2 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 TAGUIG CITY,,,,,,,,
Total,  198.256 ,  74.237 ,  29.532 ,  94.007 ,  265 ,  16 ,  24 ,  175 
Own or owner like possession of house and lot,  87.638 ,  42.392 ,  14.174 ,  30.940 ,  50 ,  5 ,  2 ,  75 
Rent house/room including lot,  84.705 ,  19.870 ,  11.265 ,  53.422 ,  78 ,  5 ,  2 ,  63 
Own house rent lot,  3.993 ,  2.213 ,  656 ,  1.114 ,  2 ,  -   ,  -   ,  8 
Own house rent-free lot with consent of owner,  9.148 ,  4.370 ,  1.531 ,  3.216 ,  5 ,  1 ,  5 ,  20 
Own house rent-free lot without consent of owner,  2.555 ,  1.847 ,  361 ,  341 ,  -   ,  -   ,  2 ,  4 
Rent-free house and lot with consent of owner,  8.968 ,  3.307 ,  1.450 ,  4.071 ,  130 ,  2 ,  3 ,  5 
Rent-free house and lot without consent of owner,  721 ,  229 ,  95 ,  385 ,  -   ,  3 ,  9 ,  -   
Not Applicable,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   
Not Reported,  527 ,  9 ,  -   ,  518 ,  -   ,  -   ,  -   ,  -   
,,,,,,,,
CORDILLERA ADMINISTRATIVE REGION,,,,,,,,
Total,  395.748 ,  298.914 ,  30.749 ,  64.401 ,  1.486 ,  49 ,  3 ,  146 
Own or owner like possession of house and lot,  270.764 ,  236.372 ,  17.756 ,  16.231 ,  313 ,  16 ,  3 ,  73 
Rent house/room including lot,  57.727 ,  11.929 ,  6.562 ,  38.352 ,  852 ,  11 ,  -   ,  21 
Own house rent lot,  2.524 ,  2.105 ,  210 ,  203 ,  6 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  25.647 ,  22.309 ,  1.672 ,  1.554 ,  82 ,  2 ,  -   ,  28 
Own house rent-free lot without consent of owner,  2.086 ,  1.761 ,  179 ,  142 ,  4 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  36.447 ,  23.971 ,  4.329 ,  7.877 ,  227 ,  19 ,  -   ,  24 
Rent-free house and lot without consent of owner,  553 ,  467 ,  41 ,  42 ,  2 ,  1 ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ABRA,,,,,,,,
Total,  52.929 ,  49.010 ,  2.823 ,  1.011 ,  42 ,  4 ,  2 ,  37 
Own or owner like possession of house and lot,  43.256 ,  40.401 ,  2.198 ,  610 ,  20 ,  1 ,  2 ,  24 
Rent house/room including lot,  1.053 ,  632 ,  149 ,  257 ,  12 ,  -   ,  -   ,  3 
Own house rent lot,  228 ,  216 ,  12 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.147 ,  4.837 ,  246 ,  55 ,  1 ,  2 ,  -   ,  6 
Own house rent-free lot without consent of owner,  191 ,  181 ,  5 ,  3 ,  2 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  2.981 ,  2.674 ,  209 ,  86 ,  7 ,  1 ,  -   ,  4 
Rent-free house and lot without consent of owner,  73 ,  69 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BANGUED (Capital),,,,,,,,
Total,  11.024 ,  9.266 ,  1.003 ,  725 ,  22 ,  2 ,  -   ,  6 
Own or owner like possession of house and lot,  9.014 ,  7.793 ,  778 ,  424 ,  15 ,  1 ,  -   ,  3 
Rent house/room including lot,  713 ,  344 ,  120 ,  242 ,  5 ,  -   ,  -   ,  2 
Own house rent lot,  28 ,  26 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  763 ,  699 ,  48 ,  14 ,  1 ,  1 ,  -   ,  -   
Own house rent-free lot without consent of owner,  11 ,  9 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  488 ,  388 ,  54 ,  44 ,  1 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  7 ,  7 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BOLINEY,,,,,,,,
Total,  760 ,  741 ,  17 ,  2 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  663 ,  654 ,  8 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  32 ,  30 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  60 ,  52 ,  7 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BUCAY,,,,,,,,
Total,  3.863 ,  3.585 ,  254 ,  17 ,  2 ,  -   ,  -   ,  5 
Own or owner like possession of house and lot,  2.826 ,  2.623 ,  188 ,  12 ,  1 ,  -   ,  -   ,  2 
Rent house/room including lot,  34 ,  27 ,  6 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  18 ,  18 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  743 ,  697 ,  44 ,  -   ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  15 ,  12 ,  1 ,  1 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  224 ,  206 ,  14 ,  3 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  3 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BUCLOC,,,,,,,,
Total,  442 ,  431 ,  8 ,  3 ,  -   ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  406 ,  397 ,  7 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent house/room including lot,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
