,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
8319,POLANCO,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,7.0,7.0,29.0,4.14,1.0,4.14,2015
8320,POLANCO,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,5.0,5.0,19.0,3.8,1.0,3.8,2015
8321,POLANCO,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8322,POLANCO,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,7.0,9.0,36.0,4.0,1.29,5.14,2015
8323,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,8077.0,8176.0,38257.0,4.68,1.01,4.74,2015
8324,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,188.0,190.0,794.0,4.18,1.01,4.22,2015
8325,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,35.0,35.0,126.0,3.6,1.0,3.6,2015
8326,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,5.0,5.0,23.0,4.6,1.0,4.6,2015
8327,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,1.0,1.0,1.0,1.0,1.0,1.0,2015
8328,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8329,PRES. MANUEL A. ROXAS,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,13.0,16.0,82.0,5.13,1.23,6.31,2015
8330,RIZAL,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,3448.0,3468.0,13800.0,3.98,1.01,4.0,2015
8331,RIZAL,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,49.0,49.0,197.0,4.02,1.0,4.02,2015
8332,RIZAL,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,1.0,1.0,1.0,1.0,1.0,1.0,2015
8333,RIZAL,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,,,,,,,2015
8334,RIZAL,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8335,RIZAL,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8336,RIZAL,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,3.0,3.0,12.0,4.0,1.0,4.0,2015
8337,SALUG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,7035.0,7042.0,31276.0,4.44,1.0,4.45,2015
8338,SALUG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,138.0,138.0,581.0,4.21,1.0,4.21,2015
8339,SALUG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,39.0,40.0,158.0,3.95,1.03,4.05,2015
8340,SALUG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,5.0,5.0,26.0,5.2,1.0,5.2,2015
8341,SALUG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8342,SALUG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,1.0,1.0,5.0,5.0,1.0,5.0,2015
8343,SALUG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,7.0,7.0,46.0,6.57,1.0,6.57,2015
8344,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,6400.0,6416.0,29722.0,4.63,1.0,4.64,2015
8345,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,96.0,96.0,409.0,4.26,1.0,4.26,2015
8346,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,14.0,14.0,53.0,3.79,1.0,3.79,2015
8347,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,3.0,3.0,11.0,3.67,1.0,3.67,2015
8348,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8349,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8350,SERGIO OSMEÑA SR.,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,,,,,,,2015
8351,SIAYAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,7147.0,7209.0,34432.0,4.78,1.01,4.82,2015
8352,SIAYAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,85.0,85.0,376.0,4.42,1.0,4.42,2015
8353,SIAYAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,6.0,6.0,39.0,6.5,1.0,6.5,2015
8354,SIAYAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,2.0,2.0,11.0,5.5,1.0,5.5,2015
8355,SIAYAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8356,SIAYAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8357,SIAYAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,13.0,17.0,75.0,4.41,1.31,5.77,2015
8358,SIBUCO,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,6687.0,6692.0,32127.0,4.8,1.0,4.8,2015
8359,SIBUCO,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,407.0,409.0,1891.0,4.62,1.0,4.65,2015
8360,SIBUCO,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,119.0,119.0,523.0,4.39,1.0,4.39,2015
8361,SIBUCO,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,,,,,,,2015
8362,SIBUCO,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8363,SIBUCO,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8364,SIBUCO,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,9.0,9.0,51.0,5.67,1.0,5.67,2015
8365,SIBUTAD,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,4241.0,4252.0,17345.0,4.08,1.0,4.09,2015
8366,SIBUTAD,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,43.0,43.0,197.0,4.58,1.0,4.58,2015
8367,SIBUTAD,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,16.0,16.0,61.0,3.81,1.0,3.81,2015
8368,SIBUTAD,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,2.0,2.0,6.0,3.0,1.0,3.0,2015
8369,SIBUTAD,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8370,SIBUTAD,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8371,SIBUTAD,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,6.0,9.0,36.0,4.0,1.5,6.0,2015
8372,SINDANGAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,21305.0,21548.0,95643.0,4.44,1.01,4.49,2015
8373,SINDANGAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,586.0,592.0,2462.0,4.16,1.01,4.2,2015
8374,SINDANGAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,218.0,219.0,763.0,3.48,1.0,3.5,2015
8375,SINDANGAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,12.0,12.0,69.0,5.75,1.0,5.75,2015
8376,SINDANGAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8377,SINDANGAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8378,SINDANGAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,34.0,38.0,152.0,4.0,1.12,4.47,2015
8379,SIOCON,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,8694.0,8697.0,39137.0,4.5,1.0,4.5,2015
8380,SIOCON,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,1329.0,1331.0,5359.0,4.03,1.0,4.03,2015
8381,SIOCON,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,573.0,573.0,2083.0,3.64,1.0,3.64,2015
8382,SIOCON,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,4.0,4.0,26.0,6.5,1.0,6.5,2015
8383,SIOCON,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8384,SIOCON,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8385,SIOCON,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,8.0,8.0,39.0,4.88,1.0,4.88,2015
8386,SIRAWAI,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,4965.0,4965.0,24545.0,4.94,1.0,4.94,2015
8387,SIRAWAI,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,216.0,216.0,1003.0,4.64,1.0,4.64,2015
8388,SIRAWAI,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,672.0,672.0,3171.0,4.72,1.0,4.72,2015
8389,SIRAWAI,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,,,,,,,2015
8390,SIRAWAI,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8391,SIRAWAI,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8392,SIRAWAI,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,1.0,1.0,2.0,2.0,1.0,2.0,2015
8393,TAMPILISAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,5467.0,5470.0,23592.0,4.31,1.0,4.32,2015
8394,TAMPILISAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,138.0,138.0,513.0,3.72,1.0,3.72,2015
8395,TAMPILISAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,40.0,40.0,126.0,3.15,1.0,3.15,2015
8396,TAMPILISAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,4.0,4.0,6.0,1.5,1.0,1.5,2015
8397,TAMPILISAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,1.0,1.0,7.0,7.0,1.0,7.0,2015
8398,TAMPILISAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8399,TAMPILISAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,4.0,4.0,20.0,5.0,1.0,5.0,2015
8400,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,6080.0,6081.0,27268.0,4.48,1.0,4.48,2015
8401,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,16.0,16.0,85.0,5.31,1.0,5.31,2015
8402,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,,,,,,,2015
8403,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,,,,,,,2015
8404,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8405,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8406,JOSE DALMAN (PONOT),REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,7.0,7.0,35.0,5.0,1.0,5.0,2015
8407,GUTALAC,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,7409.0,7429.0,33946.0,4.57,1.0,4.58,2015
8408,GUTALAC,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,86.0,87.0,397.0,4.56,1.01,4.62,2015
8409,GUTALAC,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,17.0,17.0,57.0,3.35,1.0,3.35,2015
8410,GUTALAC,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,43.0,43.0,215.0,5.0,1.0,5.0,2015
8411,GUTALAC,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8412,GUTALAC,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8413,GUTALAC,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,7.0,8.0,37.0,4.63,1.14,5.29,2015
8414,BALIGUIAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,5053.0,5055.0,22132.0,4.38,1.0,4.38,2015
8415,BALIGUIAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,88.0,90.0,350.0,3.89,1.02,3.98,2015
8416,BALIGUIAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,28.0,28.0,92.0,3.29,1.0,3.29,2015
8417,BALIGUIAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,1.0,1.0,7.0,7.0,1.0,7.0,2015
8418,BALIGUIAN,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8419,BALIGUIAN,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8420,BALIGUIAN,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,2.0,2.0,7.0,3.5,1.0,3.5,2015
8421,GODOD,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,3735.0,3746.0,17189.0,4.59,1.0,4.6,2015
8422,GODOD,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,42.0,42.0,173.0,4.12,1.0,4.12,2015
8423,GODOD,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,9.0,9.0,40.0,4.44,1.0,4.44,2015
8424,GODOD,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,,,,,,,2015
8425,GODOD,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8426,GODOD,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8427,GODOD,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,5.0,5.0,22.0,4.4,1.0,4.4,2015
8428,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,5419.0,5431.0,25601.0,4.71,1.0,4.72,2015
8429,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,98.0,98.0,454.0,4.63,1.0,4.63,2015
8430,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,26.0,26.0,107.0,4.12,1.0,4.12,2015
8431,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,3.0,3.0,5.0,1.67,1.0,1.67,2015
8432,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8433,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8434,BACUNGAN (Leon T. Postigo),REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,6.0,6.0,29.0,4.83,1.0,4.83,2015
8435,KALAWIT,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL NORTE,4776.0,4785.0,23428.0,4.9,1.0,4.91,2015
8436,KALAWIT,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL NORTE,31.0,31.0,140.0,4.52,1.0,4.52,2015
8437,KALAWIT,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL NORTE,3.0,3.0,11.0,3.67,1.0,3.67,2015
8438,KALAWIT,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL NORTE,5.0,5.0,18.0,3.6,1.0,3.6,2015
8439,KALAWIT,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL NORTE,,,,,,,2015
8440,KALAWIT,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL NORTE,,,,,,,2015
8441,KALAWIT,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL NORTE,6.0,6.0,23.0,3.83,1.0,3.83,2015
8442,AURORA,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),10764.0,10820.0,49752.0,4.6,1.01,4.62,2015
8443,AURORA,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),140.0,140.0,625.0,4.46,1.0,4.46,2015
8444,AURORA,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),39.0,39.0,184.0,4.72,1.0,4.72,2015
8445,AURORA,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),31.0,31.0,135.0,4.35,1.0,4.35,2015
8446,AURORA,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,1.0,1.0,1.0,1.0,2015
8447,AURORA,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8448,AURORA,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),5.0,6.0,23.0,3.83,1.2,4.6,2015
8449,BAYOG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),6642.0,6652.0,32428.0,4.87,1.0,4.88,2015
8450,BAYOG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),181.0,181.0,810.0,4.48,1.0,4.48,2015
8451,BAYOG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),78.0,80.0,313.0,3.91,1.03,4.01,2015
8452,BAYOG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,22.0,7.33,1.0,7.33,2015
8453,BAYOG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8454,BAYOG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8455,BAYOG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,18.0,4.5,1.0,4.5,2015
8456,DIMATALING,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),6310.0,6376.0,29278.0,4.59,1.01,4.64,2015
8457,DIMATALING,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),157.0,157.0,648.0,4.13,1.0,4.13,2015
8458,DIMATALING,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),24.0,24.0,85.0,3.54,1.0,3.54,2015
8459,DIMATALING,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,7.0,7.0,1.0,7.0,2015
8460,DIMATALING,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8461,DIMATALING,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,3.0,3.0,1.0,3.0,2015
8462,DIMATALING,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),8.0,13.0,60.0,4.62,1.63,7.5,2015
8463,DINAS,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),7474.0,7497.0,34618.0,4.62,1.0,4.63,2015
8464,DINAS,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),184.0,184.0,792.0,4.3,1.0,4.3,2015
8465,DINAS,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),11.0,11.0,44.0,4.0,1.0,4.0,2015
8466,DINAS,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),3.0,3.0,11.0,3.67,1.0,3.67,2015
8467,DINAS,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8468,DINAS,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8469,DINAS,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),7.0,7.0,37.0,5.29,1.0,5.29,2015
8470,DUMALINAO,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),6892.0,6925.0,31326.0,4.52,1.0,4.55,2015
8471,DUMALINAO,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),115.0,115.0,479.0,4.17,1.0,4.17,2015
8472,DUMALINAO,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),48.0,48.0,160.0,3.33,1.0,3.33,2015
8473,DUMALINAO,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),4.0,4.0,16.0,4.0,1.0,4.0,2015
8474,DUMALINAO,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8475,DUMALINAO,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8476,DUMALINAO,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),5.0,5.0,19.0,3.8,1.0,3.8,2015
8477,DUMINGAG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),9476.0,9546.0,45730.0,4.79,1.01,4.83,2015
8478,DUMINGAG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),252.0,253.0,1056.0,4.17,1.0,4.19,2015
8479,DUMINGAG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),81.0,81.0,350.0,4.32,1.0,4.32,2015
8480,DUMINGAG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,4.0,4.0,1.0,4.0,2015
8481,DUMINGAG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),1.0,1.0,5.0,5.0,1.0,5.0,2015
8482,DUMINGAG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8483,DUMINGAG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),6.0,6.0,28.0,4.67,1.0,4.67,2015
8484,KUMALARANG,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),5415.0,5494.0,26209.0,4.77,1.01,4.84,2015
8485,KUMALARANG,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),367.0,368.0,1621.0,4.4,1.0,4.42,2015
8486,KUMALARANG,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),93.0,94.0,387.0,4.12,1.01,4.16,2015
8487,KUMALARANG,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),5.0,5.0,25.0,5.0,1.0,5.0,2015
8488,KUMALARANG,REGION IX (Zamboanga Peninsula),Institutional living quarter, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8489,KUMALARANG,REGION IX (Zamboanga Peninsula),Others, ZAMBOANGA DEL SUR (excluding Zamboanga City),,,,,,,2015
8490,KUMALARANG,REGION IX (Zamboanga Peninsula),Not Reported, ZAMBOANGA DEL SUR (excluding Zamboanga City),43.0,44.0,227.0,5.16,1.02,5.28,2015
8491,LABANGAN,REGION IX (Zamboanga Peninsula),Single house, ZAMBOANGA DEL SUR (excluding Zamboanga City),8206.0,8540.0,40569.0,4.75,1.04,4.94,2015
8492,LABANGAN,REGION IX (Zamboanga Peninsula),Duplex, ZAMBOANGA DEL SUR (excluding Zamboanga City),148.0,150.0,681.0,4.54,1.01,4.6,2015
8493,LABANGAN,REGION IX (Zamboanga Peninsula),Multi-unit residential, ZAMBOANGA DEL SUR (excluding Zamboanga City),63.0,65.0,227.0,3.49,1.03,3.6,2015
8494,LABANGAN,REGION IX (Zamboanga Peninsula),Commercial/industrial/agricultural, ZAMBOANGA DEL SUR (excluding Zamboanga City),8.0,9.0,39.0,4.33,1.13,4.88,2015
