Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Single house,  3.789 ,  3.825 ,  16.885 ,"  4,41 ","  1,01 ","  4,46 ",,,,,,,,,,,,
Duplex,  40 ,  40 ,  150 ,"  3,75 ","  1,00 ","  3,75 ",,,,,,,,,,,,
Multi-unit residential,  9 ,  9 ,  43 ,"  4,78 ","  1,00 ","  4,78 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  10 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
 BONIFACIO,,,,,,,,,,,,,,,,,,
Total,  7.201 ,  7.308 ,  32.345 ,"  4,43 ","  1,01 ","  4,49 ",,,,,,,,,,,,
Single house,  6.995 ,  7.098 ,  31.459 ,"  4,43 ","  1,01 ","  4,50 ",,,,,,,,,,,,
Duplex,  172 ,  176 ,  760 ,"  4,32 ","  1,02 ","  4,42 ",,,,,,,,,,,,
Multi-unit residential,  28 ,  28 ,  96 ,"  3,43 ","  1,00 ","  3,43 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  15 ,"  3,75 ","  1,00 ","  3,75 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  15 ,"  7,50 ","  1,00 ","  7,50 ",,,,,,,,,,,,
 CALAMBA,,,,,,,,,,,,,,,,,,
Total,  4.937 ,  5.052 ,  21.667 ,"  4,29 ","  1,02 ","  4,39 ",,,,,,,,,,,,
Single house,  4.667 ,  4.780 ,  20.618 ,"  4,31 ","  1,02 ","  4,42 ",,,,,,,,,,,,
Duplex,  176 ,  177 ,  674 ,"  3,81 ","  1,01 ","  3,83 ",,,,,,,,,,,,
Multi-unit residential,  87 ,  87 ,  341 ,"  3,92 ","  1,00 ","  3,92 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  17 ,"  4,25 ","  1,00 ","  4,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  4 ,  17 ,"  4,25 ","  1,33 ","  5,67 ",,,,,,,,,,,,
 CLARIN,,,,,,,,,,,,,,,,,,
Total,  8.293 ,  8.374 ,  37.396 ,"  4,47 ","  1,01 ","  4,51 ",,,,,,,,,,,,
Single house,  7.776 ,  7.854 ,  35.247 ,"  4,49 ","  1,01 ","  4,53 ",,,,,,,,,,,,
Duplex,  376 ,  379 ,  1.579 ,"  4,17 ","  1,01 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  123 ,  123 ,  492 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  22 ,"  4,40 ","  1,00 ","  4,40 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Others,  3 ,  3 ,  15 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Not Reported,  9 ,  9 ,  36 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 CONCEPCION,,,,,,,,,,,,,,,,,,
Total,  2.457 ,  2.460 ,  10.913 ,"  4,44 ","  1,00 ","  4,44 ",,,,,,,,,,,,
Single house,  2.418 ,  2.421 ,  10.718 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
Duplex,  36 ,  36 ,  179 ,"  4,97 ","  1,00 ","  4,97 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  3 ,  16 ,"  5,33 ","  1,00 ","  5,33 ",,,,,,,,,,,,
 JIMENEZ,,,,,,,,,,,,,,,,,,
Total,  6.307 ,  6.362 ,  27.565 ,"  4,33 ","  1,01 ","  4,37 ",,,,,,,,,,,,
Single house,  5.932 ,  5.984 ,  26.057 ,"  4,35 ","  1,01 ","  4,39 ",,,,,,,,,,,,
Duplex,  276 ,  279 ,  1.135 ,"  4,07 ","  1,01 ","  4,11 ",,,,,,,,,,,,
Multi-unit residential,  97 ,  97 ,  367 ,"  3,78 ","  1,00 ","  3,78 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LOPEZ JAENA,,,,,,,,,,,,,,,,,,
Total,  5.803 ,  5.830 ,  24.997 ,"  4,29 ","  1,00 ","  4,31 ",,,,,,,,,,,,
Single house,  5.609 ,  5.634 ,  24.163 ,"  4,29 ","  1,00 ","  4,31 ",,,,,,,,,,,,
Duplex,  168 ,  170 ,  727 ,"  4,28 ","  1,01 ","  4,33 ",,,,,,,,,,,,
Multi-unit residential,  18 ,  18 ,  71 ,"  3,94 ","  1,00 ","  3,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  7 ,  7 ,  31 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
 OROQUIETA CITY (Capital),,,,,,,,,,,,,,,,,,
Total,  16.340 ,  16.498 ,  69.875 ,"  4,24 ","  1,01 ","  4,28 ",,,,,,,,,,,,
Single house,  14.449 ,  14.591 ,  62.286 ,"  4,27 ","  1,01 ","  4,31 ",,,,,,,,,,,,
Duplex,  1.230 ,  1.241 ,  5.052 ,"  4,07 ","  1,01 ","  4,11 ",,,,,,,,,,,,
Multi-unit residential,  641 ,  646 ,  2.457 ,"  3,80 ","  1,01 ","  3,83 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  26 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Not Reported,  13 ,  13 ,  51 ,"  3,92 ","  1,00 ","  3,92 ",,,,,,,,,,,,
 OZAMIS CITY,,,,,,,,,,,,,,,,,,
Total,  29.626 ,  30.304 ,  140.648 ,"  4,64 ","  1,02 ","  4,75 ",,,,,,,,,,,,
Single house,  26.064 ,  26.689 ,  125.550 ,"  4,70 ","  1,02 ","  4,82 ",,,,,,,,,,,,
Duplex,  1.788 ,  1.826 ,  8.008 ,"  4,39 ","  1,02 ","  4,48 ",,,,,,,,,,,,
Multi-unit residential,  1.690 ,  1.704 ,  6.666 ,"  3,91 ","  1,01 ","  3,94 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  69 ,  70 ,  371 ,"  5,30 ","  1,01 ","  5,38 ",,,,,,,,,,,,
Institutional living quarter,  6 ,  6 ,  21 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Others,  3 ,  3 ,  10 ,"  3,33 ","  1,00 ","  3,33 ",,,,,,,,,,,,
Not Reported,  6 ,  6 ,  22 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
 PANAON,,,,,,,,,,,,,,,,,,
Total,  2.406 ,  2.420 ,  10.181 ,"  4,21 ","  1,01 ","  4,23 ",,,,,,,,,,,,
Single house,  2.352 ,  2.365 ,  9.970 ,"  4,22 ","  1,01 ","  4,24 ",,,,,,,,,,,,
Duplex,  52 ,  52 ,  194 ,"  3,73 ","  1,00 ","  3,73 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  2 ,  10 ,"  5,00 ","  2,00 ","  10,00 ",,,,,,,,,,,,
 PLARIDEL,,,,,,,,,,,,,,,,,,
Total,  9.151 ,  9.195 ,  38.843 ,"  4,22 ","  1,00 ","  4,24 ",,,,,,,,,,,,
Single house,  8.781 ,  8.820 ,  37.370 ,"  4,24 ","  1,00 ","  4,26 ",,,,,,,,,,,,
Duplex,  280 ,  284 ,  1.129 ,"  3,98 ","  1,01 ","  4,03 ",,,,,,,,,,,,
Multi-unit residential,  58 ,  58 ,  214 ,"  3,69 ","  1,00 ","  3,69 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  33 ,"  4,13 ","  1,00 ","  4,13 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  5 ,"  2,50 ","  1,00 ","  2,50 ",,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  21 ,  22 ,  90 ,"  4,09 ","  1,05 ","  4,29 ",,,,,,,,,,,,
 SAPANG DALAGA,,,,,,,,,,,,,,,,,,
Total,  4.545 ,  4.557 ,  19.926 ,"  4,37 ","  1,00 ","  4,38 ",,,,,,,,,,,,
Single house,  4.444 ,  4.453 ,  19.515 ,"  4,38 ","  1,00 ","  4,39 ",,,,,,,,,,,,
Duplex,  66 ,  68 ,  252 ,"  3,71 ","  1,03 ","  3,82 ",,,,,,,,,,,,
Multi-unit residential,  22 ,  22 ,  101 ,"  4,59 ","  1,00 ","  4,59 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  24 ,"  4,80 ","  1,00 ","  4,80 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  7 ,  8 ,  32 ,"  4,00 ","  1,14 ","  4,57 ",,,,,,,,,,,,
 SINACABAN,,,,,,,,,,,,,,,,,,
Total,  4.088 ,  4.146 ,  18.385 ,"  4,43 ","  1,01 ","  4,50 ",,,,,,,,,,,,
Single house,  3.984 ,  4.041 ,  17.959 ,"  4,44 ","  1,01 ","  4,51 ",,,,,,,,,,,,
Duplex,  92 ,  93 ,  376 ,"  4,04 ","  1,01 ","  4,09 ",,,,,,,,,,,,
Multi-unit residential,  12 ,  12 ,  50 ,"  4,17 ","  1,00 ","  4,17 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 TANGUB CITY,,,,,,,,,,,,,,,,,,
Total,  12.868 ,  13.040 ,  62.795 ,"  4,82 ","  1,01 ","  4,88 ",,,,,,,,,,,,
Single house,  12.241 ,  12.405 ,  60.002 ,"  4,84 ","  1,01 ","  4,90 ",,,,,,,,,,,,
Duplex,  418 ,  421 ,  1.888 ,"  4,48 ","  1,01 ","  4,52 ",,,,,,,,,,,,
Multi-unit residential,  187 ,  189 ,  812 ,"  4,30 ","  1,01 ","  4,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  9 ,  11 ,  35 ,"  3,18 ","  1,22 ","  3,89 ",,,,,,,,,,,,
Institutional living quarter,  6 ,  6 ,  18 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Not Reported,  6 ,  7 ,  35 ,"  5,00 ","  1,17 ","  5,83 ",,,,,,,,,,,,
 TUDELA,,,,,,,,,,,,,,,,,,
Total,  6.468 ,  6.573 ,  28.883 ,"  4,39 ","  1,02 ","  4,47 ",,,,,,,,,,,,
Single house,  6.304 ,  6.406 ,  28.164 ,"  4,40 ","  1,02 ","  4,47 ",,,,,,,,,,,,
Duplex,  126 ,  129 ,  549 ,"  4,26 ","  1,02 ","  4,36 ",,,,,,,,,,,,
Multi-unit residential,  31 ,  31 ,  134 ,"  4,32 ","  1,00 ","  4,32 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  25 ,"  6,25 ","  1,00 ","  6,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
 DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),,,,,,,,,,,,,,,,,,
Total,  2.479 ,  2.491 ,  10.136 ,"  4,07 ","  1,00 ","  4,09 ",,,,,,,,,,,,
Single house,  2.408 ,  2.420 ,  9.879 ,"  4,08 ","  1,00 ","  4,10 ",,,,,,,,,,,,
Duplex,  38 ,  38 ,  137 ,"  3,61 ","  1,00 ","  3,61 ",,,,,,,,,,,,
Multi-unit residential,  32 ,  32 ,  116 ,"  3,63 ","  1,00 ","  3,63 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 MISAMIS ORIENTAL (excluding Cagayan de Oro City),,,,,,,,,,,,,,,,,,
Total,  195.835 ,  199.020 ,  884.428 ,"  4,44 ","  1,02 ","  4,52 ",,,,,,,,,,,,
Single house,  178.568 ,  181.497 ,  815.595 ,"  4,49 ","  1,02 ","  4,57 ",,,,,,,,,,,,
Duplex,  10.775 ,  10.952 ,  44.734 ,"  4,08 ","  1,02 ","  4,15 ",,,,,,,,,,,,
Multi-unit residential,  6.181 ,  6.246 ,  22.863 ,"  3,66 ","  1,01 ","  3,70 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  198 ,  204 ,  770 ,"  3,77 ","  1,03 ","  3,89 ",,,,,,,,,,,,
Institutional living quarter,  15 ,  15 ,  72 ,"  4,80 ","  1,00 ","  4,80 ",,,,,,,,,,,,
Others,  27 ,  27 ,  78 ,"  2,89 ","  1,00 ","  2,89 ",,,,,,,,,,,,
Not Reported,  71 ,  79 ,  316 ,"  4,00 ","  1,11 ","  4,45 ",,,,,,,,,,,,
 ALUBIJID,,,,,,,,,,,,,,,,,,
Total,  7.627 ,  7.743 ,  29.724 ,"  3,84 ","  1,02 ","  3,90 ",,,,,,,,,,,,
Single house,  7.132 ,  7.247 ,  28.030 ,"  3,87 ","  1,02 ","  3,93 ",,,,,,,,,,,,
Duplex,  354 ,  355 ,  1.229 ,"  3,46 ","  1,00 ","  3,47 ",,,,,,,,,,,,
Multi-unit residential,  133 ,  133 ,  441 ,"  3,32 ","  1,00 ","  3,32 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  13 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  4 ,  4 ,  9 ,"  2,25 ","  1,00 ","  2,25 ",,,,,,,,,,,,
 BALINGASAG,,,,,,,,,,,,,,,,,,
Total,  14.514 ,  14.790 ,  66.989 ,"  4,53 ","  1,02 ","  4,62 ",,,,,,,,,,,,
Single house,  13.220 ,  13.472 ,  62.008 ,"  4,60 ","  1,02 ","  4,69 ",,,,,,,,,,,,
Duplex,  816 ,  834 ,  3.352 ,"  4,02 ","  1,02 ","  4,11 ",,,,,,,,,,,,
Multi-unit residential,  434 ,  436 ,  1.451 ,"  3,33 ","  1,00 ","  3,34 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  13 ,  17 ,  47 ,"  2,76 ","  1,31 ","  3,62 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  9 ,  9 ,  40 ,"  4,44 ","  1,00 ","  4,44 ",,,,,,,,,,,,
Not Reported,  21 ,  21 ,  89 ,"  4,24 ","  1,00 ","  4,24 ",,,,,,,,,,,,
 BALINGOAN,,,,,,,,,,,,,,,,,,
Total,  2.243 ,  2.320 ,  11.040 ,"  4,76 ","  1,03 ","  4,92 ",,,,,,,,,,,,
Single house,  2.116 ,  2.191 ,  10.411 ,"  4,75 ","  1,04 ","  4,92 ",,,,,,,,,,,,
Duplex,  92 ,  94 ,  476 ,"  5,06 ","  1,02 ","  5,17 ",,,,,,,,,,,,
Multi-unit residential,  35 ,  35 ,  153 ,"  4,37 ","  1,00 ","  4,37 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BINUANGAN,,,,,,,,,,,,,,,,,,
Total,  1.523 ,  1.556 ,  7.513 ,"  4,83 ","  1,02 ","  4,93 ",,,,,,,,,,,,
Single house,  1.464 ,  1.495 ,  7.240 ,"  4,84 ","  1,02 ","  4,95 ",,,,,,,,,,,,
Duplex,  58 ,  60 ,  270 ,"  4,50 ","  1,03 ","  4,66 ",,,,,,,,,,,,
Multi-unit residential,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Commercial/industrial/agricultural,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 CLAVERIA,,,,,,,,,,,,,,,,,,
Total,  10.985 ,  11.085 ,  48.719 ,"  4,40 ","  1,01 ","  4,44 ",,,,,,,,,,,,
Single house,  9.998 ,  10.092 ,  45.120 ,"  4,47 ","  1,01 ","  4,51 ",,,,,,,,,,,,
Duplex,  690 ,  696 ,  2.611 ,"  3,75 ","  1,01 ","  3,78 ",,,,,,,,,,,,
Multi-unit residential,  288 ,  288 ,  953 ,"  3,31 ","  1,00 ","  3,31 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  26 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  3 ,  9 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 CITY OF EL SALVADOR,,,,,,,,,,,,,,,,,,
Total,  11.769 ,  11.940 ,  50.101 ,"  4,20 ","  1,01 ","  4,26 ",,,,,,,,,,,,
Single house,  11.032 ,  11.189 ,  47.353 ,"  4,23 ","  1,01 ","  4,29 ",,,,,,,,,,,,
Duplex,  431 ,  441 ,  1.752 ,"  3,97 ","  1,02 ","  4,06 ",,,,,,,,,,,,
Multi-unit residential,  272 ,  276 ,  885 ,"  3,21 ","  1,01 ","  3,25 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  23 ,  23 ,  90 ,"  3,91 ","  1,00 ","  3,91 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Others,  6 ,  6 ,  6 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
Not Reported,  4 ,  4 ,  14 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
 GINGOOG CITY,,,,,,,,,,,,,,,,,,
Total,  26.307 ,  26.534 ,  124.312 ,"  4,69 ","  1,01 ","  4,73 ",,,,,,,,,,,,
Single house,  24.404 ,  24.618 ,  116.338 ,"  4,73 ","  1,01 ","  4,77 ",,,,,,,,,,,,
Duplex,  1.094 ,  1.099 ,  4.660 ,"  4,24 ","  1,00 ","  4,26 ",,,,,,,,,,,,
Multi-unit residential,  777 ,  785 ,  3.184 ,"  4,06 ","  1,01 ","  4,10 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  31 ,  31 ,  123 ,"  3,97 ","  1,00 ","  3,97 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 GITAGUM,,,,,,,,,,,,,,,,,,
Total,  3.852 ,  3.895 ,  16.352 ,"  4,20 ","  1,01 ","  4,25 ",,,,,,,,,,,,
Single house,  3.733 ,  3.772 ,  15.838 ,"  4,20 ","  1,01 ","  4,24 ",,,,,,,,,,,,
Duplex,  92 ,  94 ,  413 ,"  4,39 ","  1,02 ","  4,49 ",,,,,,,,,,,,
Multi-unit residential,  16 ,  18 ,  65 ,"  3,61 ","  1,13 ","  4,06 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  11 ,  11 ,  36 ,"  3,27 ","  1,00 ","  3,27 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 INITAO,,,,,,,,,,,,,,,,,,
Total,  7.361 ,  7.555 ,  32.159 ,"  4,26 ","  1,03 ","  4,37 ",,,,,,,,,,,,
Single house,  7.068 ,  7.254 ,  30.991 ,"  4,27 ","  1,03 ","  4,38 ",,,,,,,,,,,,
Duplex,  198 ,  206 ,  827 ,"  4,01 ","  1,04 ","  4,18 ",,,,,,,,,,,,
Multi-unit residential,  90 ,  90 ,  315 ,"  3,50 ","  1,00 ","  3,50 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  22 ,"  5,50 ","  1,00 ","  5,50 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
 JASAAN,,,,,,,,,,,,,,,,,,
Total,  11.933 ,  12.184 ,  54.373 ,"  4,46 ","  1,02 ","  4,56 ",,,,,,,,,,,,
Single house,  10.630 ,  10.849 ,  48.971 ,"  4,51 ","  1,02 ","  4,61 ",,,,,,,,,,,,
Duplex,  854 ,  876 ,  3.565 ,"  4,07 ","  1,03 ","  4,17 ",,,,,,,,,,,,
Multi-unit residential,  427 ,  435 ,  1.754 ,"  4,03 ","  1,02 ","  4,11 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  10 ,  11 ,  34 ,"  3,09 ","  1,10 ","  3,40 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  12 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  9 ,  10 ,  37 ,"  3,70 ","  1,11 ","  4,11 ",,,,,,,,,,,,
 KINOGUITAN,,,,,,,,,,,,,,,,,,
Total,  2.984 ,  3.046 ,  14.302 ,"  4,70 ","  1,02 ","  4,79 ",,,,,,,,,,,,
Single house,  2.946 ,  3.008 ,  14.158 ,"  4,71 ","  1,02 ","  4,81 ",,,,,,,,,,,,
Duplex,  24 ,  24 ,  95 ,"  3,96 ","  1,00 ","  3,96 ",,,,,,,,,,,,
Multi-unit residential,  10 ,  10 ,  33 ,"  3,30 ","  1,00 ","  3,30 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  12 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LAGONGLONG,,,,,,,,,,,,,,,,,,
Total,  4.474 ,  4.584 ,  21.623 ,"  4,72 ","  1,02 ","  4,83 ",,,,,,,,,,,,
Single house,  4.125 ,  4.231 ,  20.123 ,"  4,76 ","  1,03 ","  4,88 ",,,,,,,,,,,,
Duplex,  224 ,  226 ,  1.017 ,"  4,50 ","  1,01 ","  4,54 ",,,,,,,,,,,,
Multi-unit residential,  118 ,  119 ,  451 ,"  3,79 ","  1,01 ","  3,82 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  4 ,  14 ,"  3,50 ","  1,33 ","  4,67 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  18 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
 LAGUINDINGAN,,,,,,,,,,,,,,,,,,
Total,  5.604 ,  5.614 ,  24.400 ,"  4,35 ","  1,00 ","  4,35 ",,,,,,,,,,,,
Single house,  5.174 ,  5.183 ,  22.586 ,"  4,36 ","  1,00 ","  4,37 ",,,,,,,,,,,,
Duplex,  346 ,  347 ,  1.525 ,"  4,39 ","  1,00 ","  4,41 ",,,,,,,,,,,,
Multi-unit residential,  84 ,  84 ,  289 ,"  3,44 ","  1,00 ","  3,44 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 LIBERTAD,,,,,,,,,,,,,,,,,,
Total,  2.707 ,  2.718 ,  12.349 ,"  4,54 ","  1,00 ","  4,56 ",,,,,,,,,,,,
Single house,  2.574 ,  2.583 ,  11.801 ,"  4,57 ","  1,00 ","  4,58 ",,,,,,,,,,,,
