City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
CONCEPCION,  2.460 ,  13 ,  489 ,  1 ,  9 ,  -   ,  71 ,  519 ,  1.325 ,  -   ,  -   ,  33 ,  -   ,  -   ,,,,,,,,,,,,,,
JIMENEZ,  6.362 ,  3.033 ,  712 ,  126 ,  424 ,  430 ,  12 ,  840 ,  150 ,  4 ,  1 ,  630 ,  -   ,  -   ,,,,,,,,,,,,,,
LOPEZ JAENA,  5.830 ,  2.518 ,  1.957 ,  50 ,  300 ,  8 ,  134 ,  569 ,  2 ,  2 ,  179 ,  111 ,  -   ,  -   ,,,,,,,,,,,,,,
OROQUIETA CITY (Capital),  16.498 ,  8.263 ,  4.055 ,  196 ,  1.653 ,  57 ,  55 ,  545 ,  493 ,  2 ,  29 ,  1.150 ,  -   ,  -   ,,,,,,,,,,,,,,
OZAMIS CITY,  30.304 ,  11.479 ,  5.566 ,  958 ,  5.113 ,  278 ,  635 ,  2.303 ,  282 ,  346 ,  951 ,  2.393 ,  -   ,  -   ,,,,,,,,,,,,,,
PANAON,  2.420 ,  1.348 ,  554 ,  2 ,  22 ,  3 ,  46 ,  264 ,  142 ,  1 ,  -   ,  38 ,  -   ,  -   ,,,,,,,,,,,,,,
PLARIDEL,  9.195 ,  4.565 ,  2.753 ,  63 ,  368 ,  20 ,  353 ,  67 ,  13 ,  1 ,  109 ,  883 ,  -   ,  -   ,,,,,,,,,,,,,,
SAPANG DALAGA,  4.557 ,  441 ,  1.144 ,  160 ,  267 ,  76 ,  256 ,  1.284 ,  683 ,  6 ,  133 ,  107 ,  -   ,  -   ,,,,,,,,,,,,,,
SINACABAN,  4.146 ,  2.000 ,  537 ,  62 ,  373 ,  34 ,  76 ,  240 ,  649 ,  6 ,  2 ,  167 ,  -   ,  -   ,,,,,,,,,,,,,,
TANGUB CITY,  13.040 ,  3.640 ,  2.715 ,  170 ,  2.195 ,  751 ,  304 ,  2.031 ,  49 ,  21 ,  84 ,  1.080 ,  -   ,  -   ,,,,,,,,,,,,,,
TUDELA,  6.573 ,  3.411 ,  1.685 ,  49 ,  479 ,  6 ,  92 ,  310 ,  141 ,  72 ,  52 ,  276 ,  -   ,  -   ,,,,,,,,,,,,,,
DON VICTORIANO CHIONGBIAN (DON MARIANO MARCOS),  2.491 ,  256 ,  1.508 ,  16 ,  184 ,  -   ,  26 ,  319 ,  163 ,  10 ,  -   ,  9 ,  -   ,  -   ,,,,,,,,,,,,,,
MISAMIS ORIENTAL (excluding Cagayan de Oro City),  199.020 ,  62.464 ,  56.445 ,  3.261 ,  24.632 ,  1.363 ,  4.845 ,  11.928 ,  4.222 ,  549 ,  3.966 ,  25.341 ,  4 ,  -   ,,,,,,,,,,,,,,
ALUBIJID,  7.743 ,  3.510 ,  1.627 ,  60 ,  701 ,  58 ,  142 ,  498 ,  15 ,  6 ,  6 ,  1.117 ,  3 ,  -   ,,,,,,,,,,,,,,
BALINGASAG,  14.790 ,  3.838 ,  4.254 ,  385 ,  3.529 ,  506 ,  147 ,  1.185 ,  662 ,  33 ,  17 ,  234 ,  -   ,  -   ,,,,,,,,,,,,,,
BALINGOAN,  2.320 ,  746 ,  952 ,  21 ,  22 ,  -   ,  154 ,  55 ,  -   ,  19 ,  14 ,  337 ,  -   ,  -   ,,,,,,,,,,,,,,
BINUANGAN,  1.556 ,  690 ,  463 ,  -   ,  6 ,  2 ,  2 ,  312 ,  18 ,  -   ,  22 ,  41 ,  -   ,  -   ,,,,,,,,,,,,,,
CLAVERIA,  11.085 ,  3.364 ,  4.061 ,  73 ,  333 ,  26 ,  119 ,  1.673 ,  867 ,  36 ,  13 ,  519 ,  1 ,  -   ,,,,,,,,,,,,,,
CITY OF EL SALVADOR,  11.940 ,  6.211 ,  2.339 ,  55 ,  403 ,  35 ,  26 ,  26 ,  14 ,  74 ,  162 ,  2.595 ,  -   ,  -   ,,,,,,,,,,,,,,
GINGOOG CITY,  26.534 ,  7.934 ,  7.333 ,  319 ,  5.599 ,  183 ,  132 ,  3.904 ,  617 ,  64 ,  66 ,  383 ,  -   ,  -   ,,,,,,,,,,,,,,
GITAGUM,  3.895 ,  2.596 ,  705 ,  23 ,  62 ,  -   ,  7 ,  77 ,  2 ,  14 ,  5 ,  404 ,  -   ,  -   ,,,,,,,,,,,,,,
INITAO,  7.555 ,  1.567 ,  2.306 ,  153 ,  894 ,  110 ,  623 ,  110 ,  22 ,  15 ,  318 ,  1.437 ,  -   ,  -   ,,,,,,,,,,,,,,
JASAAN,  12.184 ,  5.533 ,  4.366 ,  346 ,  142 ,  20 ,  507 ,  269 ,  42 ,  129 ,  66 ,  764 ,  -   ,  -   ,,,,,,,,,,,,,,
KINOGUITAN,  3.046 ,  1.272 ,  1.239 ,  70 ,  224 ,  5 ,  137 ,  14 ,  1 ,  -   ,  1 ,  83 ,  -   ,  -   ,,,,,,,,,,,,,,
LAGONGLONG,  4.584 ,  1.811 ,  884 ,  147 ,  1.307 ,  17 ,  104 ,  145 ,  53 ,  13 ,  -   ,  103 ,  -   ,  -   ,,,,,,,,,,,,,,
LAGUINDINGAN,  5.614 ,  2.197 ,  1.456 ,  2 ,  255 ,  17 ,  -   ,  71 ,  6 ,  12 ,  5 ,  1.593 ,  -   ,  -   ,,,,,,,,,,,,,,
LIBERTAD,  2.718 ,  1.319 ,  728 ,  13 ,  193 ,  -   ,  18 ,  29 ,  1 ,  14 ,  7 ,  396 ,  -   ,  -   ,,,,,,,,,,,,,,
LUGAIT,  4.650 ,  773 ,  1.231 ,  42 ,  702 ,  4 ,  21 ,  173 ,  90 ,  3 ,  4 ,  1.607 ,  -   ,  -   ,,,,,,,,,,,,,,
MAGSAYSAY (LINUGOS),  6.985 ,  281 ,  2.618 ,  123 ,  1.254 ,  123 ,  908 ,  432 ,  23 ,  7 ,  52 ,  1.164 ,  -   ,  -   ,,,,,,,,,,,,,,
MANTICAO,  6.460 ,  1.076 ,  744 ,  356 ,  1.609 ,  108 ,  436 ,  759 ,  232 ,  28 ,  24 ,  1.088 ,  -   ,  -   ,,,,,,,,,,,,,,
MEDINA,  7.145 ,  2.968 ,  1.679 ,  102 ,  627 ,  4 ,  264 ,  516 ,  220 ,  2 ,  188 ,  575 ,  -   ,  -   ,,,,,,,,,,,,,,
NAAWAN,  4.726 ,  1.709 ,  792 ,  115 ,  810 ,  10 ,  84 ,  143 ,  161 ,  8 ,  52 ,  842 ,  -   ,  -   ,,,,,,,,,,,,,,
OPOL,  14.097 ,  2.538 ,  2.896 ,  161 ,  910 ,  11 ,  70 ,  594 ,  897 ,  27 ,  1.494 ,  4.499 ,  -   ,  -   ,,,,,,,,,,,,,,
SALAY,  6.350 ,  2.741 ,  2.119 ,  17 ,  374 ,  6 ,  2 ,  306 ,  49 ,  7 ,  24 ,  705 ,  -   ,  -   ,,,,,,,,,,,,,,
SUGBONGCOGON,  1.914 ,  459 ,  1.260 ,  3 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  190 ,  -   ,  -   ,,,,,,,,,,,,,,
TAGOLOAN,  16.999 ,  2.722 ,  4.829 ,  464 ,  2.613 ,  62 ,  736 ,  148 ,  134 ,  28 ,  1.370 ,  3.893 ,  -   ,  -   ,,,,,,,,,,,,,,
TALISAYAN,  5.391 ,  561 ,  2.583 ,  122 ,  1.604 ,  6 ,  9 ,  321 ,  3 ,  2 ,  34 ,  146 ,  -   ,  -   ,,,,,,,,,,,,,,
VILLANUEVA,  8.739 ,  4.048 ,  2.981 ,  89 ,  457 ,  50 ,  197 ,  168 ,  93 ,  8 ,  22 ,  626 ,  -   ,  -   ,,,,,,,,,,,,,,
CAGAYAN DE ORO CITY (Capital),  163.174 ,  55.426 ,  26.402 ,  375 ,  2.738 ,  52 ,  361 ,  2.971 ,  1.236 ,  196 ,  3.514 ,  69.347 ,  556 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XI - DAVAO,  1.177.409 ,  375.863 ,  212.515 ,  38.603 ,  155.025 ,  22.419 ,  35.447 ,  85.560 ,  23.943 ,  12.295 ,  93.348 ,  120.566 ,  1.825 ,  -   ,,,,,,,,,,,,,,
DAVAO DEL NORTE,  233.232 ,  37.248 ,  21.863 ,  6.953 ,  22.538 ,  2.936 ,  5.167 ,  11.869 ,  4.343 ,  6.009 ,  59.943 ,  54.358 ,  5 ,  -   ,,,,,,,,,,,,,,
ASUNCION (SAUG),  13.801 ,  1.864 ,  2.149 ,  611 ,  4.151 ,  238 ,  502 ,  854 ,  155 ,  134 ,  2.413 ,  730 ,  -   ,  -   ,,,,,,,,,,,,,,
CARMEN,  16.743 ,  120 ,  301 ,  297 ,  612 ,  92 ,  491 ,  21 ,  4 ,  1.961 ,  10.849 ,  1.995 ,  -   ,  -   ,,,,,,,,,,,,,,
KAPALONG,  17.265 ,  1.954 ,  1.474 ,  1.159 ,  5.310 ,  1.523 ,  298 ,  1.397 ,  9 ,  419 ,  3.007 ,  715 ,  -   ,  -   ,,,,,,,,,,,,,,
NEW CORELLA,  12.403 ,  2.124 ,  2.844 ,  139 ,  2.376 ,  504 ,  229 ,  1.026 ,  44 ,  175 ,  2.167 ,  771 ,  4 ,  -   ,,,,,,,,,,,,,,
CITY OF PANABO,  42.489 ,  2.414 ,  1.119 ,  2.097 ,  3.320 ,  109 ,  446 ,  716 ,  19 ,  496 ,  21.250 ,  10.503 ,  -   ,  -   ,,,,,,,,,,,,,,
ISLAND GARDEN CITY OF SAMAL,  26.245 ,  8.233 ,  6.808 ,  335 ,  1.092 ,  42 ,  110 ,  2.046 ,  4 ,  909 ,  1.443 ,  5.222 ,  1 ,  -   ,,,,,,,,,,,,,,
SANTO TOMAS,  26.291 ,  5.935 ,  1.611 ,  1.766 ,  3.100 ,  258 ,  1.136 ,  205 ,  175 ,  182 ,  9.638 ,  2.285 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF TAGUM (Capital),  59.989 ,  12.950 ,  3.570 ,  392 ,  1.454 ,  32 ,  649 ,  3.038 ,  107 ,  1.088 ,  5.360 ,  31.349 ,  -   ,  -   ,,,,,,,,,,,,,,
TALAINGOD,  6.142 ,  551 ,  234 ,  20 ,  633 ,  6 ,  19 ,  1.021 ,  3.443 ,  191 ,  4 ,  20 ,  -   ,  -   ,,,,,,,,,,,,,,
BRAULIO E. DUJALI,  5.404 ,  51 ,  27 ,  99 ,  141 ,  87 ,  281 ,  17 ,  -   ,  418 ,  3.548 ,  735 ,  -   ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  6.460 ,  1.052 ,  1.726 ,  38 ,  349 ,  45 ,  1.006 ,  1.528 ,  383 ,  36 ,  264 ,  33 ,  -   ,  -   ,,,,,,,,,,,,,,
DAVAO DEL SUR (excluding Davao City),  158.796 ,  49.577 ,  34.032 ,  11.477 ,  30.492 ,  3.417 ,  5.287 ,  9.141 ,  1.161 ,  1.151 ,  1.119 ,  11.942 ,  -   ,  -   ,,,,,,,,,,,,,,
BANSALAN,  14.913 ,  5.959 ,  3.562 ,  1.235 ,  715 ,  40 ,  66 ,  1.757 ,  8 ,  456 ,  114 ,  1.001 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF DIGOS (Capital),  41.550 ,  17.444 ,  7.549 ,  2.706 ,  6.750 ,  414 ,  257 ,  2.136 ,  58 ,  6 ,  628 ,  3.602 ,  -   ,  -   ,,,,,,,,,,,,,,
HAGONOY,  13.198 ,  2.100 ,  1.536 ,  1.292 ,  5.775 ,  611 ,  12 ,  36 ,  4 ,  1 ,  86 ,  1.745 ,  -   ,  -   ,,,,,,,,,,,,,,
KIBLAWAN,  13.474 ,  4.681 ,  4.162 ,  172 ,  1.221 ,  370 ,  1.653 ,  462 ,  363 ,  134 ,  3 ,  253 ,  -   ,  -   ,,,,,,,,,,,,,,
MAGSAYSAY,  13.571 ,  1.873 ,  3.582 ,  2.205 ,  3.615 ,  100 ,  483 ,  1.552 ,  66 ,  27 ,  -   ,  68 ,  -   ,  -   ,,,,,,,,,,,,,,
MALALAG,  10.367 ,  2.172 ,  2.922 ,  599 ,  2.163 ,  508 ,  447 ,  838 ,  368 ,  30 ,  6 ,  314 ,  -   ,  -   ,,,,,,,,,,,,,,
MATANAO,  13.861 ,  4.637 ,  3.110 ,  1.575 ,  3.139 ,  399 ,  403 ,  191 ,  167 ,  -   ,  115 ,  125 ,  -   ,  -   ,,,,,,,,,,,,,,
PADADA,  6.915 ,  1.480 ,  905 ,  516 ,  696 ,  33 ,  16 ,  -   ,  -   ,  -   ,  3 ,  3.266 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA CRUZ,  22.341 ,  7.369 ,  5.254 ,  592 ,  3.694 ,  892 ,  830 ,  1.966 ,  123 ,  491 ,  95 ,  1.035 ,  -   ,  -   ,,,,,,,,,,,,,,
SULOP,  8.606 ,  1.862 ,  1.450 ,  585 ,  2.724 ,  50 ,  1.120 ,  203 ,  4 ,  6 ,  69 ,  533 ,  -   ,  -   ,,,,,,,,,,,,,,
DAVAO CITY,  409.951 ,  222.141 ,  80.188 ,  5.429 ,  18.858 ,  1.830 ,  5.250 ,  12.899 ,  2.379 ,  1.546 ,  24.837 ,  32.970 ,  1.624 ,  -   ,,,,,,,,,,,,,,
DAVAO ORIENTAL,  128.558 ,  22.496 ,  27.610 ,  6.360 ,  30.197 ,  4.686 ,  4.284 ,  15.250 ,  4.135 ,  1.321 ,  628 ,  11.477 ,  114 ,  -   ,,,,,,,,,,,,,,
BAGANGA,  13.339 ,  1.530 ,  2.191 ,  982 ,  3.451 ,  833 ,  811 ,  1.944 ,  353 ,  148 ,  138 ,  944 ,  14 ,  -   ,,,,,,,,,,,,,,
BANAYBANAY,  9.321 ,  1.386 ,  2.005 ,  639 ,  4.257 ,  486 ,  14 ,  167 ,  40 ,  -   ,  14 ,  312 ,  1 ,  -   ,,,,,,,,,,,,,,
BOSTON,  3.216 ,  217 ,  1.972 ,  53 ,  385 ,  14 ,  12 ,  263 ,  265 ,  6 ,  5 ,  23 ,  1 ,  -   ,,,,,,,,,,,,,,
CARAGA,  9.239 ,  2.633 ,  3.489 ,  254 ,  814 ,  37 ,  256 ,  720 ,  851 ,  21 ,  37 ,  95 ,  32 ,  -   ,,,,,,,,,,,,,,
CATEEL,  9.711 ,  194 ,  1.092 ,  918 ,  2.833 ,  1.730 ,  282 ,  1.719 ,  708 ,  60 ,  32 ,  127 ,  16 ,  -   ,,,,,,,,,,,,,,
GOVERNOR GENEROSO,  12.738 ,  3.369 ,  2.465 ,  684 ,  4.194 ,  102 ,  258 ,  919 ,  308 ,  4 ,  2 ,  424 ,  9 ,  -   ,,,,,,,,,,,,,,
LUPON,  15.250 ,  1.933 ,  2.717 ,  1.088 ,  5.824 ,  253 ,  382 ,  1.189 ,  170 ,  53 ,  -   ,  1.625 ,  16 ,  -   ,,,,,,,,,,,,,,
MANAY,  9.666 ,  1.855 ,  1.441 ,  298 ,  708 ,  102 ,  963 ,  2.632 ,  240 ,  713 ,  9 ,  702 ,  3 ,  -   ,,,,,,,,,,,,,,
CITY OF MATI (Capital),  32.492 ,  7.467 ,  7.264 ,  767 ,  4.506 ,  900 ,  968 ,  3.385 ,  255 ,  182 ,  386 ,  6.404 ,  8 ,  -   ,,,,,,,,,,,,,,
SAN ISIDRO,  7.821 ,  1.356 ,  1.158 ,  616 ,  2.583 ,  159 ,  265 ,  890 ,  399 ,  4 ,  4 ,  374 ,  13 ,  -   ,,,,,,,,,,,,,,
TARRAGONA,  5.765 ,  556 ,  1.816 ,  61 ,  642 ,  70 ,  73 ,  1.422 ,  546 ,  130 ,  1 ,  447 ,  1 ,  -   ,,,,,,,,,,,,,,
COMPOSTELA VALLEY,  169.441 ,  37.000 ,  35.473 ,  6.083 ,  34.542 ,  6.240 ,  9.556 ,  19.948 ,  4.068 ,  1.502 ,  6.227 ,  8.756 ,  46 ,  -   ,,,,,,,,,,,,,,
COMPOSTELA,  19.093 ,  2.788 ,  3.393 ,  1.883 ,  7.503 ,  1.251 ,  136 ,  1.489 ,  73 ,  31 ,  147 ,  399 ,  -   ,  -   ,,,,,,,,,,,,,,
LAAK (SAN VICENTE),  17.537 ,  1.985 ,  5.197 ,  214 ,  2.398 ,  234 ,  3.856 ,  2.009 ,  982 ,  349 ,  172 ,  141 ,  -   ,  -   ,,,,,,,,,,,,,,
MABINI (DOÑA ALICIA),  9.654 ,  816 ,  1.243 ,  396 ,  3.734 ,  278 ,  114 ,  2.302 ,  12 ,  29 ,  179 ,  546 ,  5 ,  -   ,,,,,,,,,,,,,,
MACO,  19.150 ,  5.977 ,  3.671 ,  568 ,  2.677 ,  625 ,  520 ,  2.243 ,  468 ,  88 ,  993 ,  1.290 ,  30 ,  -   ,,,,,,,,,,,,,,
MARAGUSAN (SAN MARIANO),  14.349 ,  8.292 ,  4.601 ,  179 ,  826 ,  40 ,  114 ,  93 ,  6 ,  31 ,  11 ,  156 ,  -   ,  -   ,,,,,,,,,,,,,,
MAWAB,  8.334 ,  1.100 ,  1.712 ,  479 ,  2.009 ,  469 ,  385 ,  900 ,  4 ,  67 ,  870 ,  339 ,  -   ,  -   ,,,,,,,,,,,,,,
MONKAYO,  21.451 ,  4.099 ,  4.537 ,  421 ,  2.830 ,  1.225 ,  1.488 ,  3.301 ,  1.259 ,  395 ,  1.367 ,  529 ,  -   ,  -   ,,,,,,,,,,,,,,
MONTEVISTA,  10.067 ,  1.029 ,  2.705 ,  278 ,  1.276 ,  58 ,  1.792 ,  836 ,  415 ,  112 ,  56 ,  1.509 ,  1 ,  -   ,,,,,,,,,,,,,,
NABUNTURAN (Capital),  18.894 ,  3.730 ,  1.908 ,  464 ,  3.669 ,  72 ,  650 ,  2.137 ,  681 ,  363 ,  2.256 ,  2.964 ,  -   ,  -   ,,,,,,,,,,,,,,
NEW BATAAN,  11.637 ,  5.399 ,  2.801 ,  387 ,  660 ,  544 ,  20 ,  1.704 ,  50 ,  2 ,  14 ,  56 ,  -   ,  -   ,,,,,,,,,,,,,,
PANTUKAN,  19.275 ,  1.785 ,  3.705 ,  814 ,  6.960 ,  1.444 ,  481 ,  2.934 ,  118 ,  35 ,  162 ,  827 ,  10 ,  -   ,,,,,,,,,,,,,,
DAVAO OCCIDENTAL,  77.431 ,  7.401 ,  13.349 ,  2.301 ,  18.398 ,  3.310 ,  5.903 ,  16.453 ,  7.857 ,  766 ,  594 ,  1.063 ,  36 ,  -   ,,,,,,,,,,,,,,
DON MARCELINO,  11.207 ,  1.489 ,  2.358 ,  74 ,  1.273 ,  1.351 ,  1.036 ,  1.775 ,  1.543 ,  130 ,  133 ,  38 ,  7 ,  -   ,,,,,,,,,,,,,,
JOSE ABAD SANTOS (TRINIDAD),  18.117 ,  387 ,  3.074 ,  498 ,  3.782 ,  715 ,  1.481 ,  4.803 ,  3.028 ,  324 ,  1 ,  22 ,  2 ,  -   ,,,,,,,,,,,,,,
MALITA,  28.627 ,  4.424 ,  4.599 ,  649 ,  4.888 ,  660 ,  2.276 ,  7.491 ,  2.327 ,  69 ,  270 ,  962 ,  12 ,  -   ,,,,,,,,,,,,,,
SANTA MARIA,  13.638 ,  820 ,  899 ,  1.016 ,  7.229 ,  454 ,  604 ,  1.592 ,  828 ,  165 ,  1 ,  20 ,  10 ,  -   ,,,,,,,,,,,,,,
SARANGANI,  5.842 ,  281 ,  2.419 ,  64 ,  1.226 ,  130 ,  506 ,  792 ,  131 ,  78 ,  189 ,  21 ,  5 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGION XII - SOCCSKSARGEN,  1.050.654 ,  237.570 ,  178.259 ,  99.770 ,  201.098 ,  41.328 ,  67.430 ,  74.832 ,  24.164 ,  7.773 ,  20.869 ,  95.132 ,  2.429 ,  -   ,,,,,,,,,,,,,,
COTABATO (NORTH COTABATO),  320.567 ,  74.463 ,  42.760 ,  29.670 ,  71.105 ,  10.509 ,  37.245 ,  23.677 ,  4.911 ,  571 ,  11.780 ,  13.406 ,  470 ,  -   ,,,,,,,,,,,,,,
ALAMADA,  14.993 ,  3.509 ,  2.928 ,  401 ,  978 ,  291 ,  1.648 ,  3.749 ,  1.289 ,  159 ,  14 ,  24 ,  3 ,  -   ,,,,,,,,,,,,,,
CARMEN,  21.905 ,  4.181 ,  3.521 ,  1.331 ,  5.000 ,  1.204 ,  2.386 ,  3.367 ,  380 ,  116 ,  14 ,  401 ,  4 ,  -   ,,,,,,,,,,,,,,
KABACAN,  20.094 ,  4.516 ,  1.101 ,  3.128 ,  6.888 ,  1.109 ,  504 ,  1.096 ,  233 ,  5 ,  1 ,  1.501 ,  12 ,  -   ,,,,,,,,,,,,,,
CITY OF KIDAPAWAN (Capital),  33.250 ,  22.736 ,  5.954 ,  1.014 ,  812 ,  41 ,  559 ,  1.005 ,  202 ,  16 ,  435 ,  451 ,  25 ,  -   ,,,,,,,,,,,,,,
LIBUNGAN,  11.476 ,  842 ,  1.031 ,  1.246 ,  3.585 ,  934 ,  992 ,  1.072 ,  136 ,  13 ,  379 ,  1.244 ,  2 ,  -   ,,,,,,,,,,,,,,
MAGPET,  11.181 ,  4.804 ,  4.210 ,  174 ,  615 ,  60 ,  374 ,  658 ,  239 ,  14 ,  19 ,  13 ,  1 ,  -   ,,,,,,,,,,,,,,
MAKILALA,  19.356 ,  8.294 ,  4.952 ,  571 ,  1.783 ,  80 ,  816 ,  2.381 ,  157 ,  14 ,  214 ,  93 ,  1 ,  -   ,,,,,,,,,,,,,,
MATALAM,  18.816 ,  3.762 ,  2.577 ,  2.341 ,  5.986 ,  244 ,  1.125 ,  1.829 ,  717 ,  3 ,  3 ,  224 ,  5 ,  -   ,,,,,,,,,,,,,,
MIDSAYAP,  34.198 ,  1.649 ,  1.924 ,  2.881 ,  7.622 ,  1.625 ,  6.776 ,  366 ,  79 ,  24 ,  8.060 ,  3.190 ,  2 ,  -   ,,,,,,,,,,,,,,
M'LANG,  23.645 ,  7.471 ,  1.908 ,  4.168 ,  6.222 ,  1.432 ,  250 ,  501 ,  23 ,  42 ,  20 ,  1.229 ,  379 ,  -   ,,,,,,,,,,,,,,
PIGKAWAYAN,  15.826 ,  805 ,  1.235 ,  2.882 ,  6.358 ,  292 ,  1.509 ,  665 ,  194 ,  23 ,  5 ,  1.854 ,  4 ,  -   ,,,,,,,,,,,,,,
PIKIT,  36.099 ,  463 ,  1.098 ,  3.814 ,  11.526 ,  2.246 ,  13.290 ,  449 ,  153 ,  11 ,  2.215 ,  832 ,  2 ,  -   ,,,,,,,,,,,,,,
PRESIDENT ROXAS,  10.927 ,  2.332 ,  1.572 ,  764 ,  1.476 ,  193 ,  1.984 ,  2.134 ,  185 ,  3 ,  53 ,  209 ,  22 ,  -   ,,,,,,,,,,,,,,
TULUNAN,  13.513 ,  1.069 ,  1.910 ,  3.323 ,  5.076 ,  169 ,  322 ,  174 ,  7 ,  23 ,  1 ,  1.437 ,  2 ,  -   ,,,,,,,,,,,,,,
ANTIPAS,  6.071 ,  2.654 ,  1.009 ,  148 ,  439 ,  108 ,  175 ,  1.490 ,  30 ,  4 ,  -   ,  11 ,  3 ,  -   ,,,,,,,,,,,,,,
BANISILAN,  9.649 ,  1.127 ,  1.245 ,  689 ,  2.105 ,  48 ,  1.762 ,  1.580 ,  712 ,  14 ,  178 ,  186 ,  3 ,  -   ,,,,,,,,,,,,,,
ALEOSAN,  8.845 ,  778 ,  1.227 ,  428 ,  3.309 ,  162 ,  2.027 ,  318 ,  23 ,  13 ,  142 ,  418 ,  -   ,  -   ,,,,,,,,,,,,,,
ARAKAN,  10.723 ,  3.471 ,  3.358 ,  367 ,  1.325 ,  271 ,  746 ,  843 ,  152 ,  74 ,  27 ,  89 ,  -   ,  -   ,,,,,,,,,,,,,,
SOUTH COTABATO (excluding General Santos City),  217.926 ,  48.897 ,  39.355 ,  25.967 ,  38.546 ,  7.334 ,  7.220 ,  18.439 ,  3.053 ,  951 ,  2.213 ,  25.823 ,  128 ,  -   ,,,,,,,,,,,,,,
BANGA,  21.100 ,  3.026 ,  1.600 ,  2.972 ,  6.376 ,  2.145 ,  515 ,  1.747 ,  252 ,  3 ,  37 ,  2.410 ,  17 ,  -   ,,,,,,,,,,,,,,
CITY OF KORONADAL (Capital),  42.902 ,  5.991 ,  2.992 ,  7.553 ,  9.183 ,  561 ,  322 ,  1.429 ,  157 ,  50 ,  815 ,  13.767 ,  82 ,  -   ,,,,,,,,,,,,,,
NORALA,  10.601 ,  1.419 ,  295 ,  3.372 ,  3.556 ,  367 ,  138 ,  403 ,  41 ,  1 ,  233 ,  776 ,  -   ,  -   ,,,,,,,,,,,,,,
POLOMOLOK,  36.720 ,  19.935 ,  7.192 ,  1.851 ,  3.299 ,  79 ,  454 ,  1.721 ,  346 ,  127 ,  596 ,  1.110 ,  10 ,  -   ,,,,,,,,,,,,,,
SURALLAH,  20.330 ,  5.342 ,  2.009 ,  2.260 ,  3.174 ,  979 ,  996 ,  2.397 ,  118 ,  7 ,  192 ,  2.845 ,  11 ,  -   ,,,,,,,,,,,,,,
TAMPAKAN,  9.444 ,  2.239 ,  2.290 ,  1.055 ,  1.560 ,  529 ,  81 ,  918 ,  392 ,  4 ,  7 ,  368 ,  1 ,  -   ,,,,,,,,,,,,,,
TANTANGAN,  10.396 ,  1.846 ,  2.253 ,  1.104 ,  1.901 ,  1.072 ,  304 ,  118 ,  30 ,  1 ,  74 ,  1.691 ,  2 ,  -   ,,,,,,,,,,,,,,
T'BOLI,  21.441 ,  3.343 ,  10.050 ,  212 ,  2.708 ,  645 ,  776 ,  2.511 ,  271 ,  663 ,  38 ,  222 ,  2 ,  -   ,,,,,,,,,,,,,,
TUPI,  16.695 ,  3.447 ,  4.554 ,  1.918 ,  2.616 ,  332 ,  291 ,  2.893 ,  284 ,  89 ,  90 ,  181 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTO NIÑO,  9.719 ,  1.259 ,  497 ,  2.920 ,  2.335 ,  169 ,  46 ,  85 ,  11 ,  1 ,  71 ,  2.325 ,  -   ,  -   ,,,,,,,,,,,,,,
LAKE SEBU,  18.578 ,  1.050 ,  5.623 ,  750 ,  1.838 ,  456 ,  3.297 ,  4.217 ,  1.151 ,  5 ,  60 ,  128 ,  3 ,  -   ,,,,,,,,,,,,,,
SULTAN KUDARAT,  184.650 ,  11.078 ,  19.977 ,  25.815 ,  45.283 ,  18.202 ,  10.815 ,  17.832 ,  8.499 ,  3.180 ,  459 ,  23.293 ,  217 ,  -   ,,,,,,,,,,,,,,
BAGUMBAYAN,  15.440 ,  1.919 ,  2.557 ,  1.404 ,  1.712 ,  3.296 ,  1.656 ,  2.148 ,  275 ,  116 ,  10 ,  346 ,  1 ,  -   ,,,,,,,,,,,,,,
COLUMBIO,  8.134 ,  158 ,  1.319 ,  1.280 ,  2.771 ,  371 ,  602 ,  1.256 ,  271 ,  42 ,  -   ,  64 ,  -   ,  -   ,,,,,,,,,,,,,,
ESPERANZA,  15.868 ,  912 ,  1.270 ,  5.038 ,  2.714 ,  364 ,  241 ,  1.476 ,  1.104 ,  337 ,  260 ,  2.147 ,  5 ,  -   ,,,,,,,,,,,,,,
ISULAN (Capital),  20.332 ,  1.538 ,  711 ,  3.909 ,  4.648 ,  1.427 ,  38 ,  1.069 ,  35 ,  12 ,  100 ,  6.842 ,  3 ,  -   ,,,,,,,,,,,,,,
