,name,Elementary_school,Secondary_school,Enrollment_Elementary_Male,Enrollment_Elementary_Female,Enrollment_Secondary_Male,Enrollment_Secondary_Female,year
1408,Santa Cruz (DS),270,70,8.483,7.827,2.978,3.135,2018
1409,Santa Cruz (IS),240,20,2.599,2.424,410,340,2018
1410,Santa Cruz (LA),170,20,8.760,8.153,4.287,4.758,2018
1411,Santa Cruz (ME),520,170,4.364,4.000,2.078,2.005,2018
1412,Santa Cruz (OM),230,40,3.301,2.953,1.570,1.527,2018
1413,Santa Cruz (ZA),280,90,4.702,4.292,2.227,2.112,2018
1414,Santa Elena,200,70,3.837,3.609,1.799,1.739,2018
1415,Santa Fe (CU),100,40,3.036,2.669,1.532,1.626,2018
1416,Santa Fe (LE),170,10,1.831,1.763,687,768,2018
1417,Santa Fe (NV),150,20,1.217,1.073,419,577,2018
1418,Santa Fe (RN),140,30,1.624,1.341,802,822,2018
1419,Santa Ignacia,230,80,3.404,3.151,1.754,1.652,2018
1420,Santa Josefa,170,60,2.374,2.108,1.104,1.097,2018
1421,Santa Lucia,140,30,1.701,1.626,690,611,2018
1422,Santa Magdalena,100,20,1.567,1.421,947,903,2018
1423,Santa Marcela,130,40,992,896,521,489,2018
1424,Santa Margarita,300,30,2.430,2.305,1.303,1.319,2018
1425,Santa Maria (BU),320,70,16.316,15.047,7.154,6.912,2018
1426,Santa Maria (DS),280,50,5.090,4.522,2.037,2.192,2018
1427,Santa Maria (IS),190,20,1.940,1.708,872,933,2018
1428,Santa Maria (IA),160,30,2.069,1.981,986,847,2018
1429,Santa Maria (LA),210,40,2.267,1.995,1.140,1.043,2018
1430,Santa Maria (PS),170,30,2.402,2.162,1.099,1.052,2018
1431,Santa Maria (Imelda),60,20,742,623,338,344,2018
1432,Santa Monica,100,30,742,630,417,382,2018
1433,Santander,90,20,1.423,1.276,691,674,2018
1434,Santa Praxedes,70,10,539,457,150,188,2018
1435,Santa Rita (PA),90,30,2.913,2.662,1.506,1.433,2018
1436,Santa Rita (WS),440,50,3.996,3.605,1.566,1.557,2018
1437,Santa Rosa (LA),180,80,20.153,18.821,8.857,9.111,2018
1438,Santa Rosa (NE),250,30,5.113,4.606,1.552,1.638,2018
1439,Santa Teresita (BS),90,10,1.141,1.051,521,529,2018
1440,Santa Teresita (CG),130,20,1.266,1.242,487,488,2018
1441,Santo Domingo (AY),120,40,2.663,2.321,1.536,1.449,2018
1442,Santo Domingo (IS),200,20,1.834,1.649,721,691,2018
1443,Santo Domingo (NE),270,30,4.093,3.707,2.218,2.299,2018
1444,Santol,150,50,1.112,977,478,482,2018
1445,Santo Nino (CG),290,40,2.184,2.036,819,809,2018
1446,Santo Nino (WS),130,40,1.137,998,599,596,2018
1447,Santo Nino (SC),130,50,3.180,2.957,1.520,1.490,2018
1448,Santo Tomas (BS),250,40,9.667,8.911,3.889,3.939,2018
1449,Santo Tomas (DN),260,90,9.454,8.684,3.855,4.055,2018
1450,Santo Tomas (IA),180,20,1.743,1.571,891,839,2018
1451,Santo Tomas (LU),150,40,2.774,2.571,1.214,1.065,2018
1452,Santo Tomas (PA),80,20,2.383,2.085,1.670,1.692,2018
1453,Santo Tomas (PS),40,20,975,914,536,489,2018
1454,Sual,190,30,2.944,2.628,1.360,1.361,2018
1455,Subic,250,160,8.553,8.051,3.908,3.683,2018
1456,Sudipen,120,40,1.080,980,418,392,2018
1457,Sugbongcogon,90,20,854,846,443,427,2018
1458,Sugpon,80,10,240,234,114,119,2018
1459,Sulat,140,30,1.181,1.007,563,547,2018
1460,Sulop,240,30,2.666,2.420,1.083,1.191,2018
1461,Sultan Dumalondong,70,10,582,711,139,320,2018
1462,Sultan Kudarat,310,50,6.026,6.080,796,950,2018
1463,Sultan Mastura,130,20,2.161,2.258,561,779,2018
1464,Sultan Naga Dimaporo,310,30,4.946,4.745,1.205,1.569,2018
1465,Sultan Sa Barongis,130,40,3.302,3.369,810,942,2018
1466,Sumilao,120,30,2.891,2.610,637,658,2018
1467,Sumisip,320,40,3.995,3.891,772,1.079,2018
1468,Surallah,340,110,7.715,7.123,3.139,3.263,2018
1469,Surigao,650,230,11.605,10.491,5.891,6.042,2018
1470,Suyo,200,20,868,744,353,357,2018
1471,Taal,160,10,3.380,2.914,1.325,1.306,2018
1472,Tabaco,390,90,11.828,10.539,7.422,7.481,2018
1473,Tabango,230,40,3.280,2.926,1.258,1.365,2018
1474,Tabina,210,60,2.266,2.057,1.008,1.166,2018
1475,Tabogon,200,80,3.338,2.983,1.193,1.021,2018
1476,Tabontabon,120,10,1.125,966,495,479,2018
1477,Tabuan-Lasa,140,20,1.715,1.712,174,222,2018
1478,Tabuelan,170,30,2.286,1.928,624,689,2018
1479,Tabuk,850,170,9.051,8.103,3.572,3.726,2018
1480,Tacloban,460,200,16.973,15.343,8.976,9.210,2018
1481,Tacurong,240,70,7.212,6.604,2.862,3.138,2018
1482,Tadian,270,100,1.347,1.243,752,613,2018
1483,Taft,190,20,1.556,1.434,907,821,2018
1484,Tagana-An,140,30,1.443,1.333,668,651,2018
1485,Tagapul-An,130,30,695,556,350,354,2018
1486,Tagaytay,170,40,4.632,4.317,3.244,3.519,2018
1487,Tagbilaran,170,70,5.787,5.250,3.364,3.888,2018
1488,Tagbina,390,160,3.607,3.321,1.665,1.592,2018
1489,Tagkawayan,380,110,5.195,4.669,1.954,1.786,2018
1490,Tago,300,50,3.393,3.070,1.447,1.484,2018
1491,Tagoloan (LN),110,10,1.622,1.684,91,81,2018
1492,Tagoloan (MO),100,40,5.682,5.213,2.568,2.726,2018
1493,Tagoloan Ii,40,10,148,161,72,94,2018
1494,Tagudin,210,50,2.682,2.344,1.595,1.516,2018
1495,Taguig,230,180,46.735,43.996,19.958,20.565,2018
1496,Tagum,290,110,19.333,17.852,9.022,9.588,2018
1497,Talacogon,280,120,3.902,3.400,1.973,2.042,2018
1498,Talaingod,280,100,2.914,2.691,783,779,2018
1499,Talakag,380,30,7.543,6.933,1.196,1.394,2018
1500,Talalora,100,10,786,737,399,410,2018
1501,Talavera,450,50,8.313,7.725,2.987,3.466,2018
1502,Talayan,80,10,1.948,1.964,599,681,2018
1503,Talibon,300,110,6.272,5.851,2.969,3.098,2018
1504,Talipao,420,30,2.882,2.983,515,721,2018
1505,Talisay (BS),110,20,3.035,2.869,889,784,2018
1506,Talisay (CN),100,30,1.954,1.747,517,457,2018
1507,Talisay  (CU),250,180,15.793,14.256,7.030,7.230,2018
1508,Talisay (NO),220,70,7.696,6.914,2.722,2.805,2018
1509,Talisayan,180,30,2.183,2.011,954,899,2018
1510,Talitay,90,10,1.075,1.054,239,291,2018
1511,Talugtug,200,20,1.641,1.483,628,605,2018
1512,Talusan,140,30,1.460,1.349,505,544,2018
1513,Tambulig,340,40,2.749,2.475,884,890,2018
1514,Tampakan,180,70,3.746,3.423,1.679,1.654,2018
1515,Tamparan,140,10,3.000,3.617,474,523,2018
1516,Tampilisan,210,50,2.283,2.097,1.045,1.031,2018
1517,Tanauan (BS),440,160,12.182,11.091,6.200,6.064,2018
1518,Tanauan (LE),390,40,4.454,4.023,1.778,1.936,2018
1519,Tanay,330,130,9.666,8.843,4.420,4.393,2018
1520,Tandag,260,50,4.857,4.602,2.352,2.426,2018
1521,Tandubas,150,20,1.918,1.961,330,367,2018
1522,Tangalan,130,40,1.760,1.615,866,875,2018
1523,Tangcal,60,10,742,754,108,146,2018
1524,Tangub,550,130,5.372,4.891,2.732,2.788,2018
1525,Tanjay,450,160,5.770,5.197,2.583,2.602,2018
1526,Tantangan,210,70,3.481,3.220,1.226,1.113,2018
1527,Tanudan,220,50,781,680,409,287,2018
1528,Tanza,160,40,15.995,15.056,8.072,8.544,2018
1529,Tapaz,550,80,4.483,3.694,1.920,1.674,2018
1530,Tapul,140,10,1.306,1.291,232,236,2018
1531,Taraka,160,40,1.970,2.130,714,891,2018
1532,Tarangnan,330,40,2.359,2.147,996,1.026,2018
1533,Tarlac,880,160,24.151,21.975,11.976,12.288,2018
1534,Tarragona,210,20,2.497,2.280,716,829,2018
1535,Tayabas,320,50,6.644,6.088,3.194,3.090,2018
1536,Tayasan,270,40,3.223,2.961,825,974,2018
1537,Taysan,190,50,2.712,2.398,1.522,1.386,2018
1538,Taytay (PN),570,160,7.913,7.075,3.380,3.329,2018
1539,Taytay (RL),160,70,19.468,17.874,8.434,8.377,2018
1540,Tayug,170,20,2.870,2.622,1.448,1.627,2018
1541,Tayum,70,20,1.030,902,412,405,2018
1542,T'Boli,520,130,9.402,8.728,2.882,3.025,2018
1543,Teresa,70,30,4.755,4.518,2.187,2.109,2018
1544,Ternate,50,20,1.598,1.566,879,747,2018
1545,Tiaong,280,70,7.514,6.938,3.972,3.972,2018
1546,Tibiao,180,20,1.993,1.886,874,888,2018
1547,Tigaon,230,70,5.338,4.776,2.994,3.188,2018
1548,Tigbao,200,40,1.830,1.741,824,840,2018
1549,Tigbauan,210,90,3.895,3.593,2.214,2.105,2018
1550,Tinambac,420,130,6.694,6.041,3.217,3.403,2018
1551,Tineg,130,20,436,433,157,178,2018
1552,Tinglayan,220,40,1.243,940,404,329,2018
1553,Tingloy,140,20,1.204,1.042,647,546,2018
1554,Tinoc,190,30,1.259,1.191,282,429,2018
1555,Tipo-Tipo,130,20,2.076,2.027,718,1.071,2018
1556,Titay,350,80,4.913,4.402,2.009,2.046,2018
1557,Tiwi,230,30,4.746,4.142,2.120,2.131,2018
1558,Tobias Fornier,330,60,2.186,1.830,1.072,1.033,2018
1559,Toboso,220,40,3.971,3.677,1.482,1.686,2018
1560,Toledo,500,120,17.063,15.191,7.061,7.376,2018
1561,Tolosa,130,20,1.769,1.659,845,887,2018
1562,Tomas Oppus,180,30,1.311,1.170,503,486,2018
1563,Tongkil,160,20,1.871,1.909,246,262,2018
1564,Torrijos,270,70,2.614,2.342,1.312,1.310,2018
1565,Trece Martires,120,50,12.438,11.689,6.111,6.399,2018
1566,Trento,310,90,5.213,4.688,2.293,2.290,2018
1567,Trinidad,250,50,2.797,2.488,1.029,1.114,2018
1568,Tuao,310,70,4.669,4.189,2.020,1.957,2018
1569,Tuba,330,60,2.771,2.439,1.059,1.019,2018
1570,Tubajon,90,30,739,670,347,323,2018
1571,Tubao,150,60,2.000,1.752,1.146,1.130,2018
1572,Tubaran,120,40,1.186,1.359,300,462,2018
1573,Tubay,140,30,2.273,2.060,642,659,2018
1574,Tubigon,310,40,3.200,2.917,1.201,1.022,2018
1575,Tublay,190,20,1.296,1.188,786,930,2018
1576,Tubo,150,30,361,337,220,163,2018
1577,Tubod (LN),250,50,3.797,3.507,1.163,1.105,2018
1578,Tubod (SN),90,20,1.087,1.073,613,572,2018
1579,Tubungan,170,20,1.447,1.289,763,738,2018
1580,Tuburan (BA),80,20,884,768,311,319,2018
1581,Tuburan (CU),490,70,5.766,5.307,2.146,2.192,2018
1582,Tudela (CU),110,20,790,727,367,373,2018
1583,Tudela (MC),300,20,2.246,1.934,630,626,2018
1584,Tugaya,180,20,2.858,3.486,485,618,2018
1585,Tuguegarao,290,60,9.997,9.317,4.491,4.677,2018
1586,Tukuran,260,60,3.521,3.324,1.745,1.822,2018
1587,Tulunan,320,70,4.867,4.405,1.797,1.840,2018
1588,Tumauini,340,80,5.251,4.888,2.483,2.468,2018
1589,Tunga,40,10,743,692,622,607,2018
1590,Tungawan,290,60,4.569,3.994,1.916,2.033,2018
1591,Tupi,250,70,5.929,5.558,2.853,2.952,2018
1592,Turtle Islands,30,10,411,416,107,122,2018
1593,Tuy,180,40,2.976,2.757,1.140,1.061,2018
1594,Ubay,450,120,6.759,6.296,2.840,2.875,2018
1595,Umingan,440,70,4.982,4.586,2.348,2.134,2018
1596,Ungkaya Pukan,130,0,1.676,1.570,0,0,2018
1597,Unisan,160,30,1.997,1.761,890,858,2018
1598,Upi,350,80,6.795,6.111,1.814,1.917,2018
1599,Urbiztondo,220,70,4.569,4.048,2.579,2.401,2018
1600,Urdaneta,450,220,9.712,8.995,5.728,5.450,2018
1601,Uson,370,60,5.921,5.316,2.472,2.868,2018
1602,Uyugan,30,20,92,63,61,45,2018
1603,Valderrama,210,10,1.844,1.659,402,406,2018
1604,Valencia (BL),210,20,2.055,1.751,1.134,1.076,2018
1605,Valencia (BK),560,110,17.527,15.747,4.799,5.172,2018
1606,Valencia (NR),200,40,2.543,2.237,980,1.076,2018
1607,Valenzuela,390,190,40.818,37.790,21.625,22.043,2018
1608,Valladolid,70,30,2.595,2.396,1.180,1.157,2018
1609,Vallehermoso,190,40,3.124,3.023,1.316,1.438,2018
1610,Veruela,280,50,3.833,3.372,1.474,1.464,2018
1611,Victoria (LA),100,50,2.404,2.308,1.128,1.105,2018
1612,Victoria (NS),150,20,1.383,1.293,615,545,2018
1613,Victoria (OR),300,50,4.098,3.867,1.425,1.380,2018
1614,Victoria (TC),230,30,4.676,4.306,1.886,1.820,2018
1615,Victorias,190,50,7.150,6.498,3.608,3.578,2018
1616,Viga,280,40,2.062,1.828,1.117,1.055,2018
1617,Vigan,180,30,3.123,2.869,3.210,3.580,2018
1618,Villaba,300,40,3.323,3.030,933,1.051,2018
1619,Villanueva,110,30,3.797,3.268,1.087,1.185,2018
1620,Villareal,380,70,2.684,2.489,1.469,1.521,2018
1621,Villasis,220,70,4.603,4.159,2.189,2.075,2018
1622,Villaverde,120,10,1.328,1.210,537,509,2018
1623,Villaviciosa,70,0,412,433,0,0,2018
1624,Vincenzo A Sagun,140,40,1.641,1.555,822,821,2018
1625,Vintar,390,50,1.970,1.790,709,680,2018
1626,Vinzons,190,60,4.148,3.754,2.797,2.971,2018
1627,Virac,430,70,5.715,5.030,3.300,3.140,2018
1628,Wao,270,70,3.852,3.680,742,704,2018
1629,Zamboanga,1720,380,72.933,68.241,28.855,31.333,2018
1630,Zamboanguita,130,40,2.172,1.915,897,974,2018
1631,Zaragoza,160,40,3.388,3.216,1.865,1.855,2018
1632,Zarraga,80,20,1.928,1.823,1.089,1.184,2018
1633,Zumarraga,220,40,1.475,1.417,774,750,2018
