PCODE,Region,Province,Municipality_City,Prelim_2012,Pov_2012,SE_2012,CoV_2012,Con_90lower_2012,Con_90upper_2012,Pov_2009,SE_2009,CoV_2009,Pov_2006,SE_2006,CoV_2006
PH097340000,Region IX,Zamboanga del Sur,Sominot,FALSE,50.38,4.15,8.237395792,43.55325,57.20675,54.5,7.1,13.1,35.3,6.5,18.4
PH097341000,Region IX,Zamboanga del Sur,Vincenzo A. Sagun,FALSE,46.17,3.64,7.883907299,40.1822,52.1578,46.5,6.3,13.4,34.7,6.1,17.7
PH097343000,Region IX,Zamboanga del Sur,Guipos,FALSE,38.78,3.71,9.566787004,32.67705,44.88295,36.0,5.7,16.0,28.3,5.7,20.2
PH097344000,Region IX,Zamboanga del Sur,Tigbao,FALSE,46.09,4.2,9.112605771,39.181,52.999,44.5,6.3,14.2,34.5,6.9,19.9
PH098301000,Region IX,Zamboanga Sibugay,Alicia,FALSE,45.94,1.93,4.201131911,42.76515,49.11485,54.0,6.3,11.6,46.4,6.0,12.8
PH098302000,Region IX,Zamboanga Sibugay,Buug,FALSE,35.83,1.49,4.158526375,33.37895,38.28105,40.2,5.4,13.5,29.6,4.9,16.5
PH098303000,Region IX,Zamboanga Sibugay,Diplahan,FALSE,35.08,3.73,10.63283922,28.94415,41.21585,43.9,5.8,13.2,31.5,5.7,18.1
PH098304000,Region IX,Zamboanga Sibugay,Imelda,FALSE,28.9,3.54,12.24913495,23.0767,34.7233,42.4,5.4,12.8,38.2,6.4,16.6
PH098305000,Region IX,Zamboanga Sibugay,Ipil,FALSE,19.67,2.34,11.89628876,15.8207,23.5193,32.2,3.6,11.0,29.3,4.3,14.7
PH098306000,Region IX,Zamboanga Sibugay,Kabasalan,FALSE,36.89,2.65,7.183518569,32.53075,41.24925,36.7,4.0,10.8,39.6,5.7,14.3
PH098307000,Region IX,Zamboanga Sibugay,Mabuhay,FALSE,67.27,3.97,5.901590605,60.73935,73.80065,68.9,5.7,8.2,57.2,7.7,13.5
PH098308000,Region IX,Zamboanga Sibugay,Malangas,FALSE,31.52,2.89,9.168781726,26.76595,36.27405,40.5,5.0,12.3,34.8,5.2,15.0
PH098309000,Region IX,Zamboanga Sibugay,Naga,FALSE,27.79,3.2,11.51493343,22.526,33.054,36.4,4.1,11.3,40.8,5.8,14.3
PH098310000,Region IX,Zamboanga Sibugay,Olutanga,FALSE,50.19,4.27,8.507670851,43.16585,57.21415,61.7,6.8,11.0,41.3,6.8,16.4
PH098311000,Region IX,Zamboanga Sibugay,Payao,FALSE,50.42,3.84,7.616025387,44.1032,56.7368,63.3,7.0,11.1,46.5,6.0,12.9
PH098312000,Region IX,Zamboanga Sibugay,Roseller Lim,FALSE,50.04,3.52,7.034372502,44.2496,55.8304,51.2,4.9,9.6,41.1,5.8,14.2
PH098313000,Region IX,Zamboanga Sibugay,Siay,FALSE,37.76,2.67,7.070974576,33.36785,42.15215,48.3,4.7,9.7,42.6,6.3,14.8
PH098314000,Region IX,Zamboanga Sibugay,Talusan,FALSE,59.61,6.13,10.28350948,49.52615,69.69385,66.5,7.8,11.8,55.3,8.1,14.7
PH098315000,Region IX,Zamboanga Sibugay,Titay,FALSE,33.22,2.64,7.947019868,28.8772,37.5628,45.1,4.5,10.0,38.2,5.0,13.1
PH098316000,Region IX,Zamboanga Sibugay,Tungawan,FALSE,56.11,3.73,6.647656389,49.97415,62.24585,59.5,5.8,9.8,51.1,6.3,12.3
PH099701000,Region IX,Isabela City,Isabela City,FALSE,22.36,1.89,8.452593918,19.25095,25.46905,23.0,2.9,12.6,22.4,3.4,15.0
PH101301000,Region X,Bukidnon,Baungon,FALSE,46.16,5.55,12.02339688,37.03025,55.28975,49.1,4.7,9.7,40.2,5.3,13.1
PH101302000,Region X,Bukidnon,Damulog,FALSE,64.04,4.84,7.55777639,56.0782,72.0018,52.2,4.9,9.4,42.4,4.9,11.6
PH101303000,Region X,Bukidnon,Dangcagan,FALSE,39.67,5.45,13.73834132,30.70475,48.63525,39.9,4.8,11.9,39.9,5.2,13.1
PH101304000,Region X,Bukidnon,Don Carlos,FALSE,37.58,3.69,9.819052688,31.50995,43.65005,42.0,3.3,7.9,39.5,4.0,10.0
PH101305000,Region X,Bukidnon,Impasug-ong,FALSE,58.5,5.39,9.213675214,49.63345,67.36655,46.1,4.7,10.1,43.0,5.5,12.7
PH101306000,Region X,Bukidnon,Kadingilan,FALSE,56.03,4.66,8.31697305,48.3643,63.6957,50.7,5.3,10.4,50.0,4.8,9.5
PH101307000,Region X,Bukidnon,Kalilangan,FALSE,53.03,4.63,8.730907034,45.41365,60.64635,51.3,5.1,9.9,33.8,5.3,15.7
PH101308000,Region X,Bukidnon,Kibawe,FALSE,49,4.03,8.224489796,42.37065,55.62935,46.8,3.2,6.9,48.1,4.0,8.2
PH101309000,Region X,Bukidnon,Kitaotao,FALSE,64.1,3.56,5.553822153,58.2438,69.9562,54.8,4.6,8.3,52.7,4.1,7.7
PH101310000,Region X,Bukidnon,Lantapan,FALSE,48.96,5.35,10.92728758,40.15925,57.76075,40.8,4.6,11.3,43.7,5.1,11.6
PH101311000,Region X,Bukidnon,Libona,FALSE,37.17,5.47,14.71616895,28.17185,46.16815,35.5,3.5,9.9,38.1,4.8,12.5
PH101312000,Region X,Bukidnon,Malaybalay City,FALSE,31.62,2.56,8.096141682,27.4088,35.8312,34.6,2.7,7.8,31.7,3.2,9.9
PH101313000,Region X,Bukidnon,Malitbog,FALSE,65.34,6.02,9.213345577,55.4371,75.2429,61.4,5.6,9.1,47.8,6.8,14.2
PH101314000,Region X,Bukidnon,Manolo Fortich,FALSE,33.95,3.32,9.779086892,28.4886,39.4114,33.5,3.3,9.9,31.6,3.2,10.1
PH101315000,Region X,Bukidnon,Maramag,FALSE,37.27,3.66,9.820230749,31.2493,43.2907,33.5,3.7,11.0,33.9,4.7,13.7
PH101316000,Region X,Bukidnon,Pangantucan,FALSE,51.66,4.56,8.826945412,44.1588,59.1612,53.2,3.8,7.1,41.6,4.2,10.0
PH101317000,Region X,Bukidnon,Quezon,FALSE,49.17,3.76,7.646939191,42.9848,55.3552,52.0,4.0,7.7,41.1,4.3,10.4
PH101318000,Region X,Bukidnon,San Fernando,FALSE,63.19,4.47,7.073904099,55.83685,70.54315,52.1,5.1,9.8,42.5,5.6,13.3
PH101319000,Region X,Bukidnon,Sumilao,FALSE,45.1,7.17,15.89800443,33.30535,56.89465,40.2,7.0,17.3,39.1,7.5,19.3
PH101320000,Region X,Bukidnon,Talakag,FALSE,62.43,3.9,6.246996636,56.0145,68.8455,50.3,3.9,7.8,53.8,4.5,8.3
PH101321000,Region X,Bukidnon,Valencia City,FALSE,34.82,3.4,9.764503159,29.227,40.413,35.8,3.1,8.5,35.1,3.5,9.9
PH101322000,Region X,Bukidnon,Cabanglasan,FALSE,59.3,5.34,9.005059022,50.5157,68.0843,45.2,5.2,11.4,50.5,4.1,8.1
PH101801000,Region X,Camiguin,Catarman,FALSE,43.9,4.97,11.32118451,35.72435,52.07565,58.4,4.3,7.4,47.4,6.4,13.4
PH101802000,Region X,Camiguin,Guinsiliban,FALSE,68.82,6.05,8.791049114,58.86775,78.77225,45.7,5.4,11.7,47.5,6.2,13.0
PH101803000,Region X,Camiguin,Mahinog,FALSE,43.45,5.38,12.38204833,34.5999,52.3001,45.9,4.0,8.7,36.5,5.0,13.6
PH101804000,Region X,Camiguin,Mambajao,FALSE,30.86,4.46,14.45236552,23.5233,38.1967,36.2,4.1,11.4,37.4,4.9,13.1
PH101805000,Region X,Camiguin,Sagay,FALSE,49.94,5.37,10.75290348,41.10635,58.77365,42.1,5.4,12.8,54.5,7.1,13.0
PH103501000,Region X,Lanao del Norte,Bacolod,FALSE,37.75,4.3,11.39072848,30.6765,44.8235,40.2,4.7,11.7,34.8,5.2,15.0
PH103502000,Region X,Lanao del Norte,Baloi,FALSE,52.77,5.57,10.55523972,43.60735,61.93265,48.3,3.9,8.0,33.2,4.5,13.5
PH103503000,Region X,Lanao del Norte,Baroy,FALSE,44.56,3.66,8.213644524,38.5393,50.5807,47.0,4.0,8.5,45.8,5.3,11.6
PH103504000,Region X,Lanao del Norte,Iligan City,FALSE,17.48,2.45,14.01601831,13.44975,21.51025,24.4,1.9,7.6,23.1,2.4,10.5
PH103505000,Region X,Lanao del Norte,Kapatagan,FALSE,43.54,3.81,8.750574185,37.27255,49.80745,47.6,3.3,7.0,42.5,4.8,11.4
PH103506000,Region X,Lanao del Norte,Sultan Naga Dimaporo,FALSE,63.98,3.84,6.001875586,57.6632,70.2968,59.9,3.8,6.4,48.9,4.4,9.0
PH103507000,Region X,Lanao del Norte,Kauswagan,FALSE,41.14,4.89,11.8862421,33.09595,49.18405,49.5,4.5,9.1,46.4,7.5,16.1
PH103508000,Region X,Lanao del Norte,Kolambugan,FALSE,36.18,3.45,9.535655058,30.50475,41.85525,41.7,3.3,8.0,38.4,4.5,11.6
PH103509000,Region X,Lanao del Norte,Lala,FALSE,43.3,4.6,10.62355658,35.733,50.867,37.0,3.1,8.5,35.1,4.0,11.3
PH103510000,Region X,Lanao del Norte,Linamon,FALSE,30.37,5.43,17.87948634,21.43765,39.30235,31.0,5.1,16.5,36.3,6.2,17.0
PH103511000,Region X,Lanao del Norte,Magsaysay,FALSE,55.44,4.72,8.513708514,47.6756,63.2044,59.2,3.8,6.4,46.6,4.5,9.6
PH103512000,Region X,Lanao del Norte,Maigo,FALSE,36.81,4.2,11.40994295,29.901,43.719,43.7,4.8,11.0,45.2,7.0,15.5
PH103513000,Region X,Lanao del Norte,Matungao,FALSE,64.51,6.58,10.199969,53.6859,75.3341,59.3,5.6,9.5,37.8,5.7,15.1
PH103514000,Region X,Lanao del Norte,Munai,FALSE,65.18,3.81,5.845351335,58.91255,71.44745,67.5,3.6,5.4,42.5,5.3,12.5
PH103515000,Region X,Lanao del Norte,Nunungan,FALSE,79.72,4.69,5.883090818,72.00495,87.43505,67.9,4.1,6.1,51.9,4.5,8.7
PH103516000,Region X,Lanao del Norte,Pantao Ragat,FALSE,67.31,5.99,8.899123459,57.45645,77.16355,59.7,4.2,7.1,40.6,5.3,13.0
PH103517000,Region X,Lanao del Norte,Poona Piagapo,FALSE,73.75,4.42,5.993220339,66.4791,81.0209,66.8,3.9,5.8,48.3,4.7,9.7
PH103518000,Region X,Lanao del Norte,Salvador,FALSE,68.66,4.78,6.961840955,60.7969,76.5231,56.3,4.6,8.2,57.1,6.3,11.1
PH103519000,Region X,Lanao del Norte,Sapad,FALSE,58.43,4.9,8.386103029,50.3695,66.4905,62.0,4.5,7.3,45.9,5.4,11.8
PH103520000,Region X,Lanao del Norte,Tagoloan,FALSE,69.85,7.35,10.52254832,57.75925,81.94075,69.4,5.8,8.3,66.5,8.5,12.7
PH103521000,Region X,Lanao del Norte,Tangcal,FALSE,79.32,4.61,5.81190116,71.73655,86.90345,67.4,4.3,6.4,50.5,7.1,14.0
PH103522000,Region X,Lanao del Norte,Tubad,FALSE,37.99,3.91,10.29218215,31.55805,44.42195,48.3,3.1,6.4,34.4,3.9,11.3
PH103523000,Region X,Lanao del Norte,Pantar,FALSE,67.16,4.75,7.072662299,59.34625,74.97375,57.5,3.9,6.7,39.4,4.1,10.4
PH104201000,Region X,Misamis Occidental,Aloran,FALSE,39.58,3.65,9.221829207,33.57575,45.58425,42.7,2.9,6.9,39.1,6.0,15.3
PH104202000,Region X,Misamis Occidental,Baliangao,FALSE,49.61,3.9,7.861318283,43.1945,56.0255,37.7,4.0,10.6,48.5,5.8,12.0
PH104203000,Region X,Misamis Occidental,Bonifacio,FALSE,51.79,4.46,8.611701101,44.4533,59.1267,44.9,4.0,9.0,66.6,5.7,8.5
PH104204000,Region X,Misamis Occidental,Calamba,FALSE,27.1,3.84,14.1697417,20.7832,33.4168,41.4,3.3,7.9,38.7,5.6,14.5
PH104205000,Region X,Misamis Occidental,Clarin,FALSE,33.47,3.18,9.501045713,28.2389,38.7011,38.8,3.0,7.6,43.7,6.0,13.7
PH104206000,Region X,Misamis Occidental,Concepcion,FALSE,77.98,5.36,6.873557322,69.1628,86.7972,62.3,4.2,6.8,76.5,5.4,7.1
PH104207000,Region X,Misamis Occidental,Jimenez,FALSE,27.95,3.39,12.12880143,22.37345,33.52655,40.9,3.5,8.6,36.4,4.7,12.8
PH104208000,Region X,Misamis Occidental,Lopez Jaena,FALSE,44.21,3.71,8.391766569,38.10705,50.31295,49.3,3.5,7.2,48.0,6.0,12.4
PH104209000,Region X,Misamis Occidental,Oroquieta City,FALSE,22.24,2.39,10.74640288,18.30845,26.17155,30.7,3.1,10.2,33.5,4.5,13.5
PH104210000,Region X,Misamis Occidental,Ozamis City,FALSE,20.93,2.23,10.65456283,17.26165,24.59835,29.8,2.4,8.1,30.6,4.3,14.1
PH104211000,Region X,Misamis Occidental,Panaon,FALSE,31.77,3.84,12.08687441,25.4532,38.0868,40.2,4.3,10.7,38.2,5.6,14.8
PH104212000,Region X,Misamis Occidental,Plaridel,FALSE,37.41,4.14,11.06655974,30.5997,44.2203,35.2,3.0,8.5,44.3,5.4,12.2
PH104213000,Region X,Misamis Occidental,Sapang Dalaga,FALSE,46.6,4.21,9.034334764,39.67455,53.52545,43.9,3.3,7.5,51.7,5.3,10.2
PH104214000,Region X,Misamis Occidental,Sinacaban,FALSE,38.34,4.37,11.39801774,31.15135,45.52865,38.9,3.4,8.8,42.7,5.8,13.6
PH104215000,Region X,Misamis Occidental,Tangub City,FALSE,39.32,3.31,8.418107833,33.87505,44.76495,43.1,2.5,5.8,63.8,5.9,9.3
PH104216000,Region X,Misamis Occidental,Tudela,FALSE,38.07,2.85,7.486209614,33.38175,42.75825,38.0,3.2,8.4,43.7,5.6,12.8
PH104217000,Region X,Misamis Occidental,Don Victoriano Chiongbian,FALSE,67.27,6.64,9.870670433,56.3472,78.1928,65.7,5.2,7.8,73.7,6.6,8.9
PH104301000,Region X,Misamis Oriental,Alubijid,FALSE,35.43,4.73,13.35026813,27.64915,43.21085,53.7,4.0,7.4,47.4,4.5,9.4
PH104302000,Region X,Misamis Oriental,Balingasag,FALSE,37.72,4.09,10.84305408,30.99195,44.44805,51.2,2.7,5.2,48.9,3.4,6.9
PH104303000,Region X,Misamis Oriental,Balingoan,FALSE,33.26,5.91,17.769092,23.53805,42.98195,46.4,5.5,11.9,41.3,5.6,13.5
PH104304000,Region X,Misamis Oriental,Binuangan,FALSE,28.73,6.99,24.32996867,17.23145,40.22855,52.7,6.3,12.0,42.8,6.7,15.6
PH104305000,Region X,Misamis Oriental,Cagayan De Oro City,FALSE,7.73,1.74,22.50970246,4.8677,10.5923,22.8,2.2,9.8,19.4,2.7,13.7
PH104306000,Region X,Misamis Oriental,Claveria,FALSE,39.08,5.12,13.1013306,30.6576,47.5024,57.1,3.4,6.0,46.1,4.4,9.5
PH104307000,Region X,Misamis Oriental,El Salvador,FALSE,23.69,4.49,18.95314479,16.30395,31.07605,38.8,3.8,9.7,45.1,6.0,13.3
PH104308000,Region X,Misamis Oriental,Gingoog City,FALSE,27.74,3.19,11.49963951,22.49245,32.98755,48.7,2.4,4.8,44.1,3.1,7.0
PH104309000,Region X,Misamis Oriental,Gitaguim,FALSE,35.03,5.3,15.12988867,26.3115,43.7485,50.3,4.9,9.8,40.8,4.9,11.9
PH104310000,Region X,Misamis Oriental,Initao,FALSE,30.46,5.02,16.48063033,22.2021,38.7179,48.9,4.4,9.0,44.3,5.5,12.4
PH104311000,Region X,Misamis Oriental,Jasaan,FALSE,26.11,4.37,16.73688242,18.92135,33.29865,42.1,4.2,9.9,51.5,6.0,11.6
PH104312000,Region X,Misamis Oriental,Kinoguitan,FALSE,27.58,5.05,18.31036983,19.27275,35.88725,55.7,4.0,7.1,55.6,6.5,11.7
PH104313000,Region X,Misamis Oriental,Lagonglong,FALSE,32.32,5.13,15.87252475,23.88115,40.75885,49.9,4.6,9.2,47.9,5.1,10.6
PH104314000,Region X,Misamis Oriental,Laguindingan,FALSE,35.41,5.42,15.30641062,26.4941,44.3259,52.2,5.2,9.9,32.6,5.7,17.4
PH104315000,Region X,Misamis Oriental,Libertad,FALSE,47.11,7.7,16.34472511,34.4435,59.7765,55.5,5.5,10.0,46.2,7.4,15.9
PH104316000,Region X,Misamis Oriental,Lugait,FALSE,21.25,5.48,25.78823529,12.2354,30.2646,40.6,5.8,14.3,47.3,7.9,16.8
PH104317000,Region X,Misamis Oriental,Magsaysay,FALSE,48.24,4.72,9.784411277,40.4756,56.0044,60.3,3.9,6.4,73.9,6.8,9.2
PH104318000,Region X,Misamis Oriental,Manticao,FALSE,28.24,4.18,14.80169972,21.3639,35.1161,48.4,4.0,8.3,48.2,5.7,11.8
PH104319000,Region X,Misamis Oriental,Medina,FALSE,19.26,3.27,16.97819315,13.88085,24.63915,41.0,3.3,8.1,37.3,3.9,10.3
PH104320000,Region X,Misamis Oriental,Naawan,FALSE,25.88,4.45,17.19474498,18.55975,33.20025,45.7,5.1,11.1,48.6,5.8,11.9
PH104321000,Region X,Misamis Oriental,Opol,FALSE,14.27,3.38,23.68605466,8.7099,19.8301,31.1,3.2,10.2,30.4,3.9,12.7
PH104322000,Region X,Misamis Oriental,Salay,FALSE,27.85,4.48,16.08617594,20.4804,35.2196,47.1,4.7,9.9,48.8,5.5,11.2
PH104323000,Region X,Misamis Oriental,Sugbongcogon,FALSE,40.6,6.99,17.21674877,29.10145,52.09855,45.4,5.8,12.8,45.2,6.0,13.2
PH104324000,Region X,Misamis Oriental,Tagoloan,FALSE,13.98,3.93,28.11158798,7.51515,20.44485,35.9,4.7,13.1,39.6,4.8,12.2
PH104325000,Region X,Misamis Oriental,Talisayan,FALSE,29,4.4,15.17241379,21.762,36.238,48.2,3.8,8.0,49.0,4.9,10.0
PH104326000,Region X,Misamis Oriental,Villanueva,FALSE,20.24,4.93,24.35770751,12.13015,28.34985,40.5,3.9,9.7,40.9,5.8,14.1
PH112301000,Region XI,Davao del Norte,Asuncion (Saug),FALSE,39.18,3.66,9.341500766,33.1593,45.2007,41.0,4.2,10.2,38.4,4.2,11.0
PH112303000,Region XI,Davao del Norte,Carmen,FALSE,26.67,3.7,13.87326584,20.5835,32.7565,28.0,3.5,12.5,34.9,4.1,11.7
PH112305000,Region XI,Davao del Norte,Kapalong,FALSE,33.36,3.99,11.96043165,26.79645,39.92355,21.5,4.0,18.5,36.0,4.2,11.6
PH112314000,Region XI,Davao del Norte,New Corella,FALSE,41.55,4.07,9.795427196,34.85485,48.24515,38.2,4.4,11.6,38.4,4.3,11.1
PH112315000,Region XI,Davao del Norte,Panabo City,FALSE,16.58,2.11,12.72617612,13.10905,20.05095,14.8,2.2,14.8,24.5,2.7,11.2
PH112317000,Region XI,Davao del Norte,Island Garden City of Samal,FALSE,28.54,2.05,7.182901191,25.16775,31.91225,32.8,2.8,8.6,35.7,2.6,7.2
PH112318000,Region XI,Davao del Norte,Santo Tomas,FALSE,21.74,3.37,15.50137994,16.19635,27.28365,23.5,4.2,17.9,31.0,5.0,16.2
PH112319000,Region XI,Davao del Norte,Tagum City,FALSE,13.77,2.34,16.99346405,9.9207,17.6193,15.0,2.8,18.7,17.9,2.6,14.6
PH112322000,Region XI,Davao del Norte,Talaingod,FALSE,68.79,8.6,12.50181712,54.643,82.937,62.6,9.5,15.2,53.1,8.0,15.1
PH112323000,Region XI,Davao del Norte,Braulio E. Dujali,FALSE,29.36,5.87,19.99318801,19.70385,39.01615,40.8,7.2,17.5,26.9,5.5,20.3
PH112324000,Region XI,Davao del Norte,San Isidro,FALSE,43.19,4.66,10.78953461,35.5243,50.8557,53.6,5.5,10.3,37.9,4.9,12.8
PH112401000,Region XI,Davao del Sur,Bansalan,FALSE,23.69,2.92,12.3258759,18.8866,28.4934,21.3,3.1,14.6,31.3,3.5,11.3
PH112402000,Region XI,Davao del Sur,Davao City,FALSE,10.56,1.03,9.753787879,8.86565,12.25435,13.2,1.3,9.4,15.7,1.4,9.0
PH112403000,Region XI,Davao del Sur,Digos City,FALSE,14.72,2.48,16.84782609,10.6404,18.7996,18.8,2.6,13.9,22.3,2.9,13.0
PH112404000,Region XI,Davao del Sur,Hagonoy,FALSE,23.88,3.4,14.23785595,18.287,29.473,22.9,3.2,14.0,32.8,4.0,12.2
PH112405000,Region XI,Davao del Sur,Jose Abad Santos (Trinidad),FALSE,75.53,5.47,7.242155435,66.53185,84.52815,72.3,4.1,5.6,53.6,4.0,7.5
PH112406000,Region XI,Davao del Sur,Kiblawan,FALSE,52.86,4.44,8.39954597,45.5562,60.1638,57.4,3.8,6.5,45.3,3.4,7.5
PH112407000,Region XI,Davao del Sur,Magsaysay,FALSE,29.67,4.01,13.51533536,23.07355,36.26645,40.0,4.6,11.5,42.3,4.2,9.9
PH112408000,Region XI,Davao del Sur,Malalag,FALSE,35.57,4.46,12.53865617,28.2333,42.9067,41.2,4.0,9.6,39.6,4.7,11.9
PH112409000,Region XI,Davao del Sur,Malita,FALSE,60.77,4.49,7.388514069,53.38395,68.15605,63.8,3.5,5.5,53.0,4.1,7.7
PH112410000,Region XI,Davao del Sur,Matanao,FALSE,25.67,2.47,9.622126996,21.60685,29.73315,40.7,3.2,8.0,40.9,3.7,9.0
PH112411000,Region XI,Davao del Sur,Padada,FALSE,14.1,2.43,17.23404255,10.10265,18.09735,14.6,2.5,17.5,25.0,3.6,14.2
PH112412000,Region XI,Davao del Sur,Santa Cruz,FALSE,28.58,3.82,13.3659902,22.2961,34.8639,27.3,3.6,13.0,34.4,3.7,10.7
PH112413000,Region XI,Davao del Sur,Santa Maria,FALSE,50.69,4.98,9.824422963,42.4979,58.8821,48.5,4.4,9.0,47.5,3.8,8.0
PH112414000,Region XI,Davao del Sur,Sulop,FALSE,37.1,3.15,8.490566038,31.91825,42.28175,36.9,4.0,10.9,39.2,3.7,9.3
PH112415000,Region XI,Davao del Sur,Sarangani,FALSE,65.89,5.51,8.362422219,56.82605,74.95395,72.1,5.0,6.9,54.6,5.9,10.8
PH112416000,Region XI,Davao del Sur,Don Marcelino,FALSE,73.82,4.92,6.664860471,65.7266,81.9134,66.5,5.4,8.1,56.2,5.1,9.1
PH112501000,Region XI,Davao Oriental,Baganga,FALSE,26.17,3.42,13.06839893,20.5441,31.7959,44.0,4.6,10.5,28.3,3.3,11.5
PH112502000,Region XI,Davao Oriental,Banaybanay,FALSE,34.2,4.47,13.07017544,26.84685,41.55315,32.5,4.4,13.6,34.0,4.9,14.3
PH112503000,Region XI,Davao Oriental,Boston,FALSE,27.59,4.89,17.72381298,19.54595,35.63405,36.6,5.5,15.0,22.9,5.2,22.6
PH112504000,Region XI,Davao Oriental,Caraga,FALSE,51.6,5.28,10.23255814,42.9144,60.2856,58.0,4.1,7.0,37.8,4.6,12.3
PH112505000,Region XI,Davao Oriental,Cateel,FALSE,28.83,3.72,12.90322581,22.7106,34.9494,53.5,4.8,8.9,23.1,3.7,16.2
PH112506000,Region XI,Davao Oriental,Governor Generoso,FALSE,38.69,3.98,10.28689584,32.1429,45.2371,55.7,4.9,8.9,42.8,4.7,11.0
PH112507000,Region XI,Davao Oriental,Lupon,FALSE,32.83,3.97,12.09259823,26.29935,39.36065,42.9,4.6,10.6,36.8,4.3,11.8
PH112508000,Region XI,Davao Oriental,Manay,FALSE,58.1,5.62,9.672977625,48.8551,67.3449,58.7,4.9,8.4,39.2,4.5,11.6
PH112509000,Region XI,Davao Oriental,Mati  (Capital),FALSE,27,3.54,13.11111111,21.1767,32.8233,33.9,3.8,11.1,32.9,3.5,10.7
PH112510000,Region XI,Davao Oriental,San Isidro,FALSE,35.23,4.37,12.40420097,28.04135,42.41865,47.4,5.2,11.0,41.9,4.8,11.5
PH112511000,Region XI,Davao Oriental,Tarragona,FALSE,56.86,5.53,9.725641928,47.76315,65.95685,62.3,5.4,8.6,39.0,6.1,15.6
PH118201000,Region XI,Compostela Valley,Compostela,FALSE,27.03,3.97,14.68738439,20.49935,33.56065,26.5,4.7,17.7,31.7,5.2,16.3
PH118202000,Region XI,Compostela Valley,Laak (San Vicente),FALSE,53.8,4.52,8.401486989,46.3646,61.2354,54.7,4.3,7.8,36.5,3.3,9.0
PH118203000,Region XI,Compostela Valley,Mabini (Do–a Alicia),FALSE,32.08,3.92,12.21945137,25.6316,38.5284,29.8,4.1,13.9,31.9,4.6,14.3
PH118204000,Region XI,Compostela Valley,Maco,FALSE,29.61,2.74,9.25363053,25.1027,34.1173,30.6,2.6,8.6,35.2,3.1,8.9
PH118205000,Region XI,Compostela Valley,Maragusan (San Mariano),FALSE,31.23,4.02,12.87223823,24.6171,37.8429,35.6,4.7,13.2,34.6,4.4,12.8
PH118206000,Region XI,Compostela Valley,Mawab,FALSE,32.16,4.16,12.93532338,25.3168,39.0032,32.7,4.5,13.8,34.7,4.9,14.2
PH118207000,Region XI,Compostela Valley,Monkayo,FALSE,25.92,3.23,12.46141975,20.60665,31.23335,32.9,4.2,12.7,25.7,3.1,11.9
PH118208000,Region XI,Compostela Valley,Montevista,FALSE,40.17,3.88,9.658949465,33.7874,46.5526,41.3,4.6,11.1,36.5,3.9,10.6
PH118209000,Region XI,Compostela Valley,Nabunturan,FALSE,24.43,3.12,12.77118297,19.2976,29.5624,28.3,3.9,13.7,27.2,3.1,11.5
PH118210000,Region XI,Compostela Valley,New Bataan,FALSE,32.9,4.38,13.31306991,25.6949,40.1051,42.0,5.5,13.0,30.7,4.8,15.8
PH118211000,Region XI,Compostela Valley,Pantukan,FALSE,36.45,4.84,13.27846365,28.4882,44.4118,28.3,4.8,17.0,34.4,4.7,13.8
PH124701000,Region XII,North Cotabato,Alamada,FALSE,54.33,4.62,8.503589177,46.7301,61.9299,44.6,4.4,9.9,40.6,4.9,11.9
PH124702000,Region XII,North Cotabato,Carmen,FALSE,56.39,4.13,7.323993616,49.59615,63.18385,50.4,5.7,11.2,39.4,3.9,9.9
PH124703000,Region XII,North Cotabato,Kabacan,FALSE,38,3.48,9.157894737,32.2754,43.7246,35.0,3.3,9.5,30.6,3.8,12.4
PH124704000,Region XII,North Cotabato,Kidapawan City,FALSE,27.73,3.24,11.68409665,22.4002,33.0598,19.2,2.6,13.7,20.0,3.3,16.5
PH124705000,Region XII,North Cotabato,Libungan,FALSE,39.61,3.52,8.886644787,33.8196,45.4004,32.1,3.8,11.9,31.5,4.4,13.8
PH124706000,Region XII,North Cotabato,Magpet,FALSE,48.88,4.01,8.203764321,42.28355,55.47645,36.7,3.8,10.3,43.9,3.8,8.5
PH124707000,Region XII,North Cotabato,Makilala,FALSE,39.38,3.09,7.846622651,34.29695,44.46305,23.2,2.7,11.5,29.0,3.4,11.5
PH124708000,Region XII,North Cotabato,Matalam,FALSE,43.02,3.18,7.391910739,37.7889,48.2511,34.9,3.2,9.1,35.8,3.6,10.1
PH124709000,Region XII,North Cotabato,Midsayap,FALSE,39.56,2.42,6.117290192,35.5791,43.5409,33.0,2.9,8.6,31.5,2.3,7.2
PH124710000,Region XII,North Cotabato,M'lang,FALSE,38.25,2.59,6.77124183,33.98945,42.51055,34.5,3.1,9.1,32.0,5.2,16.1
PH124711000,Region XII,North Cotabato,Pigkawayan,FALSE,41.86,2.88,6.880076445,37.1224,46.5976,39.0,3.4,8.7,33.0,3.2,9.6
PH124712000,Region XII,North Cotabato,Pikit,FALSE,57.83,4.2,7.262666436,50.921,64.739,48.5,3.6,7.3,51.9,4.6,8.9
PH124713000,Region XII,North Cotabato,President Roxas,FALSE,47.57,3.74,7.862097961,41.4177,53.7223,35.3,3.8,10.8,36.7,4.5,12.3
PH124714000,Region XII,North Cotabato,Tulunan,FALSE,45.39,3.16,6.961885878,40.1918,50.5882,38.2,3.7,9.6,34.7,3.7,10.5
